誼	谊	yì	friendship/also pr. [yí]
交誼舞	交谊舞	jiāo yì wǔ	social dance/ballroom dancing
厚誼	厚谊	hòu yì	generous friendship
友誼	友谊	yǒu yì	companionship/fellowship/friendship
友誼商店	友谊商店	Yǒu yì Shāng diàn	Friendship Store, PRC state-run store originally intended for foreigners, diplomats etc, specializing in selling imported Western goods and quality Chinese crafts
友誼地久天長	友谊地久天长	Yǒu yì dì jiǔ tiān cháng	Auld Lang Syne, Scottish song with lyrics by Robert Burns 羅伯特·伯恩斯|罗伯特·伯恩斯[Luó bó tè · Bó ēn sī], sung to mark the start of a new year or as a farewell/also rendered 友誼萬歲|友谊万岁[Yǒu yì wàn suì] or 友誼天長地久|友谊天长地久[Yǒu yì tiān cháng dì jiǔ]
友誼天長地久	友谊天长地久	Yǒu yì tiān cháng dì jiǔ	see 友誼地久天長|友谊地久天长[Yǒu yì dì jiǔ tiān cháng]
友誼峰	友谊峰	yǒu yì fēng	Mt Friendship, the highest peak of the Altai mountains
友誼縣	友谊县	Yǒu yì xiàn	Youyi county in Shuangyashan 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
友誼萬歲	友谊万岁	Yǒu yì wàn suì	see 友誼地久天長|友谊地久天长[Yǒu yì dì jiǔ tiān cháng]
友誼賽	友谊赛	yǒu yì sài	friendly match/friendly competition
年誼	年谊	nián yì	camaraderie between persons who have gone through some experience in the same year
情誼	情谊	qíng yì	friendship/camaraderie
戚誼	戚谊	qī yì	relation/close friendship
深情厚誼	深情厚谊	shēn qíng hòu yì	deep friendship
盡地主之誼	尽地主之谊	jìn dì zhǔ zhī yì	to act as host/to do the honors
睦誼	睦谊	mù yì	cordiality/friendship
聯誼	联谊	lián yì	friendship/fellowship
聯誼會	联谊会	lián yì huì	association/club/society/party/get-together
交誼	交谊	jiāo yì	association/communion/friendship
賈誼	贾谊	Jiǎ Yì	Jia Yi (200-168 BC), Chinese poet and statesman of the Western Han Dynasty
超友誼關係	超友谊关系	chāo yǒu yì guān xi	relationship that is more than friendship
隆情厚誼	隆情厚谊	lóng qíng hòu yì	profound love, generous friendship (idiom)
