謀	谋	móu	to plan/to seek/scheme
不謀而合	不谋而合	bù móu ér hé	to agree without prior consultation/to happen to hold the same view
串謀	串谋	chuàn móu	to conspire
以權謀私	以权谋私	yǐ quán móu sī	to use one's position for personal gain (idiom)
元謀	元谋	Yuán móu	Yuanmou county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州, Yunnan
元謀縣	元谋县	Yuán móu xiàn	Yuanmou county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
共謀	共谋	gòng móu	to scheme together/to conspire/joint plan/conspiracy
共謀罪	共谋罪	gòng móu zuì	conspiracy
共謀者	共谋者	gòng móu zhě	conspirator
出謀劃策	出谋划策	chū móu huà cè	to put forward plans and ideas (also derogatory)/to give advice (idiom)
參謀	参谋	cān móu	staff officer/to give advice
參謀總長	参谋总长	cān móu zǒng zhǎng	army Chief of Staff
參謀長	参谋长	cān móu zhǎng	chief of staff
另謀高就	另谋高就	lìng móu gāo jiù	to get a better job somewhere else (idiom)/to seek alternative employment
合謀	合谋	hé móu	to conspire/to plot together
同謀	同谋	tóng móu	to conspire with sb/to plot/a conspirator/a partner in crime/an accomplice
善自為謀	善自为谋	shàn zì wéi móu	to be good at working for one's own profit (idiom)
圖謀	图谋	tú móu	to conspire
多謀善斷	多谋善断	duō móu shàn duàn	resourceful and decisive/resolute and sagacious
密謀	密谋	mì móu	conspiracy/secret plan/to conspire
小不忍則亂大謀	小不忍则乱大谋	xiǎo bù rěn zé luàn dà móu	(idiom) great plans can be ruined by just a touch of impatience
張藝謀	张艺谋	Zhāng Yì móu	Zhang Yimou (1950-), PRC film director
思謀	思谋	sī móu	to consider/to turn over in one's mind
智謀	智谋	zhì móu	resourceful/intelligent
有勇無謀	有勇无谋	yǒu yǒng wú móu	bold but not very astute (idiom)
有預謀	有预谋	yǒu yù móu	premeditated
機謀	机谋	jī móu	stratagem/scheme/shrewdness
權謀	权谋	quán móu	trickery/tactics
深謀	深谋	shēn móu	forethought
深謀遠慮	深谋远虑	shēn móu yuǎn lǜ	lit. deep plans and distant thoughts/to plan far ahead (idiom)
深謀遠略	深谋远略	shēn móu yuǎn lüè	a well-thought out long-term strategy
淵謀	渊谋	yuān móu	profound or erudite plans
營謀	营谋	yíng móu	to do business/to manage/to strive for/to use every possible means (toward a goal)
疎謀少略	疏谋少略	shū móu shǎo lüè	unable to plan/inept at strategy (idiom)
私謀叛國	私谋叛国	sī móu pàn guó	to secretly plan treason (idiom)
策謀	策谋	cè móu	stratagem (political or military)/trick
築室道謀	筑室道谋	zhù shì dào móu	lit. ask passers-by how to build one's house (idiom); fig. to have no idea what to do/without a clue
籌謀	筹谋	chóu móu	to work out a strategy/to come up with a plan for
總參謀部	总参谋部	Zǒng cān móu bù	(military) General Staff Headquarters
總參謀長	总参谋长	zǒng cān móu zhǎng	(military) Chief of Staff
老謀深算	老谋深算	lǎo móu shēn suàn	rigorous schemes and deep foresight (idiom); astute and circumspect
蓄謀	蓄谋	xù mòu	to premeditate/to plot
計謀	计谋	jì móu	stratagem/scheme
不在其位不謀其政	不在其位不谋其政	bù zài qí wèi bù mòu qí zhèng	don't meddle in affairs that are not part of your position (Confucius)
謀事	谋事	móu shì	to plan matters/to look for a job
謀事在人，成事在天	谋事在人，成事在天	móu shì zài rén , chéng shì zài tiān	planning is with man, accomplishing with heaven (idiom); Man proposes but God disposes.
謀利	谋利	móu lì	to make a profit/to gain/to get an advantage
謀刺	谋刺	móu cì	to plot to assassinate
謀劃	谋划	móu huà	to scheme/to plot/conspiracy
謀反	谋反	móu fǎn	to plot a rebellion/to conspire against the state
謀取	谋取	móu qǔ	to seek/to strive for/to obtain/see also 牟取[móu qǔ]
謀士	谋士	móu shì	skilled manipulator/tactician/strategist/advisor/counsellor
謀害	谋害	móu hài	to conspire to murder/to plot against sb's life
謀得	谋得	móu dé	to get/to obtain
謀慮	谋虑	móu lǜ	to plan and consider/to reflect on one's best strategy
謀智	谋智	móu zhì	Mozilla Corporation/intelligence and wisdom/resourceful/same as 智謀|智谋
謀殺	谋杀	móu shā	to murder/to assassinate/intentional homicide
謀殺案	谋杀案	móu shā àn	murder case
謀殺罪	谋杀罪	móu shā zuì	murder
謀求	谋求	móu qiú	to seek/to strive for
謀生	谋生	móu shēng	to seek one's livelihood/to work to support oneself/to earn a living
謀略	谋略	móu lüè	stratagem/strategy/resourcefulness
謀職	谋职	móu zhí	to look for a job/to seek employment
謀臣	谋臣	móu chén	imperial strategic adviser/expert on strategy
謀臣如雨	谋臣如雨	móu chén rú yǔ	strategic experts as thick as rain (idiom); no shortage of advisers on strategy
謀臣武將	谋臣武将	móu chén wǔ jiàng	strategic experts and powerful generals (idiom)
謀臣猛將	谋臣猛将	móu chén měng jiàng	strategic experts and powerful generals (idiom)
謀計	谋计	móu jì	stratagem/scheme
謀財害命	谋财害命	móu cái hài mìng	to plot and kill sb for his property (idiom); to murder for money
謀面	谋面	móu miàn	to meet
謀食	谋食	móu shí	to make a living/to strive to earn a living
足智多謀	足智多谋	zú zhì duō móu	resourceful/full of stratagems
道不同不相為謀	道不同不相为谋	dào bù tóng bù xiāng wéi móu	lit. persons who walk different paths cannot make plans together/to go separate ways (idiom)
遠謀	远谋	yuǎn móu	a long-term plan/an ambitious strategy
鑽謀	钻谋	zuān móu	to use influence to get what one wants/to find a way through (esp. corrupt)/to succeed by means fair or foul
陰謀	阴谋	yīn móu	plot/conspiracy
陰謀家	阴谋家	yīn móu jiā	schemer/conspirator
陰謀詭計	阴谋诡计	yīn móu guǐ jì	crafty plots and machinations (idiom)
陰謀論	阴谋论	yīn móu lùn	conspiracy theory
陰謀顛覆政府罪	阴谋颠覆政府罪	yīn móu diān fù zhèng fǔ zuì	the crime of conspiracy to overthrow the government
陽謀	阳谋	yáng móu	to conspire openly/overt plot
非預謀	非预谋	fēi yù móu	unpremeditated
預謀	预谋	yù móu	premeditated/to plan sth in advance (esp. a crime)
預謀殺人	预谋杀人	yù móu shā rén	premeditated murder
