諧	谐	xié	harmonious/humorous
和諧	和谐	hé xié	harmonious/harmony/(euphemism) to censor
和諧性	和谐性	hé xié xìng	compatibility/mutual harmony
基諧波	基谐波	jī xié bō	fundamental frequency/base harmonic
奧丁諧振器	奥丁谐振器	Ào dīng xié zhèn qì	Oudin coil/Oudin resonator
射頻調諧器	射频调谐器	shè pín tiáo xié qì	RF tuner
簡諧	简谐	jiǎn xié	simple harmonic (motion, oscillation etc in mechanics)
簡諧振動	简谐振动	jiǎn xié zhèn dòng	simple harmonic oscillation/sinusoidal oscillation
簡諧波	简谐波	jiǎn xié bō	simple harmonic wave/sine wave
簡諧運動	简谐运动	jiǎn xié yùn dòng	simple harmonic motion (in mechanics)/motion of a simple pendulum
總諧波失真	总谐波失真	zǒng xié bō shī zhēn	(acoustics) total harmonic distortion (THD)
被和諧	被和谐	bèi hé xié	to be "harmonized" i.e. censored
詼諧	诙谐	huī xié	humorous/jocular/zany
調諧	调谐	tiáo xié	harmonious/to adjust/to tune (e.g. wireless receiver)/to bring into harmony
元音和諧	元音和谐	yuán yīn hé xié	vowel harmony (in phonetics of Altaic languages)
諧劇	谐剧	xié jù	Xieju opera (ballad and dancing monologue, popular in Sichuan)
諧和	谐和	xié hé	concordant/harmonious
諧婉	谐婉	xié wǎn	mild and harmonious
諧戲	谐戏	xié xì	to joke
諧振	谐振	xié zhèn	resonance/sympathetic vibration
諧振動	谐振动	xié zhèn dòng	harmonic oscillation (e.g. sound wave)
諧振子	谐振子	xié zhèn zǐ	harmonic oscillator (physics)
諧星	谐星	xié xīng	popular comedian/comic star
諧波	谐波	xié bō	harmonic (wave with frequency an integer multiple of the fundamental)
諧稱	谐称	xié chēng	humorous nickname
諧美	谐美	xié měi	harmonious and graceful
諧談	谐谈	xié tán	joking/humorous talk
諧謔	谐谑	xié xuè	banter/humorous repartee
諧趣	谐趣	xié qù	humor/amusing
諧音	谐音	xié yīn	homonym/homophone/harmonic (component of sound)
諧音列	谐音列	xié yīn liè	harmonic series
