謠	谣	yáo	popular ballad/rumor
歌謠	歌谣	gē yáo	folksong/ballad/nursery rhyme
民謠	民谣	mín yáo	ballad/folk song
童謠	童谣	tóng yáo	nursery rhyme
聽信謠言	听信谣言	tīng xìn yáo yán	to take heed of idle chatter (idiom)
大謠	大谣	dà yáo	high-profile rumormonger (esp. on a microblog)
謠傳	谣传	yáo chuán	rumor
謠言	谣言	yáo yán	rumor
謠言惑衆	谣言惑众	yáo yán huò zhòng	to mislead the public with rumors/to delude the people with lies
造謠	造谣	zào yáo	to start a rumor
造謠生事	造谣生事	zào yáo shēng shì	to start rumours and create trouble
闢謠	辟谣	pì yáo	to refute a rumor/to deny
