貂	貂	diāo	sable or marten (genus Martes)
水貂	水貂	shuǐ diāo	mink (Mustela lutreola, M. vison)
狗尾續貂	狗尾续貂	gǒu wěi xù diāo	lit. to use a dog's tail as a substitute for sable fur (idiom)/fig. a worthless sequel to a masterpiece
紫貂	紫貂	zǐ diāo	sable (Martes zibellina)
三貂角	三貂角	Sān diāo jiǎo	Cape San Diego or Santiao, easternmost point of Taiwan Island
貂熊	貂熊	diāo xióng	wolverine (Gulo gulo)
貂皮	貂皮	diāo pí	mink fur
貂蟬	貂蝉	Diāo Chán	Diaochan (-192), one of the four legendary beauties 四大美女[sì dà měi nǚ], in fiction a famous beauty at the break-up of Han dynasty, given as concubine to usurping warlord Dong Zhuo 董卓[Dǒng Zhuó] to ensure his overthrow by fighting hero Lü Bu 呂布|吕布[Lǚ Bù]
貂裘換酒	貂裘换酒	diāo qiú huàn jiǔ	lit. to trade a fur coat for wine (idiom)/fig. (of wealthy people) to lead a dissolute and extravagant life
雪貂	雪貂	xuě diāo	ferret
黑貂	黑貂	hēi diāo	sable (Martes zibellina)
