貞	贞	zhēn	chaste
堅貞	坚贞	jiān zhēn	firm/unswerving/loyal to the end
堅貞不屈	坚贞不屈	jiān zhēn bù qū	faithful and unchanging (idiom); steadfast
堅貞不渝	坚贞不渝	jiān zhēn bù yú	unyielding integrity (idiom); unwavering
女貞	女贞	nǚ zhēn	privet (genus Ligustrum)
安貞	安贞	Ān zhēn	Antei (Japanese reign name, 1227-1229)
忠貞	忠贞	zhōng zhēn	loyal and dependable
忠貞不渝	忠贞不渝	zhōng zhēn bù yú	unswerving in one's loyalty (idiom); faithful and constant
永貞內禪	永贞内禅	Yǒng zhēn nèi shàn	Yongzhen abdication of 805
永貞革新	永贞革新	Yǒng zhēn Gé xīn	Yongzhen Reform, Tang dynasty failed reform movement of 805 led by Wang Shuwen 王叔文[Wáng Shū wén]
白素貞	白素贞	Bái Sù zhēn	(name of a person) Bai Suzhen, from Madame White Snake
童貞	童贞	tóng zhēn	virginity/chastity
聖女貞德	圣女贞德	Shèng nǚ Zhēn dé	Joan of Arc (1412-1431), French heroine and liberator, executed as a witch by the Burgundians and English
蘇貞昌	苏贞昌	Sū Zhēn chāng	Su Tseng-chang (1947-), Taiwanese DPP politician, premier of the Republic of China (2019-)
三貞九烈	三贞九烈	sān zhēn jiǔ liè	(of a widow) faithful to the death to her husband's memory
貞女	贞女	zhēn nǚ	female virgin/widow who does not remarry
貞德	贞德	Zhēn dé	Jeanne d'Arc (1412-1431), French heroine and liberator, executed as a witch by the Burgundians and English/also called Jehanne Darc, the Maid or Orleans, Joan of Arc or St Joan
貞操	贞操	zhēn cāo	(usually of women) chastity/virginity/virtue/honor/loyalty/moral integrity
貞操帶	贞操带	zhēn cāo dài	chastity belt
貞潔	贞洁	zhēn jié	chastity
貞烈	贞烈	zhēn liè	ready to die to preserve one's chastity
貞節	贞节	zhēn jié	chastity/virginity (of women)/moral integrity (of men)/loyalty/constancy
貞節牌坊	贞节牌坊	zhēn jié pái fāng	memorial arch in honor of a chaste widow
貞豐	贞丰	Zhēn fēng	Zhenfeng county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
貞豐縣	贞丰县	Zhēn fēng xiàn	Zhenfeng county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
