責	责	zé	duty/responsibility/to reproach/to blame
人人有責	人人有责	rén rén yǒu zé	it is everyone's duty
企業社會責任	企业社会责任	qǐ yè shè huì zé rèn	corporate social responsibility (CSR)
免責條款	免责条款	miǎn zé tiáo kuǎn	disclaimer
免責聲明	免责声明	miǎn zé shēng míng	disclaimer
公開指責	公开指责	gōng kāi zhǐ zé	to denounce
切責	切责	qiè zé	to blame/to reprimand
叱責	叱责	chì zé	to upbraid
呵責	呵责	hē zé	to abuse/to berate
問責	问责	wèn zé	to hold accountable/to blame/to censure/to apportion blame
問責性	问责性	wèn zé xìng	accountability
嚴以責己寬以待人	严以责己宽以待人	yán yǐ zé jǐ kuān yǐ dài rén	to be severe with oneself and lenient with others (idiom)
國家興亡，匹夫有責	国家兴亡，匹夫有责	guó jiā xīng wáng , pǐ fū yǒu zé	The rise and fall of the nation concerns everyone (idiom). Everyone bears responsibility for the prosperity of society.
塞責	塞责	sè zé	to carry out one's duties perfunctorily/to fulfill one's responsibility
天下興亡，匹夫有責	天下兴亡，匹夫有责	tiān xià xīng wáng , pǐ fū yǒu zé	The rise and fall of the nation concerns everyone (idiom). Everyone bears responsibility for the prosperity of society.
失責	失责	shī zé	breach of responsibility/failure to carry out one's duty
守土有責	守土有责	shǒu tǔ yǒu zé	duty to defend the country (idiom)
專責	专责	zhuān zé	specific responsibility
徵名責實	征名责实	zhēng míng zé shí	to seek out the real nature based on the name (idiom); to judge sth at face value
扑責	扑责	pū zé	to punish by flogging
指責	指责	zhǐ zé	to criticize/to find fault with/to denounce
敷衍塞責	敷衍塞责	fū yǎn sè zé	to skimp on the job/to work half-heartedly/not to take the job seriously
文責自負	文责自负	wén zé zì fù	the author takes sole responsibility for the views expressed here (disclaimer)
斥責	斥责	chì zé	to lash out/to reprimand
有責任	有责任	yǒu zé rèn	liable/responsible
橫加指責	横加指责	héng jiā zhǐ zé	to blame unscrupulously
民事責任	民事责任	mín shì zé rèn	civil liability (law)
求全責備	求全责备	qiú quán zé bèi	to demand perfection (idiom)
法律責任	法律责任	fǎ lǜ zé rèn	legal responsibility/liability
盡職盡責	尽职尽责	jìn zhí jìn zé	responsible and diligent (idiom)
盡責	尽责	jìn zé	to do one's duty/to do one's bit conscientiously
督責	督责	dū zé	to supervise/to reprimand
笞責	笞责	chī zé	to flog with a bamboo stick
罪責	罪责	zuì zé	guilt
聊以塞責	聊以塞责	liáo yǐ sè zé	just to get away with one's responsibilities/in order to get off the hook
職責	职责	zhí zé	duty/responsibility/obligation
自責	自责	zì zé	to blame oneself
苛責	苛责	kē zé	to criticize harshly/to excoriate
譴責	谴责	qiǎn zé	to denounce/to condemn/to criticize/condemnation/criticism
譴責小說	谴责小说	qiǎn zé xiǎo shuō	novel of denunciation (according to Lu Xun's 鲁迅 classification)
負有責任	负有责任	fù yǒu zé rèn	at fault/blamed for/responsible (for a blunder or crime)
負責	负责	fù zé	to be in charge of/to take responsibility for/to be to blame/conscientious
負責人	负责人	fù zé rén	person in charge
負責任	负责任	fù zé rèn	to take responsibility/to bear responsibility/to be responsible
中航技進出口有限責任公司	中航技进出口有限责任公司	Zhōng háng jì Jìn chū kǒu Yǒu xiàn Zé rèn Gōng sī	China National Aero-Technology Import & Export Corporation (CATIC)
責令	责令	zé lìng	to order/to enjoin/to charge/to instruct sb to finish sth
責任	责任	zé rèn	responsibility/blame/duty/CL:個|个[gè]
責任事故	责任事故	zé rèn shì gù	accident occurring due to negligence
責任人	责任人	zé rèn rén	responsible person/coordinator
責任制	责任制	zé rèn zhì	system of job responsibility
責任心	责任心	zé rèn xīn	sense of responsibility
責任感	责任感	zé rèn gǎn	sense of responsibility
責任編輯	责任编辑	zé rèn biān jí	editor in charge
責備	责备	zé bèi	to blame/to criticize/condemnation/reproach
責備求全	责备求全	zé bèi qiú quán	see 求全責備|求全责备[qiú quán zé bèi]
責怪	责怪	zé guài	to blame/to rebuke
責成	责成	zé chéng	to charge (an entity) with (a task)/to assign (sb) the task of
責打	责打	zé dǎ	to punish by flogging
責有攸歸	责有攸归	zé yǒu yōu guī	responsibility must lie where it belongs (idiom)
責無旁貸	责无旁贷	zé wú páng dài	to be duty bound/to be one's unshirkable responsibility
責編	责编	zé biān	editor in charge (abbr. for 責任編輯|责任编辑[zé rèn biān jí])
責罰	责罚	zé fá	to punish
責罵	责骂	zé mà	to scold
責難	责难	zé nàn	to censure
農村家庭聯產承包責任制	农村家庭联产承包责任制	nóng cūn jiā tíng lián chǎn chéng bāo zé rèn zhì	rural household contract responsibility system, PRC government policy linking rural income to productivity
逃避責任	逃避责任	táo bì zé rèn	to evade responsibility/to shirk
連帶責任	连带责任	lián dài zé rèn	to bear joint responsibility for sth/joint liability (law)
重責	重责	zhòng zé	heavy responsibility/serious criticism
開脫罪責	开脱罪责	kāi tuō zuì zé	to absolve sb from guilt/to exonerate/to exculpate
