貿	贸	mào	commerce/trade
世界貿易	世界贸易	shì jiè mào yì	world trade/global trade
世界貿易中心	世界贸易中心	Shì jiè Mào yì Zhōng xīn	World Trade Center
世界貿易組織	世界贸易组织	Shì jiè Mào yì Zǔ zhī	World Trade Organization (WTO)
世貿	世贸	Shì mào	World Trade Organization (WTO)/abbr. for 世界貿易組織|世界贸易组织
世貿中心大樓	世贸中心大楼	Shì mào Zhōng xīn Dà lóu	World Trade Center (the twin towers destroyed by the 9-11 terrorists)
世貿大廈	世贸大厦	Shì mào Dà shà	World Trade Center
世貿組織	世贸组织	Shì mào Zǔ zhī	WTO (World Trade Organization)
中國國際貿易促進委員會	中国国际贸易促进委员会	Zhōng guó Guó jì Mào yì Cù jìn Wěi yuán huì	China Council for the Promotion of International Trade (CCPIT)
中國船舶貿易公司	中国船舶贸易公司	Zhōng guó Chuán bó Mào yì Gōng sī	China Shipbuilding Trading Corporation (CSTC)
內貿	内贸	nèi mào	domestic trade
公平貿易	公平贸易	gōng píng mào yì	fair trade
加工貿易	加工贸易	jiā gōng mào yì	process trade/trade involving assembly
商貿	商贸	shāng mào	trade and commerce
國家經濟貿易委員會	国家经济贸易委员会	Guó jiā Jīng jì Mào yì Wěi yuán huì	State Economic and Trade Commission (SETC)
國家軍品貿易局	国家军品贸易局	Guó jiā Jūn pǐn Mào yì jú	State Bureau of Military Products Trade (SBMPT)
國家軍品貿易管理委員會	国家军品贸易管理委员会	Guó jiā Jūn pǐn Mào yì Guǎn lǐ Wěi yuán huì	State Administration Committee on Military Products Trade (SACMPT)
國貿	国贸	guó mào	abbr. for 國際貿易|国际贸易[guó jì mào yì]
國際貿易	国际贸易	guó jì mào yì	international trade
外貿	外贸	wài mào	foreign trade
外貿協會	外贸协会	Wài mào Xié huì	Taiwan External Trade Development Council (TAITRA), abbr. for 中華民國對外貿易發展協會|中华民国对外贸易发展协会
對外經濟貿易大學	对外经济贸易大学	Duì wài Jīng jì Mào yì Dà xué	University of International Business and Economics
對外貿易	对外贸易	duì wài mào yì	foreign trade
對外貿易經濟合作部	对外贸易经济合作部	Duì wài Mào yì Jīng jì Hé zuò bù	Ministry of Foreign Trade and Economic Cooperation (MOFTEC)
廣東外語外貿大學	广东外语外贸大学	Guǎng dōng Wài yǔ Wài mào Dà xué	Guangdong University of Foreign Studies
服貿	服贸	Fú Mào	Cross-Strait Service Trade Agreement/abbr. for 兩岸服務貿易協議|两岸服务贸易协议[Liǎng àn Fú wù Mào yì Xié yì]
歐洲自由貿易聯盟	欧洲自由贸易联盟	Ōu zhōu Zì yóu Mào yì Lián méng	European Free Trade Association
瀕危野生動植物種國際貿易公約	濒危野生动植物种国际贸易公约	Bīn wēi Yě shēng Dòng Zhí wù zhǒng Guó jì Mào yì Gōng yuē	Convention on International Trade in Endangered Species of Wild Fauna and Flora/CITES
無形貿易	无形贸易	wú xíng mào yì	invisibles (trade)
經貿	经贸	jīng mào	trade
自由貿易	自由贸易	zì yóu mào yì	free trade
自由貿易區	自由贸易区	zì yóu mào yì qū	free trade zone/free trade area
自貿區	自贸区	zì mào qū	abbr. for 自由貿易區|自由贸易区[zì yóu mào yì qū]
財貿	财贸	cái mào	finance and trade
一般貿易	一般贸易	yī bān mào yì	general trade (i.e. importing and export without processing)
貿易	贸易	mào yì	(commercial) trade/CL:個|个[gè]
貿易中心	贸易中心	mào yì zhōng xīn	trade center/shopping mall
貿易伙伴	贸易伙伴	mào yì huǒ bàn	trading partner
貿易保護主義	贸易保护主义	mào yì bǎo hù zhǔ yì	trade protectionism
貿易公司	贸易公司	mào yì gōng sī	trading company
貿易協定	贸易协定	mào yì xié dìng	trade agreement
貿易壁壘	贸易壁垒	mào yì bì lěi	trade barrier
貿易夥伴	贸易夥伴	mào yì huǒ bàn	variant of 貿易伙伴|贸易伙伴[mào yì huǒ bàn]
貿易戰	贸易战	mào yì zhàn	trade war
貿易組織	贸易组织	mào yì zǔ zhī	trade organization
貿易貨棧	贸易货栈	mào yì huò zhàn	commercial warehouse
貿易逆差	贸易逆差	mào yì nì chā	trade deficit/adverse trade balance
貿易順差	贸易顺差	mào yì shùn chā	trade surplus
貿易額	贸易额	mào yì é	volume of trade (between countries)
貿然	贸然	mào rán	rashly/hastily/without careful consideration
農貿市場	农贸市场	nóng mào shì chǎng	farmer's market
關稅與貿易總協定	关税与贸易总协定	Guān shuì yǔ Mào yì Zǒng xié dìng	GATT, the 1995 General Agreement on Tariffs and Trade
關貿總協定	关贸总协定	Guān Mào Zǒng xié dìng	GATT, the 1995 General Agreement on Tariffs and Trade
集市貿易	集市贸易	jí shì mào yì	market trade
集貿	集贸	jí mào	market/trade
雙邊貿易	双边贸易	shuāng biān mào yì	bilateral trade
首都經濟貿易大學	首都经济贸易大学	Shǒu dū Jīng jì Mào yì Dà xué	Capital University of Economics and Business (Beijing)
首都經貿大學	首都经贸大学	Shǒu dū Jīng mào Dà xué	Capital University of Business and Economics, Beijing
香港貿易發展局	香港贸易发展局	Xiāng gǎng Mào yì Fā zhǎn jú	Hong Kong Trade Development Council
