賭	赌	dǔ	to bet/to gamble
打賭	打赌	dǎ dǔ	to bet/to make a bet/a wager
簽賭	签赌	qiān dǔ	to gamble
聚賭	聚赌	jù dǔ	communal gambling
吃喝嫖賭	吃喝嫖赌	chī hē piáo dǔ	to go dining, wining, whoring and gambling/to lead a life of dissipation
賭上一局	赌上一局	dǔ shàng yī jú	to engage in a game of chance/to gamble/to make a bet
賭博	赌博	dǔ bó	to gamble
賭咒	赌咒	dǔ zhòu	to swear to God/to cross one's heart
賭咒發誓	赌咒发誓	dǔ zhòu fā shì	to vow
賭城	赌城	dǔ chéng	casino town/nickname for Las Vegas
賭場	赌场	dǔ chǎng	casino
賭客	赌客	dǔ kè	gambler
賭局	赌局	dǔ jú	game of chance/gambling party/gambling joint
賭徒	赌徒	dǔ tú	gambler
賭棍	赌棍	dǔ gùn	hardened gambler/professional gambler
賭氣	赌气	dǔ qì	to act in a fit of pique/to get in a huff/to be peeved
賭注	赌注	dǔ zhù	stake (in a gamble)/(what is at) stake
賭球	赌球	dǔ qiú	(ball) sports betting
賭窩	赌窝	dǔ wō	gamblers' den/illegal casino
賭資	赌资	dǔ zī	money to gamble with
賭錢	赌钱	dǔ qián	to gamble
賭鬭	赌斗	dǔ dòu	to fight
賭鬼	赌鬼	dǔ guǐ	gambling addict
願賭服輸	愿赌服输	yuàn dǔ fú shū	lit. if you agree to bet you must accept to lose/fig. you bet, you pay
