財	财	cái	money/wealth/riches/property/valuables
不義之財	不义之财	bù yì zhī cái	ill-gotten wealth or gains
中央財經大學	中央财经大学	Zhōng yāng Cái jīng Dà xué	Central University of Finance and Economics, Beijing
中財	中财	Zhōng Cái	Central University of Finance and Economics, Beijing/abbr. for 中央財經大學|中央财经大学[Zhōng yāng Cái jīng Dà xué]
人為財死，鳥為食亡	人为财死，鸟为食亡	rén wèi cái sǐ , niǎo wèi shí wáng	lit. human beings will die for riches, just as birds will for food (idiom)/fig. man will do anything in his means to become rich
人財兩空	人财两空	rén cái liǎng kōng	loss of life and property/to lose the beauty and her possessions
仗義疏財	仗义疏财	zhàng yì shū cái	to help the needy for justice (idiom); to be loyal to one's friends and generous to the needy
信報財經新聞	信报财经新闻	xìn bào cái jīng xīn wén	Hong Kong Economic Journal
公共財產	公共财产	gōng gòng cái chǎn	public property
公司理財	公司理财	gōng sī lǐ cái	company finance/corporate finance
勞民傷財	劳民伤财	láo mín shāng cái	waste of manpower and resources
匯業財經集團	汇业财经集团	Huì yè Cái jīng Jí tuán	Delta Asia Financial Group (Macau)
升官發財	升官发财	shēng guān fā cái	to be promoted and gain wealth (idiom)
和氣生財	和气生财	hé qì shēng cái	(idiom) amiability makes you rich
善財	善财	shàn cái	to cherish wealth
善財難捨	善财难舍	shàn cái nán shě	to cherish wealth and find it hard to give up (idiom); refusing to contribute to charity/skinflint/miserly
圖財害命	图财害命	tú cái hài mìng	see 謀財害命|谋财害命[móu cái hài mìng]
土財主	土财主	tǔ cái zhǔ	local wealthy landlord/country money-bags/rich provincial
央財	央财	Yāng Cái	Central University of Finance and Economics, Beijing/abbr. for 中央財經大學|中央财经大学[Zhōng yāng Cái jīng Dà xué]
婚前財產公證	婚前财产公证	hūn qián cái chǎn gōng zhèng	prenuptial agreement/dowry contract
守財奴	守财奴	shǒu cái nú	miser/scrooge
小發財	小发财	xiǎo fā cái	(coll.) (Tw) mini truck/Kei truck
恭喜發財	恭喜发财	gōng xǐ fā cái	May you have a prosperous New Year! (New Year's greeting)
悶聲發大財	闷声发大财	mēn shēng fā dà cái	to amass wealth while keeping a low profile (idiom)
愛財	爱财	ài cái	avaricious
愛財如命	爱财如命	ài cái rú mìng	lit. to love money as much as one's own life (idiom)/fig. avaricious/tightfisted
打擊社會財富	打击社会财富	dǎ jī shè huì cái fù	countervalue
拚財	拚财	pàn cái	to make rash speculations
招財	招财	zhāo cái	lit. inviting wealth/We wish you success and riches (cf idiom 招財進寶|招财进宝[zhāo cái jìn bǎo])
招財貓	招财猫	zhāo cái māo	maneki-neko or "lucky cat", Japanese figurine cat usually found at the entrance of shops, restaurants etc, believed to bring good fortune
招財進寶	招财进宝	zhāo cái jìn bǎo	ushering in wealth and prosperity (idiom and traditional greeting, esp. at New Year); We wish you wealth and success!
斂財	敛财	liǎn cái	to accumulate wealth/to rake in money
智慧財產	智慧财产	zhì huì cái chǎn	intellectual property (Tw)
橫財	横财	hèng cái	easy money/windfall/ill-gotten gains/undeserved fortune/illegal profit
民窮財盡	民穷财尽	mín qióng cái jìn	the people are impoverished, their means exhausted (idiom); to drive the nation to bankruptcy
浮財	浮财	fú cái	movable property/money and belongings/non-real estate assets
理財	理财	lǐ cái	financial management/finance
理財學	理财学	lǐ cái xué	financial management science
生財	生财	shēng cái	to make money
生財有道	生财有道	shēng cái yǒu dào	lit. there are principles behind making money (idiom); fig. to have a knack for good business/knowing how to accumulate wealth/good at feathering one's own nest
疏財仗義	疏财仗义	shū cái zhàng yì	distributing money, fighting for virtue (idiom); fig. generous in helping the needy
疏財重義	疏财重义	shū cái zhòng yì	distributing money, supporting virtue (idiom); fig. to give generously in a public cause
發橫財	发横财	fā hèng cái	to make easy money/to make a fortune/to line one's pockets
發財	发财	fā cái	to get rich
發財致富	发财致富	fā cái zhì fù	to become rich/enrichment
發財車	发财车	fā cái chē	(Tw) mini truck/Kei truck
破財	破财	pò cái	bankrupt/to suffer financial loss
破財免災	破财免灾	pò cái miǎn zāi	a financial loss may prevent disaster (idiom)
精神財富	精神财富	jīng shén cái fù	spiritual wealth
萬貫家財	万贯家财	wàn guàn jiā cái	vast wealth
見財起意	见财起意	jiàn cái qǐ yì	seeing riches provokes evil designs
謀財害命	谋财害命	móu cái hài mìng	to plot and kill sb for his property (idiom); to murder for money
上海財經大學	上海财经大学	Shàng hǎi Cái jīng Dà xué	Shanghai University of Finance and Economics (SUFE)
財主	财主	cái zhǔ	rich man/moneybags
財利	财利	cái lì	wealth and profit/riches
財力	财力	cái lì	financial resources/financial ability
財務	财务	cái wù	financial affairs
財務再保險	财务再保险	cái wù zài bǎo xiǎn	financial reinsurance/fin re
財務大臣	财务大臣	cái wù dà chén	finance minister
財務秘書	财务秘书	cái wù mì shū	treasurer
財務軟件	财务软件	cái wù ruǎn jiàn	financial software/accounting software
財勢	财势	cái shì	wealth and influence
財團	财团	cái tuán	financial group
財報	财报	cái bào	financial report
財大氣粗	财大气粗	cái dà qì cū	rich and imposing/rich and overbearing
財富	财富	cái fù	wealth/riches
財寶	财宝	cái bǎo	money and valuables
財帛	财帛	cái bó	wealth/money
財年	财年	cái nián	fiscal year/financial year
財政	财政	cái zhèng	finances (public)/financial
財政大臣	财政大臣	cái zhèng dà chén	finance minister/UK chancellor of exchequer
財政年度	财政年度	cái zhèng nián dù	financial year/fiscal year (e.g. from April to March, for tax purposes)
財政部	财政部	Cái zhèng bù	Ministry of Finance
財政部長	财政部长	cái zhèng bù zhǎng	minister of finance
財會	财会	cái kuài	finance and accounting
財東	财东	cái dōng	shop owner/moneybags
財權	财权	cái quán	property ownership or right/financial power/financial control
財源	财源	cái yuán	financial resources/source of revenue
財源滾滾	财源滚滚	cái yuán gǔn gǔn	profits pouring in from all sides (idiom)/raking in money/bonanza
財物	财物	cái wù	property/belongings
財產	财产	cái chǎn	property/assets/estate/CL:筆|笔[bǐ]
財產價值	财产价值	cái chǎn jià zhí	property value
財產公證	财产公证	cái chǎn gōng zhèng	property notarization
財產權	财产权	cái chǎn quán	property rights
財相	财相	cái xiàng	minister of finance
財神	财神	cái shén	god of wealth
財神爺	财神爷	cái shén yé	god of wealth/very wealthy man
財禮	财礼	cái lǐ	betrothal gift/bride price
財稅	财税	cái shuì	finance and taxation
財稅廳	财税厅	cái shuì tīng	(provincial) department of finance
財經	财经	cái jīng	finance and economics
財貿	财贸	cái mào	finance and trade
財賦	财赋	cái fù	government revenue/tributary goods and finances/finances and taxes/wealth/property/belongings
財路	财路	cái lù	livelihood
財迷	财迷	cái mí	money grubber/miser
財迷心竅	财迷心窍	cái mí xīn qiào	mad about money (idiom)
財長	财长	cái zhǎng	treasurer/head of finances/minister of finance
財閥	财阀	cái fá	plutocracy/monopolistic corporation, esp. prewar Japanese zaibatsu/Korean chaebol/plutocrat/tycoon/oligarch/financial magnate
貪財	贪财	tān cái	to be greedy in getting money
貲財	赀财	zī cái	variant of 資財|资财[zī cái]
貴州財經學院	贵州财经学院	Guì zhōu Cái jīng Xué yuàn	Guizhou University of Finance and Economics
買路財	买路财	mǎi lù cái	see 買路錢|买路钱[mǎi lù qián]
資財	资财	zī cái	assets/capital and materials
邪財	邪财	xié cái	windfall/easy money/ill-gotten gains
酒色財氣	酒色财气	jiǔ sè cái qì	wine, sex, avarice and temper (idiom); four cardinal vices
錢財	钱财	qián cái	wealth/money
首席財務官	首席财务官	shǒu xí cái wù guān	chief financial officer (CFO)
