購	购	gòu	to buy/to purchase
併購	并购	bìng gòu	merger and acquisition (M and A)/acquisition/to take over
優先承購權	优先承购权	yōu xiān chéng gòu quán	prior purchase right/right of first refusal (ROFR)/preemptive right to purchase
內購	内购	nèi gòu	buying direct from your company at preferential prices/(gaming) in-app purchase
兼並與收購	兼并与收购	jiān bìng yǔ shōu gòu	mergers and acquisitions (M&A)
函購	函购	hán gòu	mail order
回購	回购	huí gòu	buyback/repurchase/to buy back
團購	团购	tuán gòu	group buying/collective buying/buying by a group of individuals who negotiate a discount for the group
套購	套购	tào gòu	a fraudulent purchase/to buy up sth illegally
定購	定购	dìng gòu	to order goods/to place an order
導購	导购	dǎo gòu	shopper's guide/shop assistant/sales staff
廢品收購站	废品收购站	fèi pǐn shōu gòu zhàn	salvage station/recycling center
批量購買	批量购买	pī liàng gòu mǎi	to buy in bulk/bulk buying
採購	采购	cǎi gòu	to procure (for an enterprise etc)/to purchase
採購員	采购员	cǎi gòu yuán	buyer/purchasing agent
採購商	采购商	cǎi gòu shāng	buyer
搶購	抢购	qiǎng gòu	to buy frenetically/to snap up (bargains, dwindling supplies etc)
收購	收购	shōu gòu	to purchase (from various places)/to acquire (a company)
收購要約	收购要约	shōu gòu yāo yuē	takeover bid
杠杆收購	杠杆收购	gàng gǎn shōu gòu	leveraged buyout (LBO)
樂購	乐购	Lè gòu	Tesco, UK-based supermarket chain
派購	派购	pài gòu	fixed government purchase (esp of farm products)
爭購	争购	zhēng gòu	to compete/to fight for/to rush to purchase
特易購	特易购	Tè yì gòu	Tesco, British-based supermarket chain
申購	申购	shēn gòu	to ask to buy/to bid for purchase
競購	竞购	jìng gòu	to bid competitively/to compete to buy (at auction)
管理層收購	管理层收购	guǎn lǐ céng shōu gòu	management buyout (MBO)
統購	统购	tǒng gòu	state purchasing monopoly/unified government purchase
統購派購	统购派购	tǒng gòu pài gòu	unified government purchase at fixed price (esp of farm products)
統購統銷	统购统销	tǒng gòu tǒng xiāo	state monopoly of purchasing and marketing
網購	网购	wǎng gòu	Internet shopping/to purchase online
訂購	订购	dìng gòu	to place an order/to subscribe
訂購者	订购者	dìng gòu zhě	subscriber
認購	认购	rèn gòu	to undertake to purchase sth/to subscribe (to share issue)
賒購	赊购	shē gòu	to buy on credit/to delay payment
代購	代购	dài gòu	to buy (on behalf of sb)
購得	购得	gòu dé	to purchase/to acquire
購書券	购书券	gòu shū quàn	book token
購物	购物	gòu wù	shopping
購物中心	购物中心	gòu wù zhōng xīn	shopping center
購物券	购物券	gòu wù quàn	coupon
購物大廈	购物大厦	gòu wù dà shà	shopping mall
購物廣場	购物广场	gòu wù guǎng chǎng	shopping mall
購物手推車	购物手推车	gòu wù shǒu tuī chē	shopping cart
購物袋	购物袋	gòu wù dài	shopping bag
購物車	购物车	gòu wù chē	shopping cart
購置	购置	gòu zhì	to purchase
購貨	购货	gòu huò	purchase of goods
購買	购买	gòu mǎi	to purchase/to buy
購買力	购买力	gòu mǎi lì	purchasing power
購買者	购买者	gòu mǎi zhě	purchaser
超額訂購	超额订购	chāo é dìng gòu	to overbook
超額認購	超额认购	chāo é rèn gòu	(a share issue is) oversubscribed
追購	追购	zhuī gòu	a bounty/a reward for capturing an outlaw
選購	选购	xuǎn gòu	to select and purchase/to buy
郵購	邮购	yóu gòu	mail order/to purchase by mail
預購	预购	yù gòu	advance purchase
