賤	贱	jiàn	inexpensive/lowly
卑賤	卑贱	bēi jiàn	lowly/mean and low
大賤賣	大贱卖	dà jiàn mài	to sell at a big discount
威尊命賤	威尊命贱	wēi zūn mìng jiàn	orders weightier than life
微賤	微贱	wēi jiàn	humble/lowly
淫賤	淫贱	yín jiàn	morally loose, lewd and low, lascivious and mean/wanton
潑賤	泼贱	pō jiàn	base/worthless
潑賤人	泼贱人	pō jiàn rén	slut/tramp (old)
自輕自賤	自轻自贱	zì qīng zì jiàn	to belittle oneself/self-contempt
親疏貴賤	亲疏贵贱	qīn shū guì jiàn	close and distant, rich and poor (idiom); everyone/all possible relations
貧賤	贫贱	pín jiàn	poor and lowly
貧賤不能移	贫贱不能移	pín jiàn bù néng yí	not shaken by poverty/to preserve one's ambitions although destitute
貴古賤今	贵古贱今	guì gǔ jiàn jīn	to revere the past and despise the present (idiom)
貴賤	贵贱	guì jiàn	noble and lowly/high versus low social hierarchy of ruler to people, father to son, husband to wife in Confucianism
貴遠賤近	贵远贱近	guì yuǎn jiàn jìn	to revere the past and despise the present (idiom)
下賤	下贱	xià jiàn	humble/lowly/depraved/contemptible
賤人	贱人	jiàn rén	slut/cheap person
賤內	贱内	jiàn nèi	my wife (humble)
賤格	贱格	jiàn gé	despicable
賤民	贱民	jiàn mín	social stratum below the level of ordinary people/untouchable/dalit (India caste)
賤稱	贱称	jiàn chēng	contemptuous term
賤貨	贱货	jiàn huò	bitch/slut
賤賣	贱卖	jiàn mài	to sell cheaply/sacrifice/low price/discount sale
賤骨頭	贱骨头	jiàn gǔ tou	miserable wretch/contemptible individual
鄙賤	鄙贱	bǐ jiàn	lowly/despicable/to despise
