贖	赎	shú	to redeem/to ransom
找贖	找赎	zhǎo shú	(dialect) to give change
擄人勒贖	掳人勒赎	lǔ rén lè shú	kidnapping for ransom
救贖	救赎	jiù shú	to save (a soul)/redemption
救贖主	救赎主	jiù shú zhǔ	Redeemer
苦行贖罪	苦行赎罪	kǔ xíng shú zuì	penance (to atone for a sin)
將功贖罪	将功赎罪	jiāng gōng shú zuì	to atone for one's crimes by meritorious acts
贖價	赎价	shú jià	price paid to redeem an object/(religion) price paid to redeem sb/ransom
贖回	赎回	shú huí	to redeem
贖款	赎款	shú kuǎn	ransom
贖罪	赎罪	shú zuì	to atone for one's crime/to buy freedom from punishment/redemption/atonement
贖罪日	赎罪日	Shú zuì rì	Yom Kippur or Day of Atonement (Jewish holiday)
贖罪日戰爭	赎罪日战争	Shú zuì rì zhàn zhēng	the Yom Kippur war of October 1973 between Israel and her Arab neighbors
贖金	赎金	shú jīn	ransom
