躍	跃	yuè	to jump/to leap
喜躍	喜跃	xǐ yuè	to jump for joy
大躍進	大跃进	Dà yuè jìn	Great Leap Forward (1958-1960), Mao's attempt to modernize China's economy, which resulted in economic devastation, and millions of deaths from famine caused by misguided policies
歡呼雀躍	欢呼雀跃	huān hū què yuè	cheering excitedly (idiom)/jubilant
歡欣雀躍	欢欣雀跃	huān xīn què yuè	elated/overjoyed
活躍	活跃	huó yuè	active/lively/excited/to enliven/to brighten up
活躍份子	活跃分子	huó yuè fèn zǐ	activist
質的飛躍	质的飞跃	zhì de fēi yuè	qualitative leap
跳躍	跳跃	tiào yuè	to jump/to leap/to bound/to skip
踴躍	踊跃	yǒng yuè	to leap/to jump/eager/enthusiastically
一躍而起	一跃而起	yī yuè ér qǐ	to jump up suddenly/to bound up/to rise up in one bound
躍升	跃升	yuè shēng	to leap to (a higher position etc)/to jump/(of a plane) to ascend
躍居	跃居	yuè jū	to vault
躍層	跃层	yuè céng	duplex (apartment)
躍然	跃然	yuè rán	to show forth/to appear as a vivid image/to stand out markedly
躍然紙上	跃然纸上	yuè rán zhǐ shàng	to appear vividly on paper (idiom); to show forth vividly (in writing, painting etc)/to stand out markedly
躍躍欲試	跃跃欲试	yuè yuè yù shì	to be eager to give sth a try (idiom)
躍進	跃进	yuè jìn	to leap forward/to make rapid progress/a leap forward
躍遷	跃迁	yuè qiān	transition/jump (e.g. quantum leap in spectroscopy)
躍馬	跃马	yuè mǎ	to gallop/to spur on a horse/to let one's steed have his head
躍龍	跃龙	yuè lóng	allosaurus
雀躍	雀跃	què yuè	excited/in high spirits
飛躍	飞跃	fēi yuè	to leap
飛躍道	飞跃道	fēi yuè dào	parkour (HK)
龍騰虎躍	龙腾虎跃	lóng téng hǔ yuè	lit. dragon soaring and tiger leaping (idiom)/fig. prosperous and bustling/vigorous and active
