蹤	踪	zōng	footprint/trace/tracks
不見一點蹤影	不见一点踪影	bù jiàn yī diǎn zōng yǐng	no trace to be seen
作戰失蹤	作战失踪	zuò zhàn shī zōng	see 作戰失蹤人員|作战失踪人员[zuò zhàn shī zōng rén yuán]
作戰失蹤人員	作战失踪人员	zuò zhàn shī zōng rén yuán	missing in action (MIA) (military)
來去無蹤	来去无踪	lái qù wú zōng	come without a shadow, leave without a footprint (idiom); to come and leave without a trace
來無影，去無蹤	来无影，去无踪	lái wú yǐng , qù wú zōng	lit. come without a shadow, leave without a footprint (idiom); to come and go without a trace
來蹤去跡	来踪去迹	lái zōng qù jì	the traces of a person's movements/(fig.) sb's history/the ins and out of a matter
失蹤	失踪	shī zōng	to be missing/to disappear/unaccounted for
影蹤	影踪	yǐng zōng	trace/sign
潛蹤	潜踪	qián zōng	in hiding
潛逃無蹤	潜逃无踪	qián táo wú zōng	to abscond without leaving a trace (idiom)
無影無蹤	无影无踪	wú yǐng wú zōng	to disappear without trace (idiom)
玩失蹤	玩失踪	wán shī zōng	to hide oneself (as a joke)
藏蹤	藏踪	cáng zōng	to hide
行蹤	行踪	xíng zōng	whereabouts/(lose) track (of)
跟蹤	跟踪	gēn zōng	to follow sb's tracks/to tail/to shadow/tracking
跟蹤狂	跟踪狂	gēn zōng kuáng	stalker
一去無影蹤	一去无影踪	yī qù wú yǐng zōng	gone without a trace
蹤影	踪影	zōng yǐng	trace/vestige/presence
蹤跡	踪迹	zōng jì	tracks/trail/footprint/trace/vestige
躡蹤	蹑踪	niè zōng	to follow along behind sb (formal writing)
迷蹤羅漢拳	迷踪罗汉拳	mí zōng luó hàn quán	Mizongyi, Mizong, My Jhong Law Horn - "Lost Track Fist" (Chinese Martial Art)
追蹤	追踪	zhuī zōng	to follow a trail/to trace/to pursue
追蹤報導	追踪报导	zhuī zōng bào dǎo	follow-up report
追蹤號碼	追踪号码	zhuī zōng hào mǎ	tracking number (of a package shipment)
追蹤調查	追踪调查	zhuī zōng diào chá	follow-up study/investigative follow-up
逃竄無蹤	逃窜无踪	táo cuàn wú zōng	to disperse and flee, leaving no trace
