軌	轨	guǐ	course/path/track/rail
不軌	不轨	bù guǐ	errant
低地軌道	低地轨道	dī dì guǐ dào	see 近地軌道|近地轨道[jìn dì guǐ dào]
出軌	出轨	chū guǐ	derailment (railway accident)/to leave the rails/fig. to overstep bounds/fig. to have an extramarital affair
單軌	单轨	dān guǐ	monorail
圓軌道	圆轨道	yuán guǐ dào	circular orbit (in astronomy and in astronautics)
地球軌道	地球轨道	dì qiú guǐ dào	earth orbit
導軌	导轨	dǎo guǐ	(mechanics) guide rail/slideway
常軌	常轨	cháng guǐ	normal practice
接軌	接轨	jiē guǐ	railtrack connection/to integrate into sth/to dock/to connect/to be in step with/to bring into line with/to align
有軌	有轨	yǒu guǐ	tracked (tramcar)
有軌電車	有轨电车	yǒu guǐ diàn chē	streetcar/tramcar/tram
正軌	正轨	zhèng guǐ	the right track
無軌	无轨	wú guǐ	trackless
無軌電車	无轨电车	wú guǐ diàn chē	trolleybus
磁軌砲	磁轨炮	cí guǐ pào	railgun
繼軌	继轨	jì guǐ	to follow in the steps of
脫軌	脱轨	tuō guǐ	to leave the rails/to derail/to jump the track
臥軌	卧轨	wò guǐ	to lie across the railway tracks (to commit suicide or to prevent trains from getting through)
護軌	护轨	hù guǐ	(railway) guard rail
越軌	越轨	yuè guǐ	to run off the track/to step out of line/to overstep the bounds of propriety
路軌	路轨	lù guǐ	track (railroad, streetcar etc)
上軌道	上轨道	shàng guǐ dào	to stay on track/to proceed smoothly
軌枕	轨枕	guǐ zhěn	sleeper/tie
軌範	轨范	guǐ fàn	standard/criterion
軌距	轨距	guǐ jù	gauge
軌跡	轨迹	guǐ jì	locus/orbit/trajectory/track
軌跡球	轨迹球	guǐ jì qiú	trackball (computing)
軌道	轨道	guǐ dào	orbit/railway or tram line/fig. conventional way of thinking
軌道交通	轨道交通	guǐ dào jiāo tōng	metro/rapid transit/subway
軌道空間站	轨道空间站	guǐ dào kōng jiān zhàn	orbiting space station
軌道艙	轨道舱	guǐ dào cāng	orbital module/orbital cabin
載人軌道空間站	载人轨道空间站	zài rén guǐ dào kōng jiān zhàn	manned orbiting space station
輕型軌道交通	轻型轨道交通	qīng xíng guǐ dào jiāo tōng	light rail/transit system (underground, at street level or elevated)/streetcar/metro/abbr. to 輕軌|轻轨[qīng guǐ]
輕軌	轻轨	qīng guǐ	light rail/transit system (underground, at street level or elevated)/streetcar/metro/abbr. for 輕型軌道交通|轻型轨道交通[qīng xíng guǐ dào jiāo tōng]
轉軌	转轨	zhuǎn guǐ	to change track
近地軌道	近地轨道	jìn dì guǐ dào	low Earth orbit (LEO)
退休金雙軌制	退休金双轨制	tuì xiū jīn shuāng guǐ zhì	see 養老金雙軌制|养老金双轨制[yǎng lǎo jīn shuāng guǐ zhì]
送上軌道	送上轨道	sòng shàng guǐ dào	to send into orbit
遐軌	遐轨	xiá guǐ	long-established rules of conduct
鋪軌	铺轨	pū guǐ	to lay railway track
鋼軌	钢轨	gāng guǐ	steel rail
鏈軌	链轨	liàn guǐ	caterpillar track (propulsion system used on bulldozers etc)
鐵軌	铁轨	tiě guǐ	rail/railroad track/CL:根[gēn]
雙軌	双轨	shuāng guǐ	double-track/parallel tracks/dual-track (system)
音軌	音轨	yīn guǐ	sound track/track number (e.g. on a CD)
養老金雙軌制	养老金双轨制	yǎng lǎo jīn shuāng guǐ zhì	dual pension scheme (PRC)
