軍	军	jūn	army/military/arms/CL:個|个[gè]
三軍用命	三军用命	sān jūn yòng mìng	(of a team) to throw oneself into the battle
上將軍	上将军	shàng jiàng jūn	top general/commander-in-chief
中國人民志願軍	中国人民志愿军	Zhōng guó rén mín zhì yuàn jūn	the Chinese People's Volunteer Army deployed by China to aid North Korea in 1950
中國人民解放軍	中国人民解放军	Zhōng guó Rén mín Jiě fàng jūn	Chinese People's Liberation Army (PLA)
中國人民解放軍海軍	中国人民解放军海军	Zhōng guó Rén mín Jiě fàng jūn Hǎi jūn	Chinese People's Liberation Army Navy (PLAN)
中國人民解放軍空軍	中国人民解放军空军	Zhōng guó Rén mín Jiě fàng jūn Kōng jūn	People's Liberation Army Air Force (PLAAF)
中央軍事委員會	中央军事委员会	Zhōng yāng Jūn shì Wěi yuán huì	(PRC) Central Military Commission
中央軍委	中央军委	zhōng yāng jūn wěi	Central Military Committee (CMC)
亞軍	亚军	yà jūn	second place (in a sports contest)/runner-up
人民解放軍	人民解放军	rén mín jiě fàng jūn	People's Liberation Army
以軍	以军	yǐ jūn	Israeli soldiers
侵略軍	侵略军	qīn lüè jūn	invading army
俄軍	俄军	É jūn	Russian army
倭軍	倭军	wō jūn	Japanese army (derog.) (old)
偽軍	伪军	wěi jūn	puppet army
元軍	元军	Yuán jūn	Mongol army/army of Yuan dynasty
充軍	充军	chōng jūn	to banish (to an army post, as a punishment)
全軍	全军	quán jūn	all-army/all-military
全軍覆沒	全军覆没	quán jūn fù mò	total defeat of an army (idiom); fig. a complete wipeout
全黨全軍	全党全军	quán dǎng quán jūn	the (communist) party and the army together (idiom)
八一建軍節	八一建军节	Bā yī Jiàn jūn jié	see 建軍節|建军节[Jiàn jūn jié]
八國聯軍	八国联军	Bā guó Lián jūn	Eight-Nation Alliance, involved in a military intervention in northern China in 1900
八路軍	八路军	Bā lù jūn	Eighth Route Army, the larger of the two major Chinese communist forces fighting the Japanese in the Second Sino-Japanese War (1937-1945)
冠軍	冠军	guàn jūn	champion/CL:個|个[gè]
冠軍賽	冠军赛	guàn jūn sài	championship
加拿大皇家海軍	加拿大皇家海军	Jiā ná dà Huáng jiā hǎi jūn	Royal Canadian Navy RCN
北伐軍	北伐军	běi fá jūn	the Northern Expeditionary Army
北洋軍	北洋军	Běi yáng jūn	north China army, a modernizing Western-style army set up during late Qing, and a breeding ground for the Northern Warlords after the Qinghai revolution
北洋軍閥	北洋军阀	Běi yáng Jūn fá	the Northern Warlords (1912-1927)
北洋陸軍	北洋陆军	Běi yáng lù jūn	north China army (esp. during the warlords period)
十字軍	十字军	shí zì jūn	crusaders/army of crusaders/the Crusades
十字軍東征	十字军东征	shí zì jūn dōng zhēng	the Crusades/crusaders' eastern expedition
十字軍遠征	十字军远征	shí zì jūn yuǎn zhēng	the Crusades
千軍易得，一將難求	千军易得，一将难求	qiān jūn yì dé , yī jiàng nán qiú	Easy to raise an army of one thousand, but hard to find a good general. (idiom)
千軍萬馬	千军万马	qiān jūn wàn mǎ	magnificent army with thousands of men and horses (idiom); impressive display of manpower/all the King's horses and all the King's men
參軍	参军	cān jūn	to join the army
友軍	友军	yǒu jūn	friendly forces/allies
叛軍	叛军	pàn jūn	rebel army
可供軍用	可供军用	kě gōng jūn yòng	having possible military application
同盟軍	同盟军	tóng méng jūn	ally/allied forces
國家軍品貿易局	国家军品贸易局	Guó jiā Jūn pǐn Mào yì jú	State Bureau of Military Products Trade (SBMPT)
國家軍品貿易管理委員會	国家军品贸易管理委员会	Guó jiā Jūn pǐn Mào yì Guǎn lǐ Wěi yuán huì	State Administration Committee on Military Products Trade (SACMPT)
國民革命軍	国民革命军	Guó mín Gé mìng jūn	National Revolutionary Army
國民黨軍隊	国民党军队	guó mín dǎng jūn duì	nationalist forces
團體冠軍	团体冠军	tuán tǐ guàn jūn	group championship
夜行軍	夜行军	yè xíng jūn	a night march
大將軍	大将军	dà jiāng jūn	important general/generalissimo
大軍	大军	dà jūn	army/main forces
大軍區	大军区	dà jūn qū	PLA military region
奉系軍閥	奉系军阀	Fèng xì jūn fá	Fengtian clique (of northern warlords)
季軍	季军	jì jūn	third in a race/bronze medalist
孤軍奮戰	孤军奋战	gū jūn fèn zhàn	lit. lone army putting up a brave fight (idiom)/fig. (of a person or group of people) struggling hard without support
守軍	守军	shǒu jūn	defenders
官軍	官军	guān jūn	official army government army
將軍	将军	Jiāng jūn	Chiangchun township in Tainan county 台南縣|台南县[Tái nán xiàn], Taiwan
將軍	将军	jiāng jūn	general/high-ranking military officer/to check or checkmate/fig. to embarrass/to challenge/to put sb on the spot
將軍肚	将军肚	jiāng jūn dù	potbelly
將軍肚子	将军肚子	jiāng jūn dù zi	beer belly (complimentary)
將軍鄉	将军乡	Jiāng jūn xiāng	Chiangchun township in Tainan county 台南縣|台南县[Tái nán xiàn], Taiwan
小軍艦鳥	小军舰鸟	xiǎo jūn jiàn niǎo	(bird species of China) great frigatebird (Fregata minor)
常勝軍	常胜军	cháng shèng jūn	Ever Victorious Army (1860-1864), Qing dynasty army equipped and trained jointly with Europeans and used esp. against the Taiping rebels
幼童軍	幼童军	Yòu tóng jūn	Cub Scout
廢除軍備	废除军备	fèi chú jūn bèi	to disarm
建軍節	建军节	Jiàn jūn jié	Army Day (August 1)
後備軍	后备军	hòu bèi jūn	rearguard
從軍	从军	cóng jūn	to enlist/to serve in the army
復活的軍團	复活的军团	Fù huó de jūn tuán	the Resurrected Army (CCTV documentary series about the Terracotta army)
志願軍	志愿军	zhì yuàn jūn	volunteer army
急行軍	急行军	jí xíng jūn	rapid advance/forced march
愛爾蘭共和軍	爱尔兰共和军	Ài ěr lán Gòng hé jūn	Irish Republican Army
成軍	成军	chéng jūn	lit. to form an army/to set up (team, group, band, organization etc)/to found/opening (ceremony)/to commission (arms system, naval vessel)/to graduate from an apprenticeship
打擊軍事力量	打击军事力量	dǎ jī jūn shì lì liang	counterforce
投軍	投军	tóu jūn	to join up/to enlist (e.g. in the military)
捻軍	捻军	Niǎn jūn	Nian Army, leading a peasant rebellion against the Qing dynasty in Shandong, Henan, Jiangsu and Anhui 1851-1868, at the same time as the Taiping Rebellion further south
撤軍	撤军	chè jūn	to withdraw troops/to retreat
擴軍	扩军	kuò jūn	armament/to expand armed forces
政府軍	政府军	zhèng fǔ jūn	government army
救世軍	救世军	Jiù shì jūn	Salvation Army (protestant philanthropic organization founded in London in 1865)
敗不成軍	败不成军	bài bù chéng jūn	The army is completely routed. (idiom)
敵軍	敌军	dí jūn	enemy troops/hostile forces/CL:股[gǔ]
新四軍	新四军	Xīn sì jūn	New Fourth army of Republic of China, set up in 1937 and controlled by the communists
新軍	新军	Xīn jūn	New Armies (modernized Qing armies, trained and equipped according to Western standards, founded after Japan's victory in the First Sino-Japanese War in 1895)
日英聯軍	日英联军	Rì Yīng lián jūn	Anglo-Japanese allied army (intervention during Russian revolution and civil war 1917-1922)
日軍	日军	Rì jūn	Japanese army/Japanese troops
核裁軍	核裁军	hé cái jūn	nuclear disarmament
核軍備	核军备	hé jūn bèi	nuclear arms
桂系軍閥	桂系军阀	Guì xì jūn fá	Guangxi warlord faction, from 1911-1930
榮譽軍人	荣誉军人	róng yù jūn rén	disabled soldier/serviceman wounded in action
榮軍	荣军	róng jūn	abbr. for 榮譽軍人|荣誉军人[róng yù jūn rén]
橫掃千軍	横扫千军	héng sǎo qiān jūn	total annihilation
正規軍	正规军	zhèng guī jūn	regular army/standing army
殿軍	殿军	diàn jūn	runner-up
水軍	水军	shuǐ jūn	navy (archaic)/person employed to post messages on the Internet (abbr. for 網絡水軍|网络水军[Wǎng luò shuǐ jūn])
治軍	治军	zhì jūn	running of armed forces/military management/to govern armed forces/to direct troops
法軍	法军	Fǎ jūn	French army
海空軍	海空军	hǎi kōng jūn	navy and air force
海空軍基地	海空军基地	hǎi kōng jūn jī dì	naval and air military base
海軍	海军	hǎi jūn	navy
海軍上校	海军上校	hǎi jūn shàng xiào	captain (= UK and US Navy equivalent)
海軍中校	海军中校	hǎi jūn zhōng xiào	commander (= UK and US Navy equivalent)
海軍大校	海军大校	hǎi jūn dà xiào	commodore (= US Navy equivalent)
海軍官	海军官	hǎi jūn guān	naval officer
海軍少校	海军少校	hǎi jūn shǎo xiào	lieutenant commander (= UK and US Navy equivalent)
海軍總司令	海军总司令	hǎi jūn zǒng sī lìng	admiral
海軍藍	海军蓝	hǎi jūn lán	navy blue
海軍陸戰隊	海军陆战队	hǎi jūn lù zhàn duì	marine corps/marines
海陸軍	海陆军	hǎi lù jūn	navy and army/military force
清軍	清军	Qīng jūn	the Qing army
湘軍	湘军	Xiāng jūn	Hunan army, irregular force formed in 1850s to fight the Taiping heavenly kingdom rebellion
潰不成軍	溃不成军	kuì bù chéng jūn	utterly defeated
潰軍	溃军	kuì jūn	routed troops
澳新軍團	澳新军团	Ào Xīn jūn tuán	Australian and New Zealand Army Corps (ANZAC)
澳新軍團日	澳新军团日	Ào xīn jūn tuán rì	Anzac Day
狗頭軍師	狗头军师	gǒu tóu jūn shī	(derog.) inept advisor/a good-for-nothing adviser/one who offers bad advice
王軍霞	王军霞	Wáng Jūn xiá	Wang Junxia (1973-), Chinese long-distance runner
瑞士軍刀	瑞士军刀	Ruì shì jūn dāo	Swiss Army knife
異軍突起	异军突起	yì jūn tū qǐ	to emerge as a new force to be reckoned with (idiom)
白斑軍艦鳥	白斑军舰鸟	bái bān jūn jiàn niǎo	(bird species of China) lesser frigatebird (Fregata ariel)
白腹軍艦鳥	白腹军舰鸟	bái fù jūn jiàn niǎo	(bird species of China) Christmas frigatebird (Fregata andrewsi)
白軍	白军	Bái jūn	White Guard or White Movement, anti-communist troops fighting against the Bolsheviks during the Russian Civil War (1917-1922)
皇家海軍	皇家海军	huáng jiā hǎi jūn	Royal Navy (UK)
皇軍	皇军	huáng jūn	imperial army (esp. Japanese)
皖系軍閥	皖系军阀	Wǎn xì jūn fá	Anhui faction of Northern Warlords 1911-c.1929
盟軍	盟军	méng jūn	allied forces
直係軍閥	直系军阀	Zhí xì jūn fá	the Zhili faction of the Northern Warlords
督軍	督军	dū jūn	provincial military governor during the early Republic of China era (1911-1949 AD)
矮子裡拔將軍	矮子里拔将军	ǎi zi li bá jiāng jūn	lit. choose a general from among the dwarfs/fig. choose the best person available (out of a mediocre bunch)
禁衛軍	禁卫军	jìn wèi jūn	imperial guard
禁軍	禁军	jìn jūn	imperial guard
秦軍	秦军	Qín jūn	the Qin army (model for the terracotta warriors)
空軍	空军	kōng jūn	air force
空軍一號	空军一号	Kōng jūn Yī hào	Air Force One, US presidential jet
空軍司令	空军司令	kōng jūn sī lìng	air commodore/top commander of air force
空軍基地	空军基地	kōng jūn jī dì	air base
