輔	辅	fǔ	to assist/to complement/auxiliary
基輔羅斯	基辅罗斯	Jī fǔ Luó sī	Kievan Rus'
濁輔音	浊辅音	zhuó fǔ yīn	voiced consonant (linguistics)
相輔相成	相辅相成	xiāng fǔ xiāng chéng	to complement one another (idiom)
計算機輔助設計	计算机辅助设计	jì suàn jī fǔ zhù shè jì	CAD computer-aided design
基輔	基辅	Jī fǔ	Kiev, capital of Ukraine
輔仁大學	辅仁大学	Fǔ rén Dà xué	Fu Jen Catholic University of Peking (from 1925), forerunner of Beijing Normal University 北京師範大學|北京师范大学/Fu Jen Catholic University in New Taipei City, Taiwan
輔以	辅以	fǔ yǐ	supplemented by/accompanied by/with
輔佐	辅佐	fǔ zuǒ	to assist (usually a ruler)
輔修	辅修	fǔ xiū	to minor in/minor
輔具	辅具	fǔ jù	assistive device (walking frame, hearing aid etc)
輔助	辅助	fǔ zhù	to assist/to aid/supplementary/auxiliary/subsidiary
輔助語	辅助语	fǔ zhù yǔ	auxiliary language
輔助醫療	辅助医疗	fǔ zhù yī liáo	complementary medicine
輔大	辅大	Fǔ Dà	abbr. for 輔仁大學|辅仁大学[Fǔ rén Dà xué]
輔導	辅导	fǔ dǎo	to give guidance/to mentor/to counsel/to coach/to tutor
輔導人	辅导人	fǔ dǎo rén	tutor
輔導員	辅导员	fǔ dǎo yuán	coach (teacher or trainer)
輔導班	辅导班	fǔ dǎo bān	tutorial class/remedial class/preparatory course
輔導金	辅导金	fǔ dǎo jīn	grant (Tw)
輔幣	辅币	fǔ bì	fractional currency (coin or note of value smaller than the country's unit of currency)/token (used instead of money for slot machines etc)
輔弼	辅弼	fǔ bì	to assist a ruler in governing a country/prime minister
輔料	辅料	fǔ liào	auxiliary ingredients/supplementary materials
輔課	辅课	fǔ kè	subsidiary course
輔酶	辅酶	fǔ méi	coenzyme (chemistry)
輔音	辅音	fǔ yīn	consonant
電腦輔助工程	电脑辅助工程	diàn nǎo fǔ zhù gōng chéng	computer-aided engineering
電腦輔助教材	电脑辅助教材	diàn nǎo fǔ zhù jiào cái	computer-aided instruction
電腦輔助設計	电脑辅助设计	diàn nǎo fǔ zhù shè jì	computer-aided design
電腦輔助設計與繪圖	电脑辅助设计与绘图	diàn nǎo fǔ zhù shè jì yǔ huì tú	computer-aided design and drawing
齦輔音	龈辅音	yín fǔ yīn	palato-alveolar consonant (linguistics)
