輿	舆	yú	carriage/sedan chair/world
平輿	平舆	Píng yú	Pingyu county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
平輿縣	平舆县	Píng yú xiàn	Pingyu county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
權輿	权舆	quán yú	to sprout/(fig). to begin/beginning
王岱輿	王岱舆	Wáng Dài yú	Wang Daiyu (1584-1670), Hui Islamic scholar of the Ming-Qing transition
神輿	神舆	shén yú	mikoshi (Japanese portable Shinto shrine)
竹輿	竹舆	zhú yú	a bamboo carriage/a palanquin
堪輿	堪舆	kān yú	geomancy
輿地	舆地	yú dì	land/map/(old) geography
輿情	舆情	yú qíng	public sentiment
輿論	舆论	yú lùn	public opinion
輿論界	舆论界	yú lùn jiè	media/commentators
輿論調查	舆论调查	yú lùn diào chá	opinion poll
造輿論	造舆论	zào yú lùn	to build up public opinion/to create a fuss
