輝	辉	huī	splendor/to shine upon
劉家輝	刘家辉	Liú Jiā huī	Gordon Liu (1955-), Hong Kong action actor
愛輝	爱辉	Ài huī	Aihui district of Heihe city 黑河[Hēi hé], Heilongjiang
愛輝區	爱辉区	Ài huī qū	Aihui district of Heihe city 黑河[Hēi hé], Heilongjiang
李登輝	李登辉	Lǐ Dēng huī	Lee Teng-hui (1923-), Taiwanese politician, president of ROC 1988-2000
栩栩生輝	栩栩生辉	xǔ xǔ shēng huī	resplendent
生輝	生辉	shēng huī	to dazzle/to brighten up (a room etc)
與日同輝	与日同辉	yǔ rì tóng huī	to become more glorious with each passing day (idiom)
蓬蓽生輝	蓬荜生辉	péng bì shēng huī	Your presence brings light to my humble dwelling/see also 蓬蓽生光|蓬荜生光[péng bì shēng guāng]
衛輝	卫辉	Wèi huī	Weihui county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
衛輝市	卫辉市	Wèi huī shì	Weihui county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
光輝	光辉	guāng huī	radiance/glory/brilliant/magnificent
輝南	辉南	Huī nán	Huinan county in Tonghua 通化, Jilin
輝南縣	辉南县	Huī nán xiàn	Huinan county in Tonghua 通化, Jilin
輝映	辉映	huī yìng	to reflect/to shine
輝格黨	辉格党	Huī gé dǎng	Whig Party
輝煌	辉煌	huī huáng	splendid/glorious
輝瑞	辉瑞	Huī ruì	Pfizer, American pharmaceutical company
輝石	辉石	huī shí	pyroxene (family of rock-forming minerals)/augite
輝綠岩	辉绿岩	huī lǜ yán	diabase (geology)/dolerite
輝縣	辉县	Huī xiàn	Huixian county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
輝縣市	辉县市	Huī xiàn shì	Huixian county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
輝長岩	辉长岩	huī cháng yán	gabbro (geology)
金碧輝煌	金碧辉煌	jīn bì huī huáng	gold and jade in glorious splendor (idiom)/fig. a dazzling sight (e.g. royal palace)
銀輝	银辉	yín huī	radiance/silver white sheen
閃輝	闪辉	shǎn huī	scintillation
餘輝	余辉	yú huī	variant of 餘暉|余晖[yú huī]
黃金輝	黄金辉	Huáng Jīn huī	Wee Kim Wee (1915-2005), president of Singapore (1985-1993)
