迴	回	huí	to curve/to return/to revolve
巡迴分析端口	巡回分析端口	xún huí fēn xī duān kǒu	Roving Analysis Port/RAP
巡迴法庭	巡回法庭	xún huí fǎ tíng	circuit court
巡迴演出	巡回演出	xún huí yǎn chū	(theater etc) to tour/to be on tour/to give itinerant performances
海馬迴	海马回	hǎi mǎ huí	hippocampus
輪迴	轮回	lún huí	to reincarnate/reincarnation (Buddhism)/(of the seasons etc) to follow each other cyclically/cycle/CL:個|个[gè]
迂迴	迂回	yū huí	roundabout route/circuitous/tortuous/to outflank/indirect/roundabout
巡迴	巡回	xún huí	to go around/to roam/to tour
迴廊	回廊	huí láng	winding corridor/cloister/ambulatory (covered walkway around a cloister)
迴旋	回旋	huí xuán	to turn around/maneuvering room/leeway
迴盪	回荡	huí dàng	to resound/to reverberate/to echo
迴紋針	回纹针	huí wén zhēn	paper clip
迴轉	回转	huí zhuǎn	to revolve/to rotate/rotation
迴避	回避	huí bì	to shun/to avoid (sb)/to skirt/to evade (an issue)/to step back/to withdraw/to recuse (a judge etc)
迴響	回响	huí xiǎng	to echo/to reverberate/to respond/echo/response/reaction
遞迴	递回	dì huí	see 遞歸|递归[dì guī]
