週	周	zhōu	week/weekly/variant of 周[zhōu]
元素週期表	元素周期表	yuán sù zhōu qī biǎo	periodic table of the elements (chemistry)
北京週報	北京周报	Běi jīng Zhōu bào	Beijing Review
太平洋週邊	太平洋周边	Tài píng Yáng Zhōu biān	Pacific Rim
數週	数周	shù zhōu	several weeks
新聞週刊	新闻周刊	Xīn wén Zhōu kān	Newsweek magazine/also written 新聞周刊|新闻周刊
查理週刊	查理周刊	Chá lǐ Zhōu kān	Charlie Hebdo (French magazine)
每週	每周	měi zhōu	every week
每週一次	每周一次	měi zhōu yī cì	once a week
生命週期	生命周期	shēng mìng zhōu qī	life cycle
眾所週知	众所周知	zhòng suǒ zhōu zhī	see 眾所周知|众所周知[zhòng suǒ zhōu zhī]
神聖週	神圣周	shén shèng zhōu	Holy week/Easter week (esp. Catholic)
簡氏防務週刊	简氏防务周刊	Jiǎn shì fáng wù zhōu kān	Jane's defense weekly
經濟週期	经济周期	jīng jì zhōu qī	economic cycle
聖神降臨週	圣神降临周	Shèng shén jiàng lín zhōu	Whitsuntide
下週	下周	xià zhōu	next week
週一	周一	Zhōu yī	Monday
週三	周三	Zhōu sān	Wednesday
週二	周二	Zhōu èr	Tuesday
週五	周五	Zhōu wǔ	Friday
週休二日	周休二日	zhōu xiū èr rì	(Tw) two-day weekend (usually Saturday and Sunday)
週六	周六	Zhōu liù	Saturday
週刊	周刊	zhōu kān	weekly publication/weekly
週四	周四	Zhōu sì	Thursday
週報	周报	zhōu bào	weekly publication
週年	周年	zhōu nián	anniversary/annual
週徑	周径	zhōu jìng	circumference and radius/the circular ratio pi
週日	周日	Zhōu rì	Sunday/diurnal
週期	周期	zhōu qī	period/cycle
週期性	周期性	zhōu qī xìng	periodic/periodicity (math)/cyclicity
週期數	周期数	zhōu qī shù	periodic number
週期系	周期系	zhōu qī xì	periodic system/periodicity (chemistry)
週期表	周期表	zhōu qī biǎo	periodic table (chemistry)/abbr. of 元素週期表|元素周期表[yuán sù zhōu qī biǎo], periodic table of the elements
週期解	周期解	zhōu qī jiě	periodic solution (math.)
週末	周末	zhōu mò	weekend
週末愉快	周末愉快	zhōu mò yú kuài	Have a nice weekend!
週歲	周岁	zhōu suì	one full year (e.g. on child's first birthday)
週游	周游	zhōu yóu	variant of 周遊|周游, to tour/to travel around
週而復始	周而复始	zhōu ér fù shǐ	lit. the cycle comes back to the start (idiom); to move in circles/the wheel comes full circle
週薪	周薪	zhōu xīn	weekly salary
週遊	周游	zhōu yóu	variant of 周遊|周游, to tour/to travel around
週長	周长	zhōu cháng	variant of 周長|周长[zhōu cháng]
開發週期	开发周期	kāi fā zhōu qī	development cycle/development period
雙週期性	双周期性	shuāng zhōu qī xìng	(math.) double periodicity
黃金週	黄金周	huáng jīn zhōu	Golden Week, two 7-day national holiday periods
