邏	逻	luó	patrol
巡邏	巡逻	xún luó	to patrol (police, army or navy)
巡邏船	巡逻船	xún luó chuán	patrol vessel/cutter
巡邏艇	巡逻艇	xún luó tǐng	patrol boat
巡邏車	巡逻车	xún luó chē	patrol car
巡邏隊	巡逻队	xún luó duì	(army, police) patrol
數理邏輯	数理逻辑	shù lǐ luó jí	mathematical logic/symbolic logic
暹邏	暹逻	Xiān luó	variant of 暹羅|暹罗[Xiān luó]
模糊邏輯	模糊逻辑	mó hu luó ji	fuzzy logic
葛邏祿	葛逻禄	Gě luó lù	Qarluq or Karluk nomadic tribe, a Turkic ethnic minority in ancient times
詞項邏輯	词项逻辑	cí xiàng luó ji	categorical logic
命題邏輯	命题逻辑	mìng tí luó ji	propositional logic
邏各斯	逻各斯	luó gè sī	logos (loanword)
邏輯	逻辑	luó ji	logic (loanword)
邏輯學	逻辑学	luó ji xué	logic
邏輯演算	逻辑演算	luó ji yǎn suàn	logical calculation
邏輯炸彈	逻辑炸弹	luó jí zhà dàn	logic bomb
邏輯錯誤	逻辑错误	luó ji cuò wù	logical error
邏輯鏈路控制	逻辑链路控制	luó ji liàn lù kòng zhì	logical link control/LLC
量化邏輯	量化逻辑	liàng huà luó ji	quantified logic
