遙	遥	yáo	distant/remote/far/far away
平遙縣	平遥县	Píng yáo xiàn	Pingyao county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
路途遙遠	路途遥远	lù tú yáo yuǎn	distant/far-flung
路遙知馬力，日久見人心	路遥知马力，日久见人心	lù yáo zhī mǎ lì , rì jiǔ jiàn rén xīn	just as distance determines the stamina of a horse, so does time reveal a person's true heart (proverb)
逍遙	逍遥	xiāo yáo	free and unfettered
逍遙法外	逍遥法外	xiāo yáo fǎ wài	unfettered and beyond the law (idiom); evading retribution/getting away with it (e.g. crimes)/still at large
逍遙自在	逍遥自在	xiāo yáo zì zai	free and at leisure (idiom); unfettered/outside the reach of the law (of criminal)/at large
逍遙自得	逍遥自得	xiāo yáo zì dé	doing as one pleases (idiom); foot-loose and fancy free
平遙	平遥	Píng yáo	Pingyao county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
遙不可及	遥不可及	yáo bù kě jí	unattainable/far-fetched/out of reach/exceedingly remote or distant
遙感	遥感	yáo gǎn	remote sensing
遙控	遥控	yáo kòng	remote control
遙控器	遥控器	yáo kòng qì	remote control
遙控操作	遥控操作	yáo kòng cāo zuò	remote operation
遙望	遥望	yáo wàng	to look into the distance
遙測	遥测	yáo cè	telemetry
遙觀	遥观	yáo guān	to look into the distance
遙遙	遥遥	yáo yáo	distant/remote
遙遙無期	遥遥无期	yáo yáo wú qī	far in the indefinite future (idiom); so far away it seems forever
遙遙領先	遥遥领先	yáo yáo lǐng xiān	a long way in front/to lead by a wide margin
遙遠	遥远	yáo yuǎn	distant/remote
