鄧	邓	Dèng	surname Deng
毛鄧三	毛邓三	Máo Dèng Sān	Mao Zedong Thought, Deng Xiaoping Theory & the Three Represents/abbr. for 毛澤東思想|毛泽东思想[Máo Zé dōng Sī xiǎng], 鄧小平理論|邓小平理论[Dèng Xiǎo píng Lǐ lùn] and 三個代表|三个代表[Sān gè Dài biǎo]
鄧世昌	邓世昌	Dèng Shì chāng	Deng Shichang (1849-1894), Qing dynasty naval specialist, founded naval dockyards and two naval colleges, died heroically in action against the Japanese
鄧亞萍	邓亚萍	Dèng Yà píng	Deng Yaping (1973-), table tennis player, several times world and Olympic winner
鄧亮洪	邓亮洪	dèng liàng hóng	Tang Liang Hong (opposition candidate in Jan 1996 Singapore elections)
鄧加	邓加	Dèng jiā	Dunga (1963-), former Brazilian soccer player
鄧小平	邓小平	Dèng Xiǎo píng	Deng Xiaoping (1904-1997), Chinese communist leader, de facto leader of PRC 1978-1990 and creator of "socialism with Chinese characteristics"
鄧小平理論	邓小平理论	Dèng Xiǎo píng Lǐ lùn	Deng Xiaoping Theory/Dengism/the foundation of PRC economic development after the Cultural Revolution, building the capitalist economy within Chinese Communist Party control
鄧州	邓州	Dèng zhōu	Dengzhou county level city in Nanyang 南陽|南阳[Nán yáng], Henan
鄧州市	邓州市	Dèng zhōu shì	Dengzhou county level city in Nanyang 南陽|南阳[Nán yáng], Henan
鄧拓	邓拓	Dèng Tuò	Deng Tuo (1912-1966), sociologist and journalist, died under persecution at the start of the Cultural Revolution/wrote under the pen name Ma Nancun 馬南邨|马南邨
鄧析	邓析	Dèng Xī	Deng Xi (545-501 BC), Chinese philosopher and rhetorician, the first lawyer of ancient China
鄧穎超	邓颖超	Dèng Yǐng chāo	Deng Yingchao (1904-1992), Chinese communist leader, wife of Zhou Enlai 周恩來|周恩来
鄧紫棋	邓紫棋	Dèng Zǐ qí	G.E.M. (1991-), Chinese pop star
鄧迪	邓迪	Dèng dí	Dundee, Scotland
鄧通	邓通	Dèng Tōng	Deng Tong (2nd c. BC), one of the wealthiest Former Han Dynasty 前漢|前汉[Qián Hàn] officials
鄧麗君	邓丽君	Dèng Lì jūn	Teresa Teng (1953-1995), Taiwanese pop idol
