醜	丑	chǒu	shameful/ugly/disgraceful
兒不嫌母醜，狗不嫌家貧	儿不嫌母丑，狗不嫌家贫	ér bù xián mǔ chǒu , gǒu bù xián jiā pín	a son won't abandon his mother for being ugly, just as a dog won't abandon its owner for being poor (proverb)
出醜	出丑	chū chǒu	shameful/scandalous/to be humiliated/to make a fool of sb or oneself/to make sb lose face
奇醜	奇丑	qí chǒu	grotesque/extremely ugly/hideous
奇醜無比	奇丑无比	qí chǒu wú bǐ	extremely ugly/incomparably hideous
子不嫌母醜，狗不嫌家貧	子不嫌母丑，狗不嫌家贫	zǐ bù xián mǔ chǒu , gǒu bù xián jiā pín	see 兒不嫌母醜，狗不嫌家貧|儿不嫌母丑，狗不嫌家贫[ér bù xián mǔ chǒu , gǒu bù xián jiā pín]
家醜	家丑	jiā chǒu	family scandal/skeleton in the closet
家醜不可外傳	家丑不可外传	jiā chǒu bù kě wài chuán	lit. family shames must not be spread abroad (idiom); fig. don't wash your dirty linen in public
家醜不可外傳，流言切莫輕信	家丑不可外传，流言切莫轻信	jiā chǒu bù kě wài chuán , liú yán qiè mò qīng xìn	Don't spread abroad the shame of the family, don't believe rumors lightly. (idiom)/Don't wash your dirty linen in public, don't listen to others' gossip.
家醜不可外揚	家丑不可外扬	jiā chǒu bù kě wài yáng	lit. family shames must not be spread abroad (idiom)/fig. don't wash your dirty linen in public
矮醜窮	矮丑穷	ǎi chǒu qióng	(Internet slang) (of a man) unmarriageable (lit. short, ugly and poor)/opposite: 高富帥|高富帅[gāo fù shuài]
變醜	变丑	biàn chǒu	to disfigure
么麼小醜	幺麽小丑	yāo mó xiǎo chǒu	insignificant wretch
醜事	丑事	chǒu shì	scandal
醜人多作怪	丑人多作怪	chǒu rén duō zuò guài	ugly people will do all kinds of weird things to get attention (idiom)
醜八怪	丑八怪	chǒu bā guài	ugly person
醜劇	丑剧	chǒu jù	absurd drama/farce/disgraceful show
醜化	丑化	chǒu huà	to defame/to libel/to defile/to smear/to vilify
醜妻近地家中寶	丑妻近地家中宝	chǒu qī jìn dì jiā zhōng bǎo	an ugly wife is a treasure at home (idiom)
醜媳婦早晚也得見公婆	丑媳妇早晚也得见公婆	chǒu xí fù zǎo wǎn yě děi jiàn gōng pó	lit. the ugly daughter-in-law must sooner or later meet her parents-in-law (idiom)/fig. it's not something you can avoid forever
醜小鴨	丑小鸭	Chǒu Xiǎo yā	"The Ugly Duckling" by Hans Christian Andersen 安徒生[Ān tú shēng]
醜小鴨	丑小鸭	chǒu xiǎo yā	ugly duckling
醜怪	丑怪	chǒu guài	grotesque
醜惡	丑恶	chǒu è	ugly/repulsive
醜態	丑态	chǒu tài	shameful performance/disgraceful situation
醜相	丑相	chǒu xiàng	ugly expression/unsightly manners
醜聞	丑闻	chǒu wén	scandal
醜行	丑行	chǒu xíng	scandal
醜詆	丑诋	chǒu dǐ	to slander
醜話	丑话	chǒu huà	ugly talk/vulgarity/obscenity
醜話說在前頭	丑话说在前头	chǒu huà shuō zài qián tou	let's talk about the unpleasant things first/let's be frank
醜陋	丑陋	chǒu lòu	ugly
醜類	丑类	chǒu lèi	villain/evil person
露醜	露丑	lòu chǒu	to make a fool of oneself
