醫	医	yī	medical/medicine/doctor/to cure/to treat
上海醫科大學	上海医科大学	Shàng hǎi Yī kē Dà xué	Shanghai Medical University
中西醫	中西医	zhōng xī yī	Chinese and Western medicine/a doctor trained in Chinese and Western medicine
中西醫結合	中西医结合	Zhōng Xī yī jié hé	to combine traditional Chinese and Western medicine
中醫	中医	Zhōng yī	traditional Chinese medical science/a doctor trained in Chinese medicine
中醫學	中医学	Zhōng yī xué	traditional Chinese medicine/TCM
主治醫師	主治医师	zhǔ zhì yī shī	doctor-in-charge/resident physician
久病成良醫	久病成良医	jiǔ bìng chéng liáng yī	long illness makes the patient into a good doctor (idiom)
久病成醫	久病成医	jiǔ bìng chéng yī	(proverb) a long illness makes the patient into a doctor
以藥養醫	以药养医	yǐ yào yǎng yī	"drugs serving to nourish doctors", perceived problem in PRC medical practice
保外就醫	保外就医	bǎo wài jiù yī	to release for medical treatment (of a prisoner)
傳統中國醫藥	传统中国医药	chuán tǒng zhōng guó yī yào	Chinese traditional medicine
傳統醫藥	传统医药	chuán tǒng yī yào	Chinese traditional medicine
內科醫生	内科医生	nèi kē yī shēng	medical doctor/physician who works primarily by administering drugs, as opposed to surgeon 外科醫生|外科医生[wài kē yī shēng]
全科醫生	全科医生	quán kē yī shēng	general practitioner
公費醫療	公费医疗	gōng fèi yī liáo	medical treatment at public expense
再生醫學	再生医学	zài shēng yī xué	regenerative medicine
分子醫學	分子医学	fēn zǐ yī xué	molecular medicine
北京中醫藥大學	北京中医药大学	Běi jīng Zhōng yī yào Dà xué	Beijing University of Chinese Medicine
另類醫療	另类医疗	lìng lèi yī liáo	alternative medicine
同濟醫科大學	同济医科大学	Tóng jì Yī kē Dà xué	Tongji Medical College
名醫	名医	míng yī	famous doctor
國家醫療服務體系	国家医疗服务体系	Guó jiā Yī liáo Fú wù Tǐ xì	National Health Service (UK)
國際醫療中心	国际医疗中心	Guó jì Yī liáo Zhōng xīn	International Medical Center
外科醫生	外科医生	wài kē yī shēng	surgeon/as opposed to physician 內科醫生|内科医生[nèi kē yī shēng], who works primarily by administering drugs
太醫	太医	tài yī	imperial physician
