鈉	钠	nà	sodium (chemistry)
二氯苯胺苯乙酸鈉	二氯苯胺苯乙酸钠	èr lǜ běn àn běn yǐ suān nà	diclofenac sodium (non-steroidal anti-inflammatory drug used to reduce swelling and as painkiller)/also called voltaren 扶他林
二硫基丙磺酸鈉	二硫基丙磺酸钠	èr liú jī bǐng huáng suān nà	sodium dimercaptosulfanate
二硫基琥珀酸鈉	二硫基琥珀酸钠	èr liú jī hǔ pò suān nà	sodium dimercaptosuccinate
亞硝酸鈉	亚硝酸钠	yà xiāo suān nà	sodium nitrite
戊巴比妥鈉	戊巴比妥钠	wù bā bǐ tuǒ nà	pentasorbital sodium (a sedative)
次亞硫酸鈉	次亚硫酸钠	cì yà liú suān nà	sodium hyposulfide Na2S2O3 (hypo)
氫氧化鈉	氢氧化钠	qīng yǎng huà nà	caustic soda/sodium hydroxide NaOH
氯化鈉	氯化钠	lǜ huà nà	sodium chloride NaCl/common salt
氯酸鈉	氯酸钠	lǜ suān nà	sodium chlorate NaClO3
氰化鈉	氰化钠	qíng huà nà	sodium cyanide NaCN
烷基苯磺酸鈉	烷基苯磺酸钠	wán jī běn huáng suān nà	sodium dodecylbenzene sulfonate (used as a bubbling agent in detergents)
硝酸鈉	硝酸钠	xiāo suān nà	sodium nitrate
硫代硫酸鈉	硫代硫酸钠	liú dài liú suān nà	sodium hyposulfide/sodium thiosulfate
硫酸鈉	硫酸钠	liú suān nà	sodium sulfate
碘化鈉	碘化钠	diǎn huà nà	sodium iodide NaI
碳酸氫鈉	碳酸氢钠	tàn suān qīng nà	sodium bicarbonate
碳酸鈉	碳酸钠	tàn suān nà	soda/sodium carbonate (chemistry)
磷酸鈉	磷酸钠	lín suān nà	sodium phosphate (chemistry)
穀氨酸鈉	谷氨酸钠	gǔ ān suān nà	monosodium glutamate (MSG) (E621)
肌苷酸二鈉	肌苷酸二钠	jī gān suān èr nà	disodium inosinate (E631)
苛性鈉	苛性钠	kē xìng nà	caustic soda/sodium hydroxide NaOH
苯甲酸鈉	苯甲酸钠	běn jiǎ suān nà	sodium benzoate, E211 (a food preservative)
二氯異三聚氰酸鈉	二氯异三聚氰酸钠	èr lǜ yì sān jù qíng suān nà	sodium dichloroisocyanurate
雙氯芬酸鈉	双氯芬酸钠	shuāng lǜ fēn suān nà	diclofenac sodium, a non-steroidal anti-inflammatory drug used to reduce swelling and as painkiller/also called voltaren 扶他林
鳥苷酸二鈉	鸟苷酸二钠	niǎo gān suān èr nà	disodium guanylate (E627)
