鈣	钙	gài	calcium (chemistry)
氧化鈣	氧化钙	yǎng huà gài	calcium oxide
氫氧化鈣	氢氧化钙	qīng yǎng huà gài	calcium hydroxide Ca(OH)2/slaked lime
氯化鈣	氯化钙	lǜ huà gài	calcium chloride
氰氨化鈣	氰氨化钙	qíng ān huà gài	calcium cyanamide
硝酸鈣	硝酸钙	xiāo suān gài	calcium nitrate
硫酸鈣	硫酸钙	liú suān gài	calcium sulfate
硬脂酸鈣	硬脂酸钙	yìng zhī suān gài	calcium stearate
碳化鈣	碳化钙	tàn huà gài	calcium carbide CaC2
碳酸鈣	碳酸钙	tàn suān gài	calcium carbonate
磷化鈣	磷化钙	lín huà gài	calcium phosphate (chemistry)
磷酸鈣	磷酸钙	lín suān gài	calcium phosphate (chemistry)
重碳酸鈣	重碳酸钙	chóng tàn suān gài	calcium bicarbonate Ca(HCO3)2
含鈣	含钙	hán gài	containing calcium
鈣化	钙化	gài huà	to calcify/calcification
鈣華	钙华	gài huá	(geology) tufa/travertine
鈣質	钙质	gài zhì	calcium/calcium material (such as bone)
降血鈣素	降血钙素	jiàng xuè gài sù	calcitonin
