鈴	铃	líng	(small) bell/CL:隻|只[zhī]
來電答鈴	来电答铃	lái diàn dá líng	(Tw) ringback tone (heard by the originator of a telephone call)
叮鈴	叮铃	dīng líng	jingle
啞鈴	哑铃	yǎ líng	dumbbell (weight)
回鈴音	回铃音	huí líng yīn	ringback tone
壺鈴	壶铃	hú líng	kettlebell, girya
床鈴	床铃	chuáng líng	baby mobile/crib mobile
彩鈴	彩铃	cǎi líng	caller ring-back tone (CRBT)/ring-back tone (RBT)
扯鈴	扯铃	chě líng	diabolo/Chinese yo-yo
掩耳盜鈴	掩耳盗铃	yǎn ěr dào líng	lit. to cover one's ears whilst stealing a bell/to deceive oneself/to bury one's head in the sand (idiom)
梵啞鈴	梵哑铃	fàn yǎ líng	violin (loanword)
棉鈴	棉铃	mián líng	cotton boll (fruit)
槓鈴	杠铃	gàng líng	barbell
紅鈴蟲	红铃虫	hóng líng chóng	pink bollworm/Pectinophora gassypiella
解鈴繫鈴	解铃系铃	jiě líng xì líng	see 解鈴還須繫鈴人|解铃还须系铃人[jiě líng hái xū xì líng rén]
解鈴還需繫鈴人	解铃还需系铃人	jiě líng hái xū xì líng rén	variant of 解鈴還須繫鈴人|解铃还须系铃人[jiě líng hái xū xì líng rén]
解鈴還須繫鈴人	解铃还须系铃人	jiě líng hái xū xì líng rén	lit. whoever hung the bell on the tiger's neck must untie it (idiom)/fig. whoever started the trouble should end it
警鈴	警铃	jǐng líng	alarm bell
車鈴	车铃	chē líng	bicycle bell
轉鈴	转铃	zhuàn líng	bicycle bell (with a rotating internal mechanism)
轉鈴兒	转铃儿	zhuàn líng r5	erhua variant of 轉鈴|转铃[zhuàn líng]
金鈴子	金铃子	jīn líng zi	chinaberry (Melia azedarach)
五十鈴	五十铃	Wǔ shí líng	Isuzu
鈴木	铃木	Líng mù	Suzuki (Japanese surname)
鈴聲	铃声	líng shēng	ring/ringtone/bell stroke/tintinnabulation
鈴蘭	铃兰	líng lán	lily of the valley (Convallaria majalis)
鈴鐺	铃铛	líng dang	little bell/CL:隻|只[zhī]
鈴鼓	铃鼓	líng gǔ	tambourine (musical instrument)/bell and drum
銅鈴	铜铃	tóng líng	bell made of copper or bronze
門鈴	门铃	mén líng	doorbell
電話鈴聲	电话铃声	diàn huà líng shēng	(telephone) ring/ringing
電鈴	电铃	diàn líng	electric bell
馬兜鈴科	马兜铃科	mǎ dōu líng kē	Aristolochiaceae (birthwort family of flowering plants, including ginger)
馬兜鈴酸	马兜铃酸	mǎ dōu líng suān	aristolochic acid
馬鈴薯	马铃薯	mǎ líng shǔ	potato
馬鈴薯泥	马铃薯泥	mǎ líng shǔ ní	mashed potato
鬧鈴	闹铃	nào líng	alarm (clock)
鬧鈴時鐘	闹铃时钟	nào líng shí zhōng	alarm clock
