鈾	铀	yóu	uranium (chemistry)/Taiwan pr. [yòu]
低濃縮鈾	低浓缩铀	dī nóng suō yóu	low-enriched uranium
六氟化鈾	六氟化铀	liù fú huà yóu	uranium hexafluoride (UF6)
四氟化鈾	四氟化铀	sì fú huà yóu	uranium tetrafluoride (UF4)
天然鈾	天然铀	tiān rán yóu	natural uranium
氧化鈾	氧化铀	yǎng huà yóu	uranium oxide
濃縮鈾	浓缩铀	nóng suō yóu	enriched uranium
濃集鈾	浓集铀	nóng jí yóu	enriched uranium
瀝青鈾礦	沥青铀矿	lì qīng yóu kuàng	pitchblende (uranium ore)
貧鈾	贫铀	pín yóu	depleted uranium (D-38)
釩鉀鈾礦石	钒钾铀矿石	fán jiǎ yóu kuàng shí	carnotite
二氧化鈾	二氧化铀	èr yǎng huà yóu	brown oxidier/uranium dioxide
鈾濃縮	铀浓缩	yóu nóng suō	uranium enrichment
高濃縮鈾	高浓缩铀	gāo nóng suō yóu	highly enriched uranium (HEU)
