銘	铭	míng	to engrave/inscribed motto
墓誌銘	墓志铭	mù zhì míng	epitaph
座右銘	座右铭	zuò yòu míng	motto/maxim
碑銘	碑铭	bēi míng	inscription on stone tablet
羅保銘	罗保铭	Luó Bǎo míng	Luo Baoming (1952-), sixth governor of Hainan
貝聿銘	贝聿铭	Bèi Yù míng	Pei Ieoh Ming or I.M. Pei (1917-2019), Chinese-American architect
辜鴻銘	辜鸿铭	Gū Hóng míng	Ku Hung-ming or Gu Hongming (1857-1928), Malaysian man of letters, highly regarded for his literary works written mostly in English, and known for his monarchist views
郭台銘	郭台铭	Guō Tái Míng	Guo "Terry" Taiming (1950-), prominent Taiwanese businessman, founder of Foxconn
刻骨銘心	刻骨铭心	kè gǔ míng xīn	lit. carved in bones and engraved in the heart (idiom)/fig. etched in one's memory/unforgettable
銘刻	铭刻	míng kè	a carved inscription
銘心刻骨	铭心刻骨	míng xīn kè gǔ	engraved in one's heart and carved in one's bones (idiom); to remember a benefactor as long as one lives/undying gratitude
銘心鏤骨	铭心镂骨	míng xīn lòu gǔ	engraved in one's heart and carved in one's bones (idiom); to remember a benefactor as long as one lives/undying gratitude
銘文	铭文	míng wén	inscription
銘瑄	铭瑄	Míng xuān	MaxSun, PRC company specializing in video and computer display
銘言	铭言	míng yán	motto/slogan
銘記	铭记	míng jì	to engrave in one's memory
銘謝	铭谢	míng xiè	to express gratitude (esp. in public)/vote of thanks/also written 鳴謝|鸣谢
鐫心銘骨	镌心铭骨	juān xīn míng gǔ	etched in one's bones and heart (idiom); ever-present memory (esp. resentment)
鐫骨銘心	镌骨铭心	juān gǔ míng xīn	etched in one's bones and heart (idiom); ever-present memory (esp. resentment)
