銳	锐	ruì	acute
尖銳化	尖锐化	jiān ruì huà	to intensify/to become acute/to come to a head
尖銳批評	尖锐批评	jiān ruì pī píng	sharp criticism
尖銳濕疣	尖锐湿疣	jiān ruì shī yóu	genital wart/condyloma acuminatum
敏銳	敏锐	mǐn ruì	keen/sharp/acute
新銳	新锐	xīn ruì	cutting-edge (in technology, science, fashion, the arts etc)/novel and competitive/new and dashing
楊銳	杨锐	Yáng Ruì	Yang Rui (1855-1898), one of the Six Gentlemen Martyrs 戊戌六君子 of the unsuccessful reform movement of 1898/Yang Rui (1963-), host of "Dialogue" on CCTV News
精銳	精锐	jīng ruì	elite (e.g. troops)/crack/best quality personnel
避其銳氣，擊其惰歸	避其锐气，击其惰归	bì qí ruì qì , jī qí duò guī	avoid the enemy when he is fresh and strike him when he is tired and withdraws (idiom)
尖銳	尖锐	jiān ruì	sharp/intense/penetrating/pointed/acute (illness)
銳不可當	锐不可当	ruì bù kě dāng	unstoppable/hard to hold back
銳利	锐利	ruì lì	sharp/keen/acute/incisive/penetrating/perceptive
銳化	锐化	ruì huà	to sharpen
銳志	锐志	ruì zhì	firm determination
銳意	锐意	ruì yì	acute determination/dauntless
銳敏	锐敏	ruì mǐn	acute/astute/perceptive
銳步	锐步	Ruì bù	Reebok (sportswear manufacturer)
銳氣	锐气	ruì qì	acute spirit/dash/drive
銳減	锐减	ruì jiǎn	steep decline
銳角	锐角	ruì jiǎo	acute angle
銳進	锐进	ruì jìn	to advance/to rush forward
養精蓄銳	养精蓄锐	yǎng jīng xù ruì	to preserve and nurture one's spirit (idiom); honing one's strength for the big push
