錶	表	biǎo	wrist or pocket watch
對錶	对表	duì biǎo	to set or synchronize a watch
懷錶	怀表	huái biǎo	pocket watch
手錶	手表	shǒu biǎo	wrist watch/CL:塊|块[kuài],隻|只[zhī],個|个[gè]
打錶	打表	dǎ biǎo	to run the meter (in a taxi)
歐米茄錶公司	欧米茄表公司	Ōu mǐ jiā Biǎo Gōng sī	Omega SA, Swiss luxury watchmaker
跑錶	跑表	pǎo biǎo	stopwatch
轉速錶	转速表	zhuàn sù biǎo	tachometer/RPM gauge
名錶	名表	míng biǎo	famous watch (i.e. expensive brand of wristwatch)
錶帶	表带	biǎo dài	watchband/watch strap
錶盤	表盘	biǎo pán	variant of 表盤|表盘[biǎo pán]/watch face
錶蒙子	表蒙子	biǎo méng zi	watch glass/crystal
錶針	表针	biǎo zhēn	hand of a clock
鐘錶	钟表	zhōng biǎo	clock
