鎂	镁	měi	magnesium (chemistry)
氧化鎂	氧化镁	yǎng huà měi	magnesium oxide MgO
氫氧化鎂	氢氧化镁	qīng yǎng huà měi	magnesium hydroxide Mg(OH)2
矽鎂層	矽镁层	xī měi céng	sima (geology)/silicon and magnesium layer in earth's crust
硫酸鎂	硫酸镁	liú suān měi	magnesium sulfate
菱鎂礦	菱镁矿	líng měi kuàng	magnesite/magnesium ore
桂綸鎂	桂纶镁	Guì Lún měi	Guey Lun-mei (1983-), Taiwanese actress
鎂棒	镁棒	měi bàng	ferrocerium rod/fire steel
鎂砂	镁砂	měi shā	magnesium oxide (refractory material)
鎂磚	镁砖	měi zhuān	magnesium brick (refractory material)
鎂鹽	镁盐	měi yán	magnesium salt
鐵鎂質	铁镁质	tiě měi zhì	mafic rock (containing magnesium and iron, so comparatively heavy, making oceanic plates)
