鏡	镜	jìng	mirror/lens
OK鏡	OK镜	O K Jìng	OK Lens, orthokeratology contact lens that helps reshape the cornea in order to eliminate nearsightedness or myopia
三稜鏡	三棱镜	sān léng jìng	(triangular) prism
上鏡	上镜	shàng jìng	photogenic/to appear on film or in the media
五稜鏡	五棱镜	wǔ léng jìng	pentaprism
借鏡	借镜	jiè jìng	(Tw) to draw on (others' experience)/to learn from (how others do things)/lesson to be learned (by observing others)
偏極濾光鏡	偏极滤光镜	piān jí lǜ guāng jìng	polarizing filter
偏極鏡	偏极镜	piān jí jìng	polarizing lens/polarizer
光學顯微鏡	光学显微镜	guāng xué xiǎn wēi jìng	optical microscope
內窺鏡	内窥镜	nèi kuī jìng	endoscope
內視鏡	内视镜	nèi shì jìng	endoscope
凸透鏡	凸透镜	tū tòu jìng	convex lens
凸鏡	凸镜	tū jìng	convex mirror
凸面鏡	凸面镜	tū miàn jìng	convex mirror
凹透鏡	凹透镜	āo tòu jìng	concave lens
凹鏡	凹镜	āo jìng	concave mirror
凹面鏡	凹面镜	āo miàn jìng	concave mirror
出鏡	出镜	chū jìng	to appear on camera/to play a role in a film
分色鏡頭	分色镜头	fēn sè jìng tóu	process lens (working by color separation)
印度眼鏡蛇	印度眼镜蛇	Yìn dù yǎn jìng shé	Indian cobra (Naja naja)
反光鏡	反光镜	fǎn guāng jìng	reflector (typically concave, as in a torch)/mirror (typically plane or convex)
反射鏡	反射镜	fǎn shè jìng	reflector
咸鏡	咸镜	Xián jìng	Hamgyeongdo Province of Joseon Korea, now divided into North Hamgyeong Province 咸鏡北道|咸镜北道[Xián jìng běi dào] and South Hamgyeong Province 咸鏡南道|咸镜南道[Xián jìng nán dào] of North Korea
咸鏡北道	咸镜北道	Xián jìng běi dào	North Hamgyeong Province in northeast of North Korea, capital Chongjin 清津市[Qīng jīn shì]
咸鏡南道	咸镜南道	Xián jìng nán dào	South Hamgyeong Province of east North Korea
咸鏡道	咸镜道	Xián jìng Dào	Hamgyeong Province of Joseon dynasty Korea, now divided into North Hamgyeong Province 咸鏡北道|咸镜北道[Xián jìng běi dào] and South Hamgyeong Province 咸鏡南道|咸镜南道[Xián jìng nán dào] of North Korea
哈伯太空望遠鏡	哈伯太空望远镜	Hā bó Tài kōng Wàng yuǎn jìng	Hubble Space Telescope
哈哈鏡	哈哈镜	hā hā jìng	distorting mirror
喉鏡	喉镜	hóu jìng	laryngoscope
單鏡反光相機	单镜反光相机	dān jìng fǎn guāng xiàng jī	single-lens reflex camera (SLR)
回光鏡	回光镜	huí guāng jìng	concave reflector (e.g. in spotlight)
墨鏡	墨镜	mò jìng	sunglasses/CL:隻|只[zhī],雙|双[shuāng],副[fù]
夜視鏡	夜视镜	yè shì jìng	night vision device
大跌眼鏡	大跌眼镜	dà diē yǎn jìng	(fig.) to be astounded
太陽眼鏡	太阳眼镜	tài yáng yǎn jìng	sunglasses
太陽鏡	太阳镜	tài yáng jìng	sunglasses
定焦鏡頭	定焦镜头	dìng jiāo jìng tóu	prime lens
廣角鏡	广角镜	guǎng jiǎo jìng	wide-angle lens
廣角鏡頭	广角镜头	guǎng jiǎo jìng tóu	wide angle camera shot
彎月形透鏡	弯月形透镜	wān yuè xíng tòu jìng	meniscus lens
後照鏡	后照镜	hòu zhào jìng	rearview mirror (Tw)
後視鏡	后视镜	hòu shì jìng	rearview mirror
慢鏡頭	慢镜头	màn jìng tóu	slow motion
戴有色眼鏡	戴有色眼镜	dài yǒu sè yǎn jìng	to wear colored glasses/to have a prejudiced viewpoint
搶鏡頭	抢镜头	qiǎng jìng tóu	to scoop the best camera shots/to grab the limelight
放大鏡	放大镜	fàng dà jìng	magnifying glass
明鏡	明镜	Míng jìng	Der Spiegel
明鏡	明镜	míng jìng	mirror (as a metaphor for sth beautiful, bright and flat -- such as a lake -- or sth that provides clarity and insight)
明鏡高懸	明镜高悬	míng jìng gāo xuán	perspicacious and impartial in judgment (idiom)
望遠瞄準鏡	望远瞄准镜	wàng yuǎn miào zhǔn jìng	telescopic sight/scope (on a rifle)
望遠鏡	望远镜	wàng yuǎn jìng	binoculars/telescope/CL:付[fù],副[fù],部[bù]
望遠鏡座	望远镜座	Wàng yuǎn jìng zuò	Telescopium (constellation)
樂昌之鏡	乐昌之镜	lè chāng zhī jìng	happy wife-husband reunion
樂昌分鏡	乐昌分镜	lè chāng fēn jìng	happy wife-husband reunion
每日鏡報	每日镜报	Měi rì Jìng Bào	Daily Mirror (newspaper)
泳鏡	泳镜	yǒng jìng	swimming goggles
游泳鏡	游泳镜	yóu yǒng jìng	swimming goggles
潛望鏡	潜望镜	qián wàng jìng	periscope
濾色鏡	滤色镜	lǜ sè jìng	color filter
照妖鏡	照妖镜	zhào yāo jìng	magic mirror for revealing goblins/fig. way of seeing through a conspiracy
物鏡	物镜	wù jìng	objective (optics)
玳瑁眼鏡	玳瑁眼镜	dài mào yǎn jìng	hawksbill shell-rimmed eyeglasses/CL:副[fù]
目鏡	目镜	mù jìng	eyepiece
直腸鏡	直肠镜	zhí cháng jìng	proctoscope (medicine)
眼鏡	眼镜	yǎn jìng	spectacles/eyeglasses/CL:副[fù]
眼鏡片	眼镜片	yǎn jìng piàn	lens (in eyeglasses etc)
眼鏡猴	眼镜猴	yǎn jìng hóu	tarsier monkey
眼鏡蛇	眼镜蛇	yǎn jìng shé	cobra
矯正透鏡	矫正透镜	jiǎo zhèng tòu jìng	correcting lens
破鏡	破镜	pò jìng	broken mirror/fig. broken marriage/divorce
破鏡重圓	破镜重圆	pò jìng chóng yuán	a shattered mirror put back together (idiom)/(of marriage) to pick up the pieces and start anew/for a separated couple to reconcile and reunite
秦鏡高懸	秦镜高悬	Qín jìng gāo xuán	see 明鏡高懸|明镜高悬[míng jìng gāo xuán]
稜鏡	棱镜	léng jìng	prism/prismatic lens
結腸鏡檢查	结肠镜检查	jié cháng jìng jiǎn chá	colonoscopy
老花鏡	老花镜	lǎo huā jìng	presbyopic glasses
胃鏡	胃镜	wèi jìng	gastroscope (medicine)
菱花鏡	菱花镜	líng huā jìng	antique bronze mirror with flower petal edging, most commonly from the Tang dynasty
菱鏡	菱镜	líng jìng	see 稜鏡|棱镜[léng jìng]/see 菱花鏡|菱花镜[líng huā jìng]
薄透鏡	薄透镜	báo tòu jìng	thin lens (optics)
藏鏡人	藏镜人	cáng jìng rén	man behind the mirror/puppet master/string puller
蛤蟆鏡	蛤蟆镜	há ma jìng	aviator sunglasses
西洋鏡	西洋镜	xī yáng jìng	(old) peep show/(fig.) hanky-panky/trickery
觀後鏡	观后镜	guān hòu jìng	mirror showing a view to one's rear (including rearview mirror, side-view mirror, baby view mirror etc)
角膜接觸鏡	角膜接触镜	jiǎo mó jiē chù jìng	contact lens
試鏡	试镜	shì jìng	to take a screen test/to audition/screen test/audition/tryout
試鏡頭	试镜头	shì jìng tóu	screen test
護目鏡	护目镜	hù mù jìng	goggles/protective glasses
變焦距鏡頭	变焦距镜头	biàn jiāo jù jìng tóu	zoom lens
跌眼鏡	跌眼镜	diē yǎn jìng	to be taken aback
跌破眼鏡	跌破眼镜	diē pò yǎn jìng	(fig.) to be astounded
透鏡	透镜	tòu jìng	lens (optics)
配眼鏡	配眼镜	pèi yǎn jìng	to have a pair of prescription glasses made
NG鏡頭	NG镜头	N G jìng tóu	(film and TV) blooper
鏡像	镜像	jìng xiàng	mirror image
鏡像站點	镜像站点	jìng xiàng zhàn diǎn	mirror (computing)
鏡子	镜子	jìng zi	mirror/CL:面[miàn],個|个[gè]
鏡架	镜架	jìng jià	eyeglasses frame/CL:副[fù]/mirror support
鏡框	镜框	jìng kuàng	picture frame/spectacle frame
鏡框舞台	镜框舞台	jìng kuàng wǔ tái	theatrical set
鏡湖	镜湖	Jìng hú	Jinghu district of Wuhu city 蕪湖市|芜湖市[Wú hú shì], Anhui
鏡湖區	镜湖区	Jìng hú qū	Jinghu district of Wuhu city 蕪湖市|芜湖市[Wú hú shì], Anhui
鏡片	镜片	jìng piàn	lens
鏡花	镜花	jìng huā	decorative mirror
鏡花水月	镜花水月	jìng huā shuǐ yuè	lit. flowers in a mirror and the moon reflected in the lake (idiom)/fig. an unrealistic rosy view/viewing things through rose-tinted spectacles/also written 水月鏡花|水月镜花
鏡花緣	镜花缘	Jìng huā Yuán	Jinghua Yuan or Flowers in the Mirror, Qing novel of fantasy and erudition (early 19th century) by Li Ruzhen 李汝珍[Lǐ Rǔ zhēn]
鏡頭	镜头	jìng tóu	camera lens/camera shot (in a movie etc)/scene
鏡鸞	镜鸾	jìng luán	to lose one's spouse
防護眼鏡	防护眼镜	fáng hù yǎn jìng	safety goggles
隱形眼鏡	隐形眼镜	yǐn xíng yǎn jìng	contact lens/CL:隻|只[zhī],副[fù]
雙筒望遠鏡	双筒望远镜	shuāng tǒng wàng yuǎn jìng	binoculars
電子顯微鏡	电子显微镜	diàn zǐ xiǎn wēi jìng	electron microscope
面鏡	面镜	miàn jìng	mask (diving)
顯微鏡	显微镜	xiǎn wēi jìng	microscope/CL:臺|台[tái]
顯微鏡座	显微镜座	Xiǎn wēi jìng zuò	Microscopium (constellation)
顯微鏡載片	显微镜载片	xiǎn wēi jìng zài piàn	microscopic slide
顯鏡	显镜	xiǎn jìng	microscope/same as 顯微鏡|显微镜
風鏡	风镜	fēng jìng	goggles (esp. against wind and sandstorms)
驗光配鏡業	验光配镜业	yàn guāng pèi jìng yè	optometry/eyesight testing
