鑰	钥	yuè	key/also pr. [yào]
公開鑰匙	公开钥匙	gōng kāi yào shi	public key (in encryption)
權鑰	权钥	quán yào	keys of authority
現在是過去鑰匙	现在是过去钥匙	xiàn zài shì guò qu yào shi	Today is the key to the past.
私人鑰匙	私人钥匙	sī rén yào shi	private key (in encryption)
萬能鑰匙	万能钥匙	wàn néng yào shi	master key/skeleton key/passkey
配鑰匙	配钥匙	pèi yào shi	to make a key
鎖鑰	锁钥	suǒ yuè	key and lock/(fig.) strategic place
一把鑰匙開一把鎖	一把钥匙开一把锁	yī bǎ yào shi kāi yī bǎ suǒ	One key opens one lock./There is a different solution for each problem. (idiom)
鑰匙	钥匙	yào shi	key/CL:把[bǎ]
鑰匙卡	钥匙卡	yào shi kǎ	keycard
鑰匙洞孔	钥匙洞孔	yào shi dòng kǒng	keyhole
鑰匙鏈	钥匙链	yào shi liàn	keychain
