鈔	钞	chāo	money/paper money/variant of 抄[chāo]
偽鈔	伪钞	wěi chāo	counterfeit currency
冥鈔	冥钞	míng chāo	false paper money burned as an offering to the dead
印鈔票	印钞票	yìn chāo piào	printing money
破鈔	破钞	pò chāo	to spend money
紙鈔	纸钞	zhǐ chāo	banknote
美鈔	美钞	Měi chāo	US dollar bill/greenback
運鈔車	运钞车	yùn chāo chē	armored car (for transporting valuables)
假鈔	假钞	jiǎ chāo	counterfeit money/forged note
鈔票	钞票	chāo piào	paper money/a bill (e.g. 100 yuan)/CL:張|张[zhāng],紮|扎[zā]
錢鈔	钱钞	qián chāo	money
驗鈔器	验钞器	yàn chāo qì	money counter and counterfeit detection machine
驗鈔機	验钞机	yàn chāo jī	a device used to check money and detect counterfeit bills
