鉀	钾	jiǎ	potassium (chemistry)
山梨酸鉀	山梨酸钾	shān lí suān jiǎ	potassium sorbate, E202 (a food preservative)
氫氧化鉀	氢氧化钾	qīng yǎng huà jiǎ	potassium hydroxide
氯化鉀	氯化钾	lǜ huà jiǎ	potassium chloride
氯酸鉀	氯酸钾	lǜ suān jiǎ	potassium chlorate
氰化鉀	氰化钾	qíng huà jiǎ	potassium cyanide KCN
溴化鉀	溴化钾	xiù huà jiǎ	potassium bromide
硝酸鉀	硝酸钾	xiāo suān jiǎ	potassium nitrate
硫酸鉀	硫酸钾	liú suān jiǎ	potassium sulfate
碘化鉀	碘化钾	diǎn huà jiǎ	potassium iodide
碳酸鉀	碳酸钾	tàn suān jiǎ	potassium carbonate
苛性鉀	苛性钾	kē xìng jiǎ	caustic potash/potassium hydroxide KOH
釩鉀鈾礦石	钒钾铀矿石	fán jiǎ yóu kuàng shí	carnotite
山奈鉀	山奈钾	shān nài jiǎ	potassium cyanide KCN/same as 氰化鉀|氰化钾
鉀鹽	钾盐	jiǎ yán	potassium chloride KCl
高錳酸鉀	高锰酸钾	gāo měng suān jiǎ	potassium permanganate
