鋁	铝	lǚ	aluminum (chemistry)
氫氧化鋁	氢氧化铝	qīng yǎng huà lǚ	aluminum hydroxide
氯化鋁	氯化铝	lǜ huà lǚ	aluminum chloride
矽鋁層	矽铝层	xī lǚ céng	Sial
硅酸氟鋁	硅酸氟铝	guī suān fú lǚ	aluminum fluorosilicate
硅鋁質	硅铝质	guī lǚ zhì	sial rock (containing silicon and aluminium, so comparatively light, making continental plates)
硫酸鋁	硫酸铝	liú suān lǚ	aluminum sulfate
氧化鋁	氧化铝	yǎng huà lǚ	aluminum oxide
鋁合金	铝合金	lǚ hé jīn	aluminum alloy
鋁土	铝土	lǚ tǔ	bauxite/aluminum ore
鋁礬土	铝矾土	lǚ fán tǔ	bauxite/aluminum ore
鋁箔	铝箔	lǚ bó	aluminum foil
鋁箔紙	铝箔纸	lǚ bó zhǐ	aluminum foil
鐵鋁土	铁铝土	Tiě lǚ tǔ	Ferralosols (Chinese Soil Taxonomy)
