銹	锈	xiù	to corrode/to rust
不鏽鋼	不锈钢	bù xiù gāng	stainless steel
不鏽鐵	不锈铁	bù xiù tiě	stainless iron
刀不磨要生銹，人不學要落後	刀不磨要生锈，人不学要落后	dāo bù mó yào shēng xiù , rén bù xué yào luò hòu	a blade will get rusty if it is not sharpened; a man will fall behind if he doesn't study (idiom)
永不生銹的螺絲釘	永不生锈的螺丝钉	yǒng bù shēng xiù de luó sī dīng	a "screw that never rusts" — sb who selflessly and wholeheartedly serves the Communist Party, like Lei Feng 雷鋒|雷锋[Léi Fēng], to whom the metaphor is attributed
生銹	生锈	shēng xiù	to rust/to grow rusty/to corrode/oxidization
腦子生銹	脑子生锈	nǎo zi shēng xiù	lit. brains rusty/ossified thinking
茶鏽	茶锈	chá xiù	tea stain (on the inside of a tea pot, tea cup etc)
不銹鋼	不锈钢	bù xiù gāng	stainless steel
銹蝕	锈蚀	xiù shí	corrosion/rust
鏽斑	锈斑	xiù bān	rust spot/blemish (on plants)
鏽紅腹旋木雀	锈红腹旋木雀	xiù hóng fù xuán mù què	(bird species of China) rusty-flanked treecreeper (Certhia nipalensis)
鏽胸藍姬鶲	锈胸蓝姬鹟	xiù xiōng lán jī wēng	(bird species of China) slaty-backed flycatcher (Ficedula hodgsonii)
鏽腹短翅鶇	锈腹短翅鸫	xiù fù duǎn chì dōng	(bird species of China) rusty-bellied shortwing (Brachypteryx hyperythra)
鏽臉鉤嘴鶥	锈脸钩嘴鹛	xiù liǎn gōu zuǐ méi	(bird species of China) rusty-cheeked scimitar babbler (Pomatorhinus erythrogenys)
鏽鐵	锈铁	xiù tiě	rusty iron
鏽額斑翅鶥	锈额斑翅鹛	xiù é bān chì méi	(bird species of China) rusty-fronted barwing (Actinodura egertoni)
鐵鏽	铁锈	tiě xiù	rust
防銹	防锈	fáng xiù	rust prevention/anti-corrosion
