問	问	wèn	to ask
三農問題	三农问题	sān nóng wèn tí	the three rural issues: agriculture, rural areas and peasants
三體問題	三体问题	sān tǐ wèn tí	three-body problem (mechanics)
不問	不问	bù wèn	to pay no attention to/to disregard/to ignore/to let go unpunished/to let off
不問好歹	不问好歹	bù wèn hǎo dǎi	no matter what may happen (idiom)
不問就聽不到假話	不问就听不到假话	bù wèn jiù tīng bù dào jiǎ huà	Don't ask and you won't be told any lies. (idiom)
不問青紅皂白	不问青红皂白	bù wèn qīng hóng zào bái	not distinguishing red-green or black-white (idiom)/not to distinguish between right and wrong
不恥下問	不耻下问	bù chǐ xià wèn	not feel ashamed to ask and learn from one's subordinates
不聞不問	不闻不问	bù wén bù wèn	not to hear, not to question (idiom)/to show no interest in sth/uncritical/not in the least concerned
介質訪問控制	介质访问控制	jiè zhì fǎng wèn kòng zhì	Medium Access Control/MAC
介質訪問控制層	介质访问控制层	jiè zhì fǎng wèn kòng zhì céng	MAC layer
借問	借问	jiè wèn	(honorific) May I ask?
做學問	做学问	zuò xué wèn	to study/to engage in scholarship
元好問	元好问	Yuán Hào wèn	Yuan Haowen (1190-1257), famous poet Northern China during the Jin-Yuan transition
先決問題	先决问题	xiān jué wèn tí	preliminary question/priority problem/issues requiring more immediate attention
入境問俗	入境问俗	rù jìng wèn sú	When you enter a country, enquire about the local customs (idiom); do as the natives do/When in Rome, do as the Romans do
具體問題	具体问题	jù tǐ wèn tí	concrete issue
出問題	出问题	chū wèn tí	to have sth go wrong/to have a problem arise/to give problems
刨根問底	刨根问底	páo gēn wèn dǐ	to dig up roots and inquire at the base (idiom); to get to the bottom of sth
動問	动问	dòng wèn	may I ask
卜問	卜问	bǔ wèn	to predict by divining/to look into the future
反問	反问	fǎn wèn	to ask (a question) in reply/to answer a question with a question/rhetorical question
反問句	反问句	fǎn wèn jù	rhetorical question
反問語氣	反问语气	fǎn wèn yǔ qì	tone of one's voice when asking a rhetorical question
反詰問	反诘问	fǎn jié wèn	to cross-examine
反躬自問	反躬自问	fǎn gōng zì wèn	introspection/to ask oneself
叮問	叮问	dīng wèn	to question closely/to make a detailed inquiry/to probe/to ask repeatedly
叱問	叱问	chì wèn	to call sb to account/to question angrily
唐太宗李衛公問對	唐太宗李卫公问对	Táng Tài zōng Lǐ Wèi Gōng Wèn duì	"Duke Li of Wei Answering Emperor Taizong of Tang", military treatise attributed to Li Jing 李靖[Lǐ Jìng] and one of the Seven Military Classics of ancient China 武經七書|武经七书[Wǔ jīng Qī shū]
一問三不知	一问三不知	yī wèn sān bù zhī	lit. to reply "don't know" whatever the question (idiom)/fig. absolutely no idea of what's going on/complete ignorance
問世	问世	wèn shì	to be published/to come out
問事	问事	wèn shì	to ask for information/to inquire
問住	问住	wèn zhù	to stump sb with a question
問倒	问倒	wèn dǎo	to stump/to baffle
問候	问候	wèn hòu	to give one's respects/to send a greeting/(fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)
問卷	问卷	wèn juàn	questionnaire/CL:份[fèn]
問名	问名	wèn míng	to enquire, according to custom, after the name and horoscope of intended bride/one of a set of six traditional marriage protocols (六禮|六礼), in which name as well as date and time of birth (for horoscope) are formally requested of the prospective bride's family
問好	问好	wèn hǎo	to say hello to/to send one's regards to
問安	问安	wèn ān	to pay one's respects/to give regards to
問客殺雞	问客杀鸡	wèn kè shā jī	lit. asking guests whether or not to butcher a chicken for them (idiom)/fig. hypocritical show of affection (or hospitality)
問市	问市	wèn shì	to hit the market
問心有愧	问心有愧	wèn xīn yǒu kuì	to have a guilty conscience
問心無愧	问心无愧	wèn xīn wú kuì	lit. look into one's heart, no shame (idiom); with a clear conscience
問津	问津	wèn jīn	to make inquiries/to show interest
問答	问答	wèn dá	question and answer
問罪	问罪	wèn zuì	to denounce/to condemn/to call to account/to punish
問罪之師	问罪之师	wèn zuì zhī shī	punitive force/a person setting out to deliver severe reproach
問荊	问荆	wèn jīng	field horsetail (Equisetum arvense)
問號	问号	wèn hào	question mark (punct.)/unknown factor/unsolved problem/interrogation
問訊	问讯	wèn xùn	interrogation/greeting
問診	问诊	wèn zhěn	(TCM) interrogation, one of the four methods of diagnosis 四診|四诊[sì zhěn]
問話	问话	wèn huà	questioning (a suspect)/interrogation
問責	问责	wèn zé	to hold accountable/to blame/to censure/to apportion blame
問責性	问责性	wèn zé xìng	accountability
問路	问路	wèn lù	to ask for directions/to ask the way (to some place)
問道	问道	wèn dào	to ask the way/to ask
問道於盲	问道于盲	wèn dào yú máng	lit. to ask a blind man the way (idiom)/fig. to seek advice from an incompetent
問題	问题	wèn tí	question/problem/issue/topic/CL:個|个[gè]
問鼎	问鼎	wèn dǐng	to aspire to the throne/to aim at (the first place etc)
問鼎中原	问鼎中原	wèn dǐng Zhōng yuán	to plan to seize power of the whole country (idiom)
問鼎輕重	问鼎轻重	wèn dǐng qīng zhòng	lit. to inquire whether the tripods are light or heavy (idiom); a laughable attempt to seize power
噓寒問暖	嘘寒问暖	xū hán wèn nuǎn	to enquire solicitously about sb's well-being (idiom)/to pamper
嚴重問題	严重问题	yán zhòng wèn tí	serious problem
國事訪問	国事访问	guó shì fǎng wèn	state visit
基礎問題	基础问题	jī chǔ wèn tí	basic issue/fundamental question
外出訪問	外出访问	wài chū fǎng wèn	to make an official visit (often abroad)
大興問罪之師	大兴问罪之师	dà xīng wèn zuì zhī shī	to launch a punitive campaign/to condemn scathingly
套問	套问	tào wèn	to sound sb out/to find out by tactful indirect questioning
媒體訪問控制	媒体访问控制	méi tǐ fǎng wèn kòng zhì	Media Access Control/MAC
學問	学问	xué wèn	learning/knowledge/CL:個|个[gè]
安全問題	安全问题	ān quán wèn tí	safety issue/security issue
審問	审问	shěn wèn	to interrogate/to examine/to question
尋問	寻问	xún wèn	to inquire
尋根問底	寻根问底	xún gēn wèn dǐ	lit. to examine roots and inquire at the base (idiom); to get to the bottom of sth
尋花問柳	寻花问柳	xún huā wèn liǔ	lit. to enjoy the beautiful spring scenery (idiom)/fig. to frequent brothels/to sow one's wild oats
常問問題	常问问题	cháng wèn wèn tí	frequently asked questions/FAQ
常見問題	常见问题	cháng jiàn wèn tí	common problems/FAQ
弔死問疾	吊死问疾	diào sǐ wèn jí	to grieve for the sick and the dying/to show great concern for people's suffering
愛問	爱问	Ài wèn	iAsk.com, the search engine of Sina 新浪
慰問	慰问	wèi wèn	to express sympathy, greetings, consolation etc
打問	打问	dǎ wèn	to inquire about/to give sb the third degree
打破砂鍋問到底	打破砂锅问到底	dǎ pò shā guō wèn dào dǐ	to go to the bottom of things (idiom)
投石問路	投石问路	tóu shí wèn lù	lit. to toss a stone to find out what's ahead (idiom)/fig. to test the waters
拷問	拷问	kǎo wèn	to question via torture
捫心自問	扪心自问	mén xīn zì wèn	to ask oneself honestly/to search in one's heart
探問	探问	tàn wèn	to inquire into/to ask after
接受審問	接受审问	jiē shòu shěn wèn	under interrogation (for a crime)/on trial
推問	推问	tuī wèn	to interrogate
提問	提问	tí wèn	to question/to quiz/to grill
明知故問	明知故问	míng zhī gù wèn	to ask a question, already knowing the answer
普通問題	普通问题	pǔ tōng wèn tí	common questions/general questions
有學問	有学问	yǒu xué wèn	erudite/learned/informed/scholarly
朝核問題	朝核问题	Cháo hé wèn tí	Korean nuclear problem
查問	查问	chá wèn	to inquire about
核問題	核问题	hé wèn tí	the nuclear problem
毫無疑問	毫无疑问	háo wú yí wèn	certainty/without a doubt
求田問舍	求田问舍	qiú tián wèn shè	lit. to be interested exclusively in the acquisition of estate (idiom)/fig. to have no lofty aspirations in life
沒問題	没问题	méi wèn tí	no problem
無人問津	无人问津	wú rén wèn jīn	to be of no interest to anyone (idiom)
特指問句	特指问句	tè zhǐ wèn jù	wh-question (linguistics)
疑問	疑问	yí wèn	question/interrogation/doubt
疑問代詞	疑问代词	yí wèn dài cí	interrogative pronoun (誰|谁, 什麼|什么, 哪兒|哪儿 etc)
疑問句	疑问句	yí wèn jù	question (grammar)/interrogative sentence
