閻	阎	Yán	Yama/gate of village/surname Yan
見閻王	见阎王	jiàn Yán wáng	to meet one's Maker/to die
閻君	阎君	yán jūn	king of hell/Yama
閻王	阎王	Yán wáng	same as 閻羅王|阎罗王/Yama, King of Hell/translation of Sanskrit: Yama Raja
閻王好見，小鬼難當	阎王好见，小鬼难当	Yán wáng hǎo jiàn , xiǎo guǐ nán dāng	lit. standing in front of the King of Hell is easy, but smaller devils are difficult to deal with (idiom)
閻王爺	阎王爷	Yán wáng yé	same as 閻羅王|阎罗王/Yama, King of Hell/translation of Sanskrit: Yama Raja
閻羅	阎罗	Yán luó	Yama, King of Hell/translation of Sanskrit: Yama Raja
閻羅王	阎罗王	Yán luó Wáng	Yama, King of Hell/translation of Sanskrit: Yama Raja
閻老	阎老	Yán lǎo	Yama
閻良	阎良	Yán liáng	Yanliang District of Xi'an 西安市[Xī ān Shì], Shaanxi
閻良區	阎良区	Yán liáng Qū	Yanliang District of Xi’an 西安市[Xī ān Shì], Shaanxi
閻錫山	阎锡山	Yán Xī shān	Yan Xishan (1883-1960), warlord in Shanxi
閻魔	阎魔	Yán mó	variant of 閻羅|阎罗[Yán luó]/Yama, King of Hell/translation of Sanskrit: Yama Raja
