險	险	xiǎn	danger/dangerous/rugged
不便險	不便险	bù biàn xiǎn	travel insurance covering flight delay, baggage loss etc (abbr. for 旅遊不便險|旅游不便险)
不避艱險	不避艰险	bù bì jiān xiǎn	shrink or flinch from no difficulty or danger/make light of difficulties and dangers
中國保險監督管理委員會	中国保险监督管理委员会	Zhōng guó Bǎo xiǎn Jiān dū Guǎn lǐ Wěi yuán huì	China Insurance Regulatory Commission (CIRC)
人壽保險	人寿保险	rén shòu bǎo xiǎn	life insurance
保險	保险	bǎo xiǎn	insurance/to insure/safe/secure/be sure/be bound to/CL:份[fèn]
保險單	保险单	bǎo xiǎn dān	insurance policy (document)
保險套	保险套	bǎo xiǎn tào	condom/CL:隻|只[zhī]
保險槓	保险杠	bǎo xiǎn gàng	car bumper
保險櫃	保险柜	bǎo xiǎn guì	a safe/strongbox
保險燈	保险灯	bǎo xiǎn dēng	kerosene lamp
保險盒	保险盒	bǎo xiǎn hé	fuse box
保險箱	保险箱	bǎo xiǎn xiāng	safe deposit box/a safe
保險絲	保险丝	bǎo xiǎn sī	fuse wire/(electrical) fuse
保險解開系統	保险解开系统	bǎo xiǎn jiě kāi xì tǒng	arming system
保險費	保险费	bǎo xiǎn fèi	insurance fee
信用風險	信用风险	xìn yòng fēng xiǎn	credit risk
健康保險	健康保险	jiàn kāng bǎo xiǎn	health insurance
兇險	凶险	xiōng xiǎn	dangerous/ruthless/treacherous
全民健康保險	全民健康保险	Quán mín Jiàn kāng Bǎo xiǎn	National Health Insurance (Tw)
再保險	再保险	zài bǎo xiǎn	reinsurance (contractual device spreading risk between insurers)
冒生命危險	冒生命危险	mào shēng mìng wēi xiǎn	to risk one's life
冒險	冒险	mào xiǎn	to take risks/to take chances/foray/adventure
冒險主義	冒险主义	mào xiǎn zhǔ yì	adventurism (a left-wing error against Mao's line during the 1930s)
冒險家	冒险家	mào xiǎn jiā	adventurer
冒險者	冒险者	mào xiǎn zhě	adventurer
冒風險	冒风险	mào fēng xiǎn	to take risks
出險	出险	chū xiǎn	to get out of trouble/to escape from danger/a danger appears/threatened by danger
勞動保險	劳动保险	láo dòng bǎo xiǎn	labor insurance
化險為夷	化险为夷	huà xiǎn wéi yí	to turn peril into safety (idiom); to avert disaster
危險	危险	wēi xiǎn	danger/dangerous
危險品	危险品	wēi xiǎn pǐn	hazardous materials
危險警告燈	危险警告灯	wēi xiǎn jǐng gào dēng	hazard lights
友邦保險公司	友邦保险公司	Yǒu bāng bǎo xiǎn gōng sī	American International Group (AIG), insurance company
哈克貝利·芬歷險記	哈克贝利·芬历险记	Hā kè bèi lì · Fēn Lì xiǎn Jì	Adventures of Huckleberry Finn by Mark Twain 馬克·吐溫|马克·吐温[Mǎ kè · Tǔ wēn]
國民年金保險	国民年金保险	Guó mín Nián jīn Bǎo xiǎn	(Tw) old age pension/citizens' annuity
壽保險公司	寿保险公司	shòu bǎo xiǎn gōng sī	life insurance company
壽險	寿险	shòu xiǎn	life insurance/abbr. for 人壽保險|人寿保险
天險	天险	tiān xiǎn	a natural stronghold
奸險	奸险	jiān xiǎn	malicious/treacherous/wicked and crafty
好險	好险	hǎo xiǎn	to have a close call/to have a narrow escape
妙妙熊歷險記	妙妙熊历险记	Miào miào xióng Lì xiǎn Jì	Adventures of the Gummi Bears (Disney animated series)
居心險惡	居心险恶	jū xīn xiǎn è	to have sinister motives
履險如夷	履险如夷	lǚ xiǎn rú yí	lit. to make one's way through a dangerous pass as if walking on level ground (idiom)/fig. to handle a crisis effortlessly
山高水險	山高水险	shān gāo shuǐ xiǎn	lit. the mountains are high and the torrents swift/to undertake an arduous task or journey (idiom)
憑險	凭险	píng xiǎn	(to resist the enemy) relying on inaccessible territory
投資風險	投资风险	tóu zī fēng xiǎn	investment risk
挺而走險	挺而走险	tǐng ér zǒu xiǎn	variant of 鋌而走險|铤而走险[tǐng ér zǒu xiǎn]
探險	探险	tàn xiǎn	to explore/to go on an expedition/adventure
探險家	探险家	tàn xiǎn jiā	explorer
探險者	探险者	tàn xiǎn zhě	explorer
搶險	抢险	qiǎng xiǎn	emergency (measures)/to react to an emergency
搶險救災	抢险救灾	qiǎng xiǎn jiù zāi	to provide relief during times of emergency and disaster (idiom)
據守天險	据守天险	jù shǒu tiān xiǎn	to guard a natural stronghold
據險	据险	jù xiǎn	to rely on natural barriers (for one's defense)
旅平險	旅平险	lǚ píng xiǎn	travel insurance covering medical expenses/abbr. for 旅遊平安險|旅游平安险
有驚無險	有惊无险	yǒu jīng wú xiǎn	to be more scared than hurt (idiom)/to get through a daunting experience without mishap
歷險	历险	lì xiǎn	to experience adventures
涉險	涉险	shè xiǎn	to take risks/involved in adventure
湯姆·索亞歷險記	汤姆·索亚历险记	Tāng mǔ · Suǒ yà Lì xiǎn Jì	Adventures of Tom Sawyer by Mark Twain 馬克·吐溫|马克·吐温[Mǎ kè · Tǔ wēn]
湯姆索亞歷險記	汤姆索亚历险记	Tāng mǔ Suǒ yà Lì xiǎn Jì	Adventures of Tom Sawyer by Mark Twain
潛在危險度	潜在危险度	qián zài wēi xiǎn dù	latent hazard
無限風光在險峰	无限风光在险峰	wú xiàn fēng guāng zài xiǎn fēng	The boundless vista is at the perilous peak (proverb)/fig. exhilaration follows a hard-won victory
真心話大冒險	真心话大冒险	Zhēn xīn huà Dà Mào xiǎn	The Moment of Truth (TV show)/Truth or Dare (game)
社會保險	社会保险	shè huì bǎo xiǎn	social security/abbr. to 社保
總風險	总风险	zǒng fēng xiǎn	aggregate risk
脫險	脱险	tuō xiǎn	to escape (danger)/to rescue/to come out alive
脫離危險	脱离危险	tuō lí wēi xiǎn	out of danger/to avoid danger
艱險	艰险	jiān xiǎn	difficult and dangerous/hardships and perils
艱難險阻	艰难险阻	jiān nán xiǎn zǔ	untold dangers and difficulties (idiom)
財務再保險	财务再保险	cái wù zài bǎo xiǎn	financial reinsurance/fin re
走險	走险	zǒu xiǎn	to take risks/to run risks
遇險	遇险	yù xiǎn	to get into difficulties/to meet with danger
