隸	隶	lì	attached to/scribe
奴隸主	奴隶主	nú lì zhǔ	slave owner
奴隸制	奴隶制	nú lì zhì	slavery
奴隸制度	奴隶制度	nú lì zhì dù	slavery
奴隸社會	奴隶社会	nú lì shè huì	slave-owning society (precedes feudal society 封建社會|封建社会 in Marxist theory)
直隸	直隶	Zhí lì	Ming and Qing dynasty province directly administered by Beijing, including Beijing, Tianjin, most of Hebei and Henan and part of Shandong
奴隸	奴隶	nú lì	slave
隸圉	隶圉	lì yǔ	servants/underlings
隸屬	隶属	lì shǔ	to belong to (a category)/to be attached to
隸書	隶书	lì shū	clerical script/official script (Chinese calligraphic style)
隸體	隶体	lì tǐ	see 隸書|隶书[lì shū]
