雛	雏	chú	chick/young bird
幼雛	幼雏	yòu chú	young bird/nestling
伏龍鳳雛	伏龙凤雏	fú lóng fèng chú	hidden genius (idiom)
雛兒	雏儿	chú ér	newly hatched bird/fig. inexperienced person/fig. chick (slighting term for young woman)/bimbo
雛型	雏型	chú xíng	model
雛妓	雏妓	chú jì	underage prostitute
雛形	雏形	chú xíng	embryonic form/fledgling stage/prototype
雛形土	雏形土	Chú xíng tǔ	Cambosols (Chinese Soil Taxonomy)
雛燕	雏燕	chú yàn	swallow chick
雛菊	雏菊	chú jú	daisy
雛菊花環	雏菊花环	chú jú huā huán	daisy chain/chain sinnet
雛雞	雏鸡	chú jī	chick/newly hatched chicken
雛鳳	雏凤	chú fèng	lit. phoenix in embryo/fig. young talent/budding genius
雛鴿	雏鸽	chú gē	squab/nestling pigeon
龍駒鳳雛	龙驹凤雏	lóng jū fèng chú	brilliant young man/talented young scholar
