雜	杂	zá	mixed/miscellaneous/various/to mix
五味雜陳	五味杂陈	wǔ wèi zá chén	with complex feelings (idiom)
冗雜	冗杂	rǒng zá	many and varied/confused
凌雜	凌杂	líng zá	in disorder
凌雜米鹽	凌杂米盐	líng zá mǐ yán	disordered and fragmentary
分子雜交	分子杂交	fēn zǐ zá jiāo	molecular hybridization
勤雜	勤杂	qín zá	odd jobs/servant or army orderly doing odd jobs
參雜	参杂	cān zá	to mix
吵雜	吵杂	chǎo zá	noisy
嘈雜	嘈杂	cáo zá	noisy/clamorous
嘈雜聲	嘈杂声	cáo zá shēng	noise/din
噪雜	噪杂	zào zá	a clamor/a din
大雜燴	大杂烩	dà zá huì	mix-up/mish-mash/potpourri
大雜院	大杂院	dà zá yuàn	compound with many families living together
夾雜	夹杂	jiā zá	to mix together (disparate substances)/to mingle/a mix/to be tangled up with
心臟雜音	心脏杂音	xīn zàng zá yīn	heart murmur
心雜音	心杂音	xīn zá yīn	see 心臟雜音|心脏杂音[xīn zàng zá yīn]
打雜	打杂	dǎ zá	to do odd jobs/to do unskilled work
拉雜	拉杂	lā zá	disorganized/rambling/incoherent
攙雜	搀杂	chān zá	to mix/to blend/to dilute
民族雜居地區	民族杂居地区	mín zú zá jū dì qū	mixed ethnic area
淆雜	淆杂	xiáo zá	to mix up/to muddle
混雜	混杂	hùn zá	to mix/to mingle
混雜物	混杂物	hùn zá wù	adulteration/impurities
煩雜	烦杂	fán zá	many and disorderly/muddled
狗雜碎	狗杂碎	gǒu zá suì	piece of shit/scumbag
狗雜種	狗杂种	gǒu zá zhǒng	son of a bitch/damn bastard
珉玉雜淆	珉玉杂淆	mín yù zá xiáo	scholars of various talents (idiom)
疑難雜症	疑难杂症	yí nán zá zhèng	dubious or hard-to-treat cases (medicine)/hard cases
百不雜	百不杂	bǎi bù za	variant of 百不咋[bǎi bù za]
紛雜	纷杂	fēn zá	numerous and confused/in a mess
繁雜	繁杂	fán zá	many/diverse
羼雜	羼杂	chàn zá	to mix/to blend/to dilute/to adulterate/mingled/mongrel
苛捐雜稅	苛捐杂税	kē juān zá shuì	exorbitant taxation (idiom)
蕪雜	芜杂	wú zá	miscellaneous/mixed and disorderly (of writing)/disordered and confusing/mixed-up and illogical
蛇綠混雜	蛇绿混杂	shé lǜ hùn zá	ophiolite melange (geology)
蛇綠混雜岩	蛇绿混杂岩	shé lǜ hùn zá yán	ophiolite (geology)
蛇綠混雜岩帶	蛇绿混杂岩带	shé lǜ hùn zá yán dài	ophiolite belt (geology)
複雜	复杂	fù zá	complicated/complex
複雜化	复杂化	fù zá huà	to complicate/to become complicated
複雜性	复杂性	fù zá xìng	complexity
複雜系統	复杂系统	fù zá xì tǒng	complex system
計算複雜性	计算复杂性	jì suàn fù zá xìng	computational complexity (math.)
錯綜複雜	错综复杂	cuò zōng fù zá	tangled and complicated (idiom)
錯雜	错杂	cuò zá	mixed/jumbled
閑雜	闲杂	xián zá	(employee) having no fixed duties
二氧雜芑	二氧杂芑	èr yǎng zá qǐ	dioxin
雜七雜八	杂七杂八	zá qī zá bā	an assortment/a bit of everything/lots of different (skills)
雜亂	杂乱	zá luàn	in a mess/in a jumble/chaotic
雜亂無章	杂乱无章	zá luàn wú zhāng	disordered and in a mess (idiom); all mixed up and chaotic
雜事	杂事	zá shì	miscellaneous tasks/various chores
雜交	杂交	zá jiāo	to hybridize/to crossbreed/promiscuity
雜交植物	杂交植物	zá jiāo zhí wù	hybrid plant
雜交派對	杂交派对	zá jiāo pài duì	sex party/orgy
雜件	杂件	zá jiàn	miscellaneous goods
雜件兒	杂件儿	zá jiàn r5	miscellaneous goods
雜劇	杂剧	zá jù	a Yuan dynasty form of musical comedy
雜劇四大家	杂剧四大家	Zá jù Sì Dà jiā	Four Great Yuan Dramatists, namely: Guan Hanqing 關漢卿|关汉卿[Guān Hàn qīng], Zheng Guangzu 鄭光祖|郑光祖[Zhèng Guāng zǔ], Ma Zhiyuan 馬致遠|马致远[Mǎ Zhì yuǎn] and Bai Pu 白樸|白朴[Bái Pǔ]
雜務	杂务	zá wù	various jobs/low-grade work
雜和麵	杂和面	zá huo miàn	corn flour mixed with a little soybean flour
雜和麵兒	杂和面儿	zá huo miàn r5	erhua variant of 雜和麵|杂和面[zá huo miàn]
雜噪	杂噪	zá zào	a clamor/a din
雜多	杂多	Zá duō	Zadoi county (Tibetan: rdza stod rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
雜多縣	杂多县	Zá duō xiàn	Zadoi county (Tibetan: rdza stod rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
雜婚	杂婚	zá hūn	mixed marriage
雜家	杂家	Zá jiā	Miscellaneous School of the Warring States Period (475-221 BC) whose leading advocate was Lü Buwei 呂不韋|吕不韦[Lǚ Bù wéi]
雜居	杂居	zá jū	cohabitation (of different populations or races)/to coexist
雜居地區	杂居地区	zá jū dì qū	area of mixed habitation
雜工	杂工	zá gōng	unskilled worker
雜店	杂店	zá diàn	convenience store/variety store
雜役	杂役	zá yì	odd jobs/part-time worker
雜念	杂念	zá niàn	distracting thoughts
雜感	杂感	zá gǎn	random thoughts (a literary genre)
雜戲	杂戏	zá xì	acrobatics/entertainment at folk festival
雜技	杂技	zá jì	acrobatics/CL:場|场[chǎng]
雜技演員	杂技演员	zá jì yǎn yuán	acrobat
雜拌	杂拌	zá bàn	assortment of preserved fruits/(fig.) hodgepodge
雜拌兒	杂拌儿	zá bàn r5	erhua variant of 雜拌|杂拌[zá bàn]
雜文	杂文	zá wén	essay
雜沓	杂沓	zá tà	small craftsman (contemptuous)/clatter (e.g. of footsteps)/jumbled mass/press of bodies/tumult
雜活	杂活	zá huó	odd jobs
雜流	杂流	zá liú	small craftsman (contemptuous)
雜湊	杂凑	zá còu	to put together various bits/to knock sth together/hash (computing)/see also 散列[sǎn liè]
雜燴	杂烩	zá huì	a stew/fig. a disparate collection
雜牌	杂牌	zá pái	inferior brand/not the genuine article
雜牌兒	杂牌儿	zá pái r5	erhua variant of 雜牌|杂牌[zá pái]
雜物	杂物	zá wù	junk/items of no value/various bits and bobs
雜環	杂环	zá huán	heterocyclic (chemistry)
雜碎	杂碎	zá suì	offal/mixed entrails/trivial matters
雜稅	杂税	zá shuì	miscellaneous duties/various taxes
雜種	杂种	zá zhǒng	hybrid/mixed breed/bastard/son of a bitch
雜糅	杂糅	zá róu	a blend/a mix
雜糧	杂粮	zá liáng	grain crops other than rice and wheat
雜耍	杂耍	zá shuǎ	a sideshow/vaudeville/juggling
雜色	杂色	zá sè	varicolored/motley
雜色噪鶥	杂色噪鹛	zá sè zào méi	(bird species of China) variegated laughingthrush (Trochalopteron variegatum)
雜色山雀	杂色山雀	zá sè shān què	(bird species of China) varied tit (Sittiparus varius)
雜草	杂草	zá cǎo	weeds
雜處	杂处	zá chǔ	(of disparate elements) to mix in with one another/(of diverse groups of people) to live in the same area/to coexist
雜記	杂记	zá jì	various notes or records/a miscellany/scattered jottings
雜誌	杂志	zá zhì	magazine/CL:本[běn],份[fèn],期[qī]
雜誌社	杂志社	zá zhì shè	magazine publisher
