霧	雾	wù	fog/mist/CL:場|场[cháng],陣|阵[zhèn]
吞雲吐霧	吞云吐雾	tūn yún tǔ wù	to swallow clouds and blow out fog (idiom)/to blow cigarette or opium smoke
噴霧	喷雾	pēn wù	mist spray/atomizing
噴霧器	喷雾器	pēn wù qì	nebulizer/spray/atomizer
塵霧	尘雾	chén wù	cloud of dust/smog
墮雲霧中	堕云雾中	duò yún wù zhōng	lit. to become lost in a fog (idiom); fig. at a complete loss
大霧	大雾	dà wù	thick fog
如墮五里霧中	如堕五里雾中	rú duò wǔ lǐ wù zhōng	as if lost in a thick fog (idiom)/in a fog/muddled/completely unfamiliar with sth
如墮煙霧	如堕烟雾	rú duò yān wù	as if degenerating into smoke (idiom); ignorant and unable to see where things are heading
宿霧	宿雾	Sù wù	Cebu, a province (and a city) in the Philippines (Tw)
宿霧語	宿雾语	Sù wù yǔ	Cebuano (aka Bisaya), language spoken in parts of the Philippines (Tw)
於霧靄之中	于雾霭之中	yú wù ǎi zhī zhōng	to be beclouded
柳煙花霧	柳烟花雾	liǔ yān huā wù	lit. willow scent and mist of blossom (idiom); scene full of the delights of spring
氣霧免疫	气雾免疫	qì wù miǎn yì	aerosol immunization
氣霧劑	气雾剂	qì wù jì	aerosol
氣霧室	气雾室	qì wù shì	cloud chamber
濃霧	浓雾	nóng wù	thick fog
煙霧	烟雾	yān wù	smoke/mist/vapor/smog/fumes
煙霧劑	烟雾剂	yān wù jì	aerosol
煙霧症	烟雾症	yān wù zhèng	moyamoya disease (rare brain disease first diagnosed in Japan)
胡椒噴霧	胡椒喷雾	hú jiāo pēn wù	pepper spray/OC spray
蓮霧	莲雾	lián wù	wax apple (a reddish pear-shaped fruit)
薄霧	薄雾	bó wù	mist/haze
貓霧族	猫雾族	Māo wù zú	Babuza, one of the indigenous peoples of Taiwan
迷霧	迷雾	mí wù	dense fog/fig. completely misleading
防狼噴霧	防狼喷雾	fáng láng pēn wù	pepper spray
雲消霧散	云消雾散	yún xiāo wù sàn	the clouds melt and the mists disperse (idiom)/to clear up/to vanish into thin air
雲窗霧檻	云窗雾槛	yún chuāng wù kǎn	cloud around the window, mist on the threshold (idiom); tall building with the windows in the clouds
雲裡霧裡	云里雾里	yún lǐ wù lǐ	amidst the clouds and mist/(fig.) mystified/puzzled
雲霧	云雾	yún wù	clouds and mist
雲霧徑跡	云雾径迹	yún wù jìng jì	cloud track (trace of ionizing particle in cloud chamber)
一頭霧水	一头雾水	yī tóu wù shuǐ	to be confused/to be baffled
霧件	雾件	wù jiàn	vaporware
霧凇	雾凇	wù sōng	rime/hoarfrost
霧化器	雾化器	wù huà qì	nebulizer/spray/atomizer
霧化機	雾化机	wù huà jī	nebulizer
霧台	雾台	Wù tái	Wutai township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
霧台鄉	雾台乡	Wù tái xiāng	Wutai township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
霧峰	雾峰	Wù fēng	Wufeng township in Taichung county 臺中縣|台中县[Tái zhōng xiàn], Taiwan
霧峰鄉	雾峰乡	Wù fēng xiāng	Wufeng township in Taichung county 臺中縣|台中县[Tái zhōng xiàn], Taiwan
霧幔	雾幔	wù màn	fog/mist
霧氣	雾气	wù qì	fog/mist/vapor
霧燈	雾灯	wù dēng	fog lights (of a motor vehicle)
霧臺鄉	雾台乡	Wù tái xiāng	Wutai township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
霧茫茫	雾茫茫	wù máng máng	foggy
霧蒙蒙	雾蒙蒙	wù méng méng	foggy/misty/hazy
霧里看花	雾里看花	wù lǐ kàn huā	lit. to look at flowers in the fog (idiom); fig. blurred vision
霧鎖	雾锁	wù suǒ	fogbound/enshrouded in mist
霧霾	雾霾	wù mái	haze/smog
霧靄	雾霭	wù ǎi	mist
鹼性塵霧	碱性尘雾	jiǎn xìng chén wù	alkali fumes
