須	须	xū	must/to have to/to wait
布須曼人	布须曼人	bù xū màn rén	bushman (African ethnic group)
必須	必须	bì xū	to have to/must/compulsory/necessarily
橫須賀	横须贺	Héng xū hè	Yokosuka (port and navy base in the Tokyo bay)
橫須賀市	横须贺市	Héng xū hè shì	Yokosuka city and US naval base to the west of Yokohama, Japan
無須	无须	wú xū	need not/not obliged to/not necessarily
牡丹雖好，終須綠葉扶持	牡丹虽好，终须绿叶扶持	mǔ dan suī hǎo , zhōng xū lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
臾須	臾须	yú xū	short period of time/a moment
莫須有	莫须有	mò xū yǒu	groundless/baseless
解鈴還須繫鈴人	解铃还须系铃人	jiě líng hái xū xì líng rén	lit. whoever hung the bell on the tiger's neck must untie it (idiom)/fig. whoever started the trouble should end it
何須	何须	hé xū	there is no need/why should
須丸	须丸	xū wán	hematite Fe2O3
須彌	须弥	Xū mí	Mt Meru or Sumeru, sacred mountain in Buddhist and Jain tradition/Mt Xumi in Guyuan 固原[Gù yuán], Ningxia, with many Buddhist cave statues
須彌山	须弥山	Xū mí shān	Mt Meru or Sumeru, sacred mountain in Buddhist and Jain tradition/Mt Xumi in Guyuan 固原[Gù yuán], Ningxia, with many Buddhist cave statues
須後	须后	xū hòu	aftershave
須後水	须后水	xū hòu shuǐ	aftershave
須根	须根	xū gēn	fibrous roots
須知	须知	xū zhī	key information/instructions/it must be borne in mind
須臾	须臾	xū yú	in a flash/in a jiffy
須要	须要	xū yào	must/have to
