頤	颐	yí	cheek/lower cheek/chin/jaw/to nourish
周敦頤	周敦颐	Zhōu Dūn yí	Zhou Dunyi (1017-1073), Song dynasty neo-Confucian scholar
夥頤	夥颐	huǒ yí	(literary) very many/wow! (an exclamation of surprise and admiration)
大塊朵頤	大块朵颐	dà kuài duǒ yí	to chew on a large slab (idiom); a large mouthful is hard to chew/to tuck into a great meal
大快朵頤	大快朵颐	dà kuài duǒ yí	to gorge oneself/to eat heartily (idiom)
朵頤	朵颐	duǒ yí	to move the jaw/to munch/to masticate
程頤	程颐	Chéng Yí	Cheng Yi (1033-1107), Song neo-Confucian scholar
解頤	解颐	jiě yí	to smile/to laugh
伙頤	伙颐	huǒ yí	variant of 夥頤|夥颐[huǒ yí]
頤和園	颐和园	Yí hé yuán	Summer Palace in Beijing
頤性養壽	颐性养寿	yí xìng yǎng shòu	to take care of one's spirit and keep fit (idiom)
頤指	颐指	yí zhǐ	to order with the chin/to indicate what one wants by facial gesture
頤指氣使	颐指气使	yí zhǐ qì shǐ	lit. to order people by pointing the chin (idiom); to signal orders by facial gesture/arrogant and bossy
頤指風使	颐指风使	yí zhǐ fēng shǐ	lit. to order people by pointing the chin (idiom); to signal orders by facial gesture/arrogant and bossy
頤養	颐养	yí yǎng	to nourish/to nurture/to strengthen
頤養天年	颐养天年	yí yǎng tiān nián	lit. to nurture one's years (idiom)/fig. to enjoy one's later years
