頰	颊	jiá	cheeks
批頰	批颊	pī jiá	to slap sb's cheeks
栗頰噪鶥	栗颊噪鹛	lì jiá zào méi	(bird species of China) rufous-cheeked laughingthrush (Garrulax castanotis)
白頰噪鶥	白颊噪鹛	bái jiá zào méi	(bird species of China) white-browed laughingthrush (Garrulax sannio)
白頰山鷓鴣	白颊山鹧鸪	bái jiá shān zhè gū	(bird species of China) white-cheeked partridge (Arborophila atrogularis)
白頰鵯	白颊鹎	bái jiá bēi	(bird species of China) Himalayan bulbul (Pycnonotus leucogenys)
白頰黑雁	白颊黑雁	bái jiá hēi yàn	(bird species of China) barnacle goose (Branta leucopsis)
紫頰直嘴太陽鳥	紫颊直嘴太阳鸟	zǐ jiá zhí zuǐ tài yáng niǎo	(bird species of China) ruby-cheeked sunbird (Chalcoparia singalensis)
緩頰	缓颊	huǎn jiá	to urge reconciliation/to dissuade from punitive action
腮頰	腮颊	sāi jiá	cheek/jaw
臉頰	脸颊	liǎn jiá	cheek
面頰	面颊	miàn jiá	cheek
兩頰生津	两颊生津	liǎng jiá shēng jīn	mouth-watering/to whet one's appetite
頰窩	颊窝	jiá wō	dimple/heat-sensing facial pit of a snake
黃頰山雀	黄颊山雀	huáng jiá shān què	(bird species of China) yellow-cheeked tit (Machlolophus spilonotus)
黃頰麥雞	黄颊麦鸡	huáng jiá mài jī	(bird species of China) sociable lapwing (Vanellus gregarius)
齒頰生香	齿颊生香	chǐ jiá shēng xiāng	lit. to feel the taste in one's mouth (idiom)/fig. to water at the mouth/to drool in anticipation
