飛	飞	fēi	to fly
不明飛行物	不明飞行物	bù míng fēi xíng wù	unidentified flying object (UFO)
不翼而飛	不翼而飞	bù yì ér fēi	to disappear without trace/to vanish all of a sudden/to spread fast/to spread like wildfire
不著陸飛行	不着陆飞行	bù zhuó lù fēi xíng	nonstop flight
中國商用飛機	中国商用飞机	Zhōng guó Shāng yòng Fēi jī	COMAC (Chinese aeronautics company)
中國商飛	中国商飞	Zhōng guó Shāng fēi	COMAC, Chinese aeronautics company (abbr. for 中國商用飛機|中国商用飞机[Zhōng guó Shāng yòng Fēi jī])
低空飛過	低空飞过	dī kōng fēi guò	to just scrape through with a narrow pass (in an exam)
俠盜飛車	侠盗飞车	xiá dào fēi chē	Grand Theft Auto (video game series)
停飛	停飞	tíng fēi	(of an aircraft) to be grounded
健步如飛	健步如飞	jiàn bù rú fēi	running as fast as flying
傑瑞·宋飛	杰瑞·宋飞	Jié ruì · Sòng fēi	Jerry Seinfeld
勞燕分飛	劳燕分飞	láo yàn fēn fēi	the shrike and the swallow fly in different directions (idiom)/(usually of a couple) to part from each other
協和飛機	协和飞机	Xié hé Fēi jī	Concorde, supersonic passenger airliner
南飛過冬	南飞过冬	nán fēi guò dōng	(of birds) to migrate south for the winter
喜群飛	喜群飞	xǐ qún fēi	gregarious (ornithology)
單翼飛機	单翼飞机	dān yì fēi jī	monoplane
噴氣式飛機	喷气式飞机	pēn qì shì fēi jī	jet aircraft
垂直和短距起落飛機	垂直和短距起落飞机	chuí zhí hé duǎn jù qǐ luò fēi jī	vertical or short takeoff and landing aircraft
垂直起落飛機	垂直起落飞机	chuí zhí qǐ luò fēi jī	vertical takeoff and landing aircraft
執飛	执飞	zhí fēi	(of an airline) to run a flight
太空飛船	太空飞船	tài kōng fēi chuán	space shuttle
奈飛	奈飞	Nài fēi	Netflix, American entertainment company
奮飛	奋飞	fèn fēi	to spread wings and fly
宇宙飛船	宇宙飞船	yǔ zhòu fēi chuán	spacecraft
展翅高飛	展翅高飞	zhǎn chì gāo fēi	to spread one's wings and soar (idiom)/to develop one's abilities freely
岳飛	岳飞	Yuè Fēi	Yue Fei (1103-1142), Song dynasty patriot and general
張飛	张飞	Zhāng Fēi	Zhang Fei (168-221), general of Shu and blood-brother of Liu Bei in Romance of the Three Kingdoms, famous as fearsome fighter and lover of wine
張飛打岳飛	张飞打岳飞	Zhāng fēi dǎ Yuè fēi	lit. Zhang Fei fights Yue Fei/fig. an impossible combination/an impossible turn of events (idiom)
戰火紛飛	战火纷飞	zhàn huǒ fēn fēi	fire of war everywhere (idiom); enveloped in the flames of war
打飛機	打飞机	dǎ fēi jī	to masturbate (slang)
插翅難飛	插翅难飞	chā chì nán fēi	lit. even given wings, you couldn't fly (idiom); fig. impossible to escape
放飛	放飞	fàng fēi	to allow to fly
放飛機	放飞机	fàng fēi jī	to ditch sb (slang)
橫飛	横飞	héng fēi	to splash across/to splatter
比翼雙飛	比翼双飞	bǐ yì shuāng fēi	lit. a pair of birds flying close together (idiom)/fig. two hearts beating as one/name of a sweet and sour chicken wing dish
比翼齊飛	比翼齐飞	bǐ yì qí fēi	to fly wing to wing (idiom)/two hearts beating as one/(of a couple) inseparable
水上飛板	水上飞板	shuǐ shàng fēi bǎn	flyboard
水上飛機	水上飞机	shuǐ shàng fēi jī	seaplane
滿天飛	满天飞	mǎn tiān fēi	to rush around everywhere/always active
漫天飛舞	漫天飞舞	màn tiān fēi wǔ	(of snow etc) to fill the sky
灰飛煙滅	灰飞烟灭	huī fēi yān miè	lit. scattered ashes and dispersed smoke (idiom)/fig. to be annihilated/to vanish in a puff of smoke
烽煙四起，戰火紛飛	烽烟四起，战火纷飞	fēng yān sì qǐ , zhàn huǒ fēn fēi	lit. fire beacons in all four directions (idiom); the confusion of war
無人飛行器	无人飞行器	wú rén fēi xíng qì	drone/unmanned aerial vehicle
煮熟的鴨子飛了	煮熟的鸭子飞了	zhǔ shú de yā zi fēi le	the cooked duck flew away (proverb)/(fig.) to let a sure thing slip through one's fingers
直升飛機	直升飞机	zhí shēng fēi jī	see 直升機|直升机[zhí shēng jī]
直飛	直飞	zhí fēi	to fly directly/direct flight
眉飛色舞	眉飞色舞	méi fēi sè wǔ	smiles of exultation/radiant with delight
短距起落飛機	短距起落飞机	duǎn jù qǐ luò fēi jī	short takeoff and landing aircraft
神舟號飛船	神舟号飞船	Shén zhōu hào fēi chuán	Shenzhou (spacecraft)
神采飛揚	神采飞扬	shén cǎi fēi yáng	in high spirits (idiom); glowing with health and vigor
