飢	饥	jī	hungry
充飢止渴	充饥止渴	chōng jī zhǐ kě	to allay one's hunger and slake one's thirst (idiom)
如飢似渴	如饥似渴	rú jī sì kě	to hunger for sth (idiom); eagerly/to long for sth
忍飢挨餓	忍饥挨饿	rěn jī ái è	starving/famished
挨飢抵餓	挨饥抵饿	ái jī dǐ è	to suffer from hunger
易飢症	易饥症	yì jī zhèng	bulimia
漏脯充飢	漏脯充饥	lòu fǔ chōng jī	to bury one's head in the sand (idiom)
畫餅充飢	画饼充饥	huà bǐng chōng jī	lit. to allay one's hunger using a picture of a cake/to feed on illusions (idiom)
充飢	充饥	chōng jī	to allay one's hunger
飢不擇食	饥不择食	jī bù zé shí	when hungry, you can't pick what you eat (idiom); beggars can't be choosers/When matters are urgent, don't spend time choosing alternatives.
飢寒交迫	饥寒交迫	jī hán jiāo pò	beset by hunger and cold (idiom)/starving and freezing/in desperate poverty
飢渴	饥渴	jī kě	hungry and thirsty/(fig.) to crave (knowledge, love etc)
飢腸轆轆	饥肠辘辘	jī cháng lù lù	stomach rumbling with hunger
飢餓	饥饿	jī è	hunger/starvation/famine
飽人不知餓人飢	饱人不知饿人饥	bǎo rén bù zhī è rén jī	The well-fed cannot know how the starving suffer (idiom).
飽暖思淫欲，飢寒起盜心	饱暖思淫欲，饥寒起盗心	bǎo nuǎn sī yín yù , jī hán qǐ dào xīn	lechery springs from warmth and nourishment, kleptomania springs from hunger and cold (idiom)
飽漢不知餓漢飢	饱汉不知饿汉饥	bǎo hàn bù zhī è hàn jī	The well-fed cannot know how the starving suffer (idiom).
