饞	馋	chán	gluttonous/greedy/to have a craving
眼饞	眼馋	yǎn chán	to covet/to envy
眼饞肚飽	眼馋肚饱	yǎn chán dù bǎo	to have eyes bigger than one's belly (idiom)
解饞	解馋	jiě chán	to satisfy one's craving
貪饞	贪馋	tān chán	gluttonous/greedy/insatiable/avid
嘴饞	嘴馋	zuǐ chán	gluttonous/ravenous
饞人	馋人	chán rén	to make one's mouth water/appetizing/greedy person/glutton
饞嘴	馋嘴	chán zuǐ	gluttonous/glutton
饞嘴蛙	馋嘴蛙	chán zuǐ wā	sautéed bullfrog with chili sauce
饞涎欲垂	馋涎欲垂	chán xián yù chuí	see 饞涎欲滴|馋涎欲滴[chán xián yù dī]
饞涎欲滴	馋涎欲滴	chán xián yù dī	lit. to drool with desire (idiom)/fig. to hunger for/greedy
饞癆	馋痨	chán láo	gluttony
饞鬼	馋鬼	chán guǐ	glutton/greedy/piggish
