驕	骄	jiāo	proud/arrogant
戒驕戒躁	戒骄戒躁	jiè jiāo jiè zào	to guard against pride and impatience (idiom); to remain modest and keep cool
虛心使人進步，驕傲使人落後	虚心使人进步，骄傲使人落后	xū xīn shǐ rén jìn bù , jiāo ào shǐ rén luò hòu	Modesty leads to progress, arrogance makes you drop behind (favorite slogan of Mao Zedong)
勝不驕，敗不餒	胜不骄，败不馁	shèng bù jiāo , bài bù něi	no arrogance in victory, no despair in defeat
驕人	骄人	jiāo rén	worthy of pride/impressive/enviable/to show contempt for others
驕傲	骄傲	jiāo ào	pride/arrogance/conceited/proud of sth
驕兵必敗	骄兵必败	jiāo bīng bì bài	lit. an arrogant army is bound to lose (idiom)/fig. pride goes before a fall
驕奢淫佚	骄奢淫佚	jiāo shē yín yì	variant of 驕奢淫逸|骄奢淫逸[jiāo shē yín yì]
驕奢淫逸	骄奢淫逸	jiāo shē yín yì	extravagant and dissipated/decadent
驕橫	骄横	jiāo hèng	arrogant/overbearing
驕氣	骄气	jiāo qi	arrogance
驕矜	骄矜	jiāo jīn	haughty/proud
驕縱	骄纵	jiāo zòng	arrogant and willful
驕者必敗	骄者必败	jiāo zhě bì bài	pride goes before a fall (idiom)
驕陽	骄阳	jiāo yáng	blazing sun
驕陽似火	骄阳似火	jiāo yáng sì huǒ	the sun shines fiercely
