髮	发	fà	hair/Taiwan pr. [fǎ]
假髮	假发	jiǎ fà	wig
剃髮令	剃发令	tì fà lìng	the Qing order to all men to shave their heads but keep a queue, first ordered in 1646
剃髮留辮	剃发留辫	tì fà liú biàn	to shave the head but keep the queue
削髮	削发	xuē fà	to shave one's head/fig. to become a monk or nun/to take the tonsure
剪頭髮	剪头发	jiǎn tóu fa	(to get a) haircut
千鈞一髮	千钧一发	qiān jūn yī fà	a thousand pounds hangs by a thread (idiom)/imminent peril/a matter of life or death
后髮座	后发座	Hòu fà zuò	Coma Berenices (constellation)
怒髮衝冠	怒发冲冠	nù fà chōng guān	lit. hair stands up in anger and tips off one's hat (idiom)/fig. seething in anger/raise one's hackles
披頭散髮	披头散发	pī tóu sàn fà	with dishevelled hair (idiom)/with one's hair down
捲髮	卷发	juǎn fà	to curl hair
捲髮器	卷发器	juǎn fà qì	hair curler
接髮	接发	jiē fà	hair extensions
擢髮難數	擢发难数	zhuó fà nán shǔ	lit. as difficult to count as hair pulled from sb's head (idiom)/fig. innumerable (crimes)
束髮	束发	shù fà	to bind one's hair/headband
染髮	染发	rǎn fà	to dye one's hair/rinse/tint
染髮劑	染发剂	rǎn fà jì	hair dye/rinse/tint
毛髮	毛发	máo fà	hair
毫髮	毫发	háo fà	a hair/the slightest
毫髮不爽	毫发不爽	háo fà bù shuǎng	not to deviate one hair's breadth (idiom)/to be extremely accurate
洗髮乳	洗发乳	xǐ fà rǔ	shampoo
洗髮劑	洗发剂	xǐ fà jì	shampoo
洗髮水	洗发水	xǐ fà shuǐ	shampoo (liquid)
洗髮水兒	洗发水儿	xǐ fà shuǐ r5	shampoo
洗髮皂	洗发皂	xǐ fà zào	shampoo
洗髮粉	洗发粉	xǐ fà fěn	shampoo powder
洗髮精	洗发精	xǐ fà jīng	shampoo
洗髮露	洗发露	xǐ fà lù	shampoo
潤髮液	润发液	rùn fà yè	hair conditioner
潤髮露	润发露	rùn fà lù	hair conditioner
燙頭髮	烫头发	tàng tóu fa	perm/to perm hair
燙髮	烫发	tàng fà	perm (hairstyle)
牽一髮而動全身	牵一发而动全身	qiān yī fà ér dòng quán shēn	lit. pull one hair and the whole body moves/fig. a slight change will affect everything else/the butterfly effect
理髮	理发	lǐ fà	a barber/hairdressing
理髮員	理发员	lǐ fà yuán	barber
理髮師	理发师	lǐ fà shī	barber
理髮店	理发店	lǐ fà diàn	barbershop/hairdresser's/CL:家[jiā]
理髮廳	理发厅	lǐ fà tīng	(Tw) barbershop/hairdresser's/CL:家[jiā]
理髮院	理发院	lǐ fà yuàn	barbershop/hair parlor
生髮劑	生发剂	shēng fà jì	hair restorer/hair regrowth tonic
白髮	白发	bái fà	white or gray hair/CL:根[gēn]
白髮人送黑髮人	白发人送黑发人	bái fà rén sòng hēi fà rén	to see one's child die before oneself
白髮蒼蒼	白发苍苍	bái fà cāng cāng	old and gray-haired
直髮	直发	zhí fà	straight hair
直髮器	直发器	zhí fà qì	hair straightener
直髮板	直发板	zhí fà bǎn	see 直髮器|直发器[zhí fà qì]
祝髮	祝发	zhù fà	to cut one's hair (as part of a minority ritual or in order to become a monk)
秀髮	秀发	xiù fà	beautiful hair
秀髮垂肩	秀发垂肩	xiù fà chuí jiān	beautiful shoulder length hair (idiom)
結髮	结发	jié fà	(in former times) to bind one's hair on coming of age
美髮	美发	měi fà	hairdressing/beautiful hair
美髮師	美发师	měi fà shī	hairdresser/beautician
耳髮	耳发	ěr fa	(men) sideburns/(women) lengths of hair that hang down over the temples
脫髮	脱发	tuō fà	baldness/to lose hair or feathers/to molt/depilation
華髮	华发	huá fà	(literary) gray hair
蓬頭散髮	蓬头散发	péng tóu sàn fà	disheveled
護髮乳	护发乳	hù fà rǔ	hair conditioner
護髮素	护发素	hù fà sù	hair conditioner
金髮	金发	jīn fà	blond/blonde/fair-haired
金髮碧眼	金发碧眼	jīn fà bì yǎn	fair-haired and blue-eyed/blonde/of Western appearance
銀髮	银发	yín fà	silver hair/gray hair
長髮	长发	cháng fà	long hair
間不容髮	间不容发	jiān bù róng fà	(to escape danger etc) by a hair's breadth (idiom)/in a critical state/on the brink of crisis/very close (to happening)/Taiwan pr. [jiàn bù róng fǎ]
頭髮	头发	tóu fa	hair (on the head)
