鬍	胡	hú	beard/mustache/whiskers
八字鬍鬚	八字胡须	bā zì hú xū	mustache shaped like character 八
刮鬍刀	刮胡刀	guā hú dāo	razor
刮鬍子	刮胡子	guā hú zi	to shave
吹鬍子瞪眼	吹胡子瞪眼	chuī hú zi dèng yǎn	to get angry/to fume
山羊鬍子	山羊胡子	shān yáng hú zi	goatee
眉毛鬍子一把抓	眉毛胡子一把抓	méi mao hú zi yī bǎ zhuā	careless/any-old-how, regardless of the specific task
絡腮鬍子	络腮胡子	luò sāi hú zi	full beard
腮鬍	腮胡	sāi hú	sideburns
落腮鬍子	落腮胡子	luò sāi hú zi	variant of 絡腮鬍子|络腮胡子[luò sāi hú zi]
頭髮鬍子一把抓	头发胡子一把抓	tóu fa hú zi yī bǎ zhuā	lit. hair and beard all in one stroke/fig. to handle different things by the same method/one method to solve all problems/one size fits all
八字鬍	八字胡	bā zì hú	mustache shaped like character 八
鬍匪	胡匪	hú fěi	bandit (old)
鬍子	胡子	hú zi	beard/mustache or whiskers/facial hair/CL:撮[zuǒ],根[gēn]/(coll.) bandit
鬍渣	胡渣	hú zhā	see 鬍碴|胡碴[hú chā]
鬍疵	胡疵	hú cī	stubble/facial hair
鬍碴	胡碴	hú chā	beard stubble/Taiwan pr. [hú chá]
鬍茬	胡茬	hú chá	beard stubble
鬍髭	胡髭	hú zī	beard and mustache
鬍鬚	胡须	hú xū	beard/CL:根[gēn],綹|绺[liǔ]
