鯨	鲸	jīng	whale
抹香鯨	抹香鲸	mǒ xiāng jīng	sperm whale (Physeter macrocephalus)/cachalot
捕鯨	捕鲸	bǔ jīng	whaling
捕鯨船	捕鲸船	bǔ jīng chuán	whaler/whale catcher
殺人鯨	杀人鲸	shā rén jīng	killer whale (Orcinus orca)
獨角鯨	独角鲸	dú jiǎo jīng	narwhal (Monodon monoceros)
白鯨	白鲸	bái jīng	white whale/beluga/Moby Dick, novel by Herman Melville 赫曼·麥爾維爾|赫曼·麦尔维尔[Hè màn · Mài ěr wéi ěr]
藍鯨	蓝鲸	lán jīng	blue whale
虎鯨	虎鲸	hǔ jīng	killer whale (Orcinus orca)
逆戟鯨	逆戟鲸	nì jǐ jīng	(zoo.) orca/killer whale
駝背鯨	驼背鲸	tuó bèi jīng	humpback whale (Megaptera novaeangliae)
鬚鯨	须鲸	xū jīng	baleen whale/Mysticeti
座頭鯨	座头鲸	zuò tóu jīng	humpback whale
鯨波	鲸波	jīng bō	huge wave or breaker
鯨目	鲸目	jīng mù	Cetacea (whale family)
鯨豚	鲸豚	jīng tún	cetacean
鯨頭鸛	鲸头鹳	jīng tóu guàn	shoebill stork (Balaeniceps rex)
鯨魚	鲸鱼	jīng yú	whale/CL:條|条[tiáo]
鯨魚座	鲸鱼座	Jīng yú zuò	Cetus (constellation)
鯨鯊	鲸鲨	jīng shā	whale shark
齒鯨	齿鲸	chǐ jīng	toothed whales/Odontoceti
