鱉	鳖	biē	freshwater soft-shelled turtle
地鱉	地鳖	dì biē	Chinese ground beetle (Eupolyphaga sinensis), used in TCM
山瑞鱉	山瑞鳖	shān ruì biē	wattle-necked soft-shelled turtle (Palea steindachneri)
斑鱉	斑鳖	bān biē	Yangtze giant soft-shell turtle (Rafetus swinhoei), a critically endangered species
甕中之鱉	瓮中之鳖	wèng zhōng zhī biē	lit. like a turtle in a jar/to be trapped (idiom)
甕中捉鱉	瓮中捉鳖	wèng zhōng zhuō biē	to catch a turtle in a jar (idiom); to set oneself an easy target/a turkey shoot
番木鱉鹼	番木鳖碱	fān mù biē jiǎn	strychnine (C21H22N2O2)
馬鱉	马鳖	mǎ biē	leech
土鱉	土鳖	tǔ biē	ground beetle/(coll.) professional or entrepreneur who, unlike a 海歸|海归[hǎi guī], has never studied overseas/(dialect) country bumpkin
鱉甲	鳖甲	biē jiǎ	turtle shell
鱉裙	鳖裙	biē qún	calipash
龜笑鱉無尾	龟笑鳖无尾	guī xiào biē wú wěi	lit. a tortoise laughing at a soft-shelled turtle for having no tail (idiom)/fig. the pot calling the kettle black
