鰻	鳗	mán	eel/Anguilla lostoniensis
八目鰻	八目鳗	bā mù mán	lamprey (jawless proto-fish of family Petromyzontidae)
澳洲鰻鱺	澳洲鳗鲡	Ào zhōu mán lí	short-finned eel (Anguilla australis)
盲鰻	盲鳗	máng mán	hagfish (jawless proto-fish of class Myxini)
蘆鰻	芦鳗	lú mán	variant of 鱸鰻|鲈鳗[lú mán], giant mottled eel (Anguilla marmorata)
電鰻	电鳗	diàn mán	electric eel
七鰓鰻	七鳃鳗	qī sāi mán	lamprey (jawless proto-fish of family Petromyzontidae)
鰻魚	鳗鱼	mán yú	eel
鰻鱺	鳗鲡	mán lí	eel/Japanese freshwater eel (Anguilla japonica)
鱸鰻	鲈鳗	lú mán	(Tw) giant mottled eel (Anguilla marmorata), aka swamp eel or marbled eel/(coll.) (alternative for the nearly homonymous 流氓[liú máng]) gangster
黑鰻	黑鳗	hēi mán	short-finned eel (Anguilla australis)
