鱗	鳞	lín	scales (of fish)
大鱗大馬哈魚	大鳞大马哈鱼	dà lín dá mǎ hǎ yú	see 大鱗大麻哈魚|大鳞大麻哈鱼[dà lín dá má hǎ yú]
大鱗大麻哈魚	大鳞大麻哈鱼	dà lín dá má hǎ yú	king salmon/Chinook salmon
小鱗胸鷦鶥	小鳞胸鹪鹛	xiǎo lín xiōng jiāo méi	(bird species of China) pygmy wren-babbler (Pnoepyga pusilla)
東鱗西爪	东鳞西爪	dōng lín xī zhǎo	lit. a dragon's scale from the east and a dragon's claw from the west/odds and ends (idiom)
遍體鱗傷	遍体鳞伤	biàn tǐ lín shāng	covered all over with cuts and bruises/beaten black and blue/be a mass of bruises
魚鱗	鱼鳞	yú lín	fish scales
一鱗半爪	一鳞半爪	yī lín bàn zhuǎ	lit. one scale and half a claw (idiom); only odd bits and pieces
鱗傷	鳞伤	lín shāng	cuts and bruises like fish scales/terribly cut up
鱗喉綠啄木鳥	鳞喉绿啄木鸟	lín hóu lǜ zhuó mù niǎo	(bird species of China) streak-throated woodpecker (Picus xanthopygaeus)
鱗次櫛比	鳞次栉比	lín cì zhì bǐ	row upon row
鱗片	鳞片	lín piàn	scale/fish scales
鱗狀	鳞状	lín zhuàng	scaly/squamous
鱗狀細胞癌	鳞状细胞癌	lín zhuàng xì bāo ái	squamous cell carcinoma
鱗甲	鳞甲	lín jiǎ	scale/plate of armor
鱗翅	鳞翅	lín chì	scaly wing/Lepidoptera (insect order including butterflies 蝶類|蝶类 and moths 蛾類|蛾类)
鱗翅目	鳞翅目	lín chì mù	Lepidoptera (insect order including butterflies 蝶類|蝶类 and moths 蛾類|蛾类)
鱗胸鷦鶥	鳞胸鹪鹛	lín xiōng jiāo méi	(bird species of China) scaly-breasted wren-babbler (Pnoepyga albiventer)
鱗腹綠啄木鳥	鳞腹绿啄木鸟	lín fù lǜ zhuó mù niǎo	(bird species of China) scaly-bellied woodpecker (Picus squamatus)
鱗莖	鳞茎	lín jīng	bulb
鱗頭樹鶯	鳞头树莺	lín tóu shù yīng	(bird species of China) Asian stubtail (Urosphena squameiceps)
