鳩	鸠	jiū	turtledove/(literary) to gather
厚嘴綠鳩	厚嘴绿鸠	hòu zuǐ lǜ jiū	(bird species of China) thick-billed green pigeon (Treron curvirostra)
孟德斯鳩	孟德斯鸠	Mèng dé sī jiū	Charles Montesquieu (1689-1755), French political philosopher
小鵑鳩	小鹃鸠	xiǎo juān jiū	(bird species of China) little cuckoo-dove (Macropygia ruficeps)
山斑鳩	山斑鸠	shān bān jiū	(bird species of China) oriental turtle dove (Streptopelia orientalis)
山皇鳩	山皇鸠	shān huáng jiū	(bird species of China) mountain imperial pigeon (Ducula badia)
斑尾鵑鳩	斑尾鹃鸠	bān wěi juān jiū	(bird species of China) barred cuckoo-dove (Macropygia unchall)
斑鳩	斑鸠	bān jiū	turtledove
棕斑鳩	棕斑鸠	zōng bān jiū	(bird species of China) laughing dove (Spilopelia senegalensis)
楔尾綠鳩	楔尾绿鸠	xiē wěi lǜ jiū	(bird species of China) wedge-tailed green pigeon (Treron sphenurus)
橙胸綠鳩	橙胸绿鸠	chéng xiōng lǜ jiū	(bird species of China) orange-breasted green pigeon (Treron bicinctus)
歐斑鳩	欧斑鸠	Ōu bān jiū	(bird species of China) European turtle dove (Streptopelia turtur)
火斑鳩	火斑鸠	huǒ bān jiū	(bird species of China) red turtle dove (Streptopelia tranquebarica)
灰斑鳩	灰斑鸠	huī bān jiū	(bird species of China) Eurasian collared dove (Streptopelia decaocto)
灰頭綠鳩	灰头绿鸠	huī tóu lǜ jiū	(bird species of China) ashy-headed green pigeon (Treron phayrei)
珠頸斑鳩	珠颈斑鸠	zhū jǐng bān jiū	(bird species of China) spotted dove (Spilopelia chinensis)
睢鳩	睢鸠	suī jiū	plover (Charadrius morinellus)/dotterell
紅翅綠鳩	红翅绿鸠	hóng chì lǜ jiū	(bird species of China) white-bellied green pigeon (Treron sieboldii)
紅頂綠鳩	红顶绿鸠	hóng dǐng lǜ jiū	(bird species of China) whistling green pigeon (Treron formosae)
綠皇鳩	绿皇鸠	lǜ huáng jiū	(bird species of China) green imperial pigeon (Ducula aenea)
綠翅金鳩	绿翅金鸠	lǜ chì jīn jiū	(bird species of China) common emerald dove (Chalcophaps indica)
菲律賓鵑鳩	菲律宾鹃鸠	Fēi lǜ bīn juān jiū	(bird species of China) Philippine cuckoo-dove (Macropygia tenuirostris)
針尾綠鳩	针尾绿鸠	zhēn wěi lǜ jiū	(bird species of China) pin-tailed green pigeon (Treron apicauda)
伊壁鳩魯	伊壁鸠鲁	Yī bì jiū lǔ	Epicurus (341-270 BC), ancient Greek philosopher
鳩合	鸠合	jiū hé	variant of 糾合|纠合[jiū hé]
鳩山	鸠山	Jiū shān	Hatoyama, Japanese name and place name/Hatoyama Yukio (1947-), Japanese Democratic Party politician, prime minister from 2009
鳩山由紀夫	鸠山由纪夫	Jiū shān Yóu jì fū	Hatoyama Yukio (1947-), Japanese Democratic Party politician, prime minister 2009-2010
鳩摩羅什	鸠摩罗什	Jiū mó luó shí	Kumarajiva c. 334-413, Buddhist monk and translator of Zen texts
鳩江	鸠江	Jiū jiāng	Jiujiang district of Wuhu city 蕪湖市|芜湖市[Wú hú shì], Anhui
鳩江區	鸠江区	Jiū jiāng qū	Jiujiang district of Wuhu city 蕪湖市|芜湖市[Wú hú shì], Anhui
鳩集	鸠集	jiū jí	variant of 糾集|纠集[jiū jí]
鳩鴿	鸠鸽	jiū gē	dove
鳴鳩	鸣鸠	míng jiū	turtledove
鵲巢鳩占	鹊巢鸠占	què cháo jiū zhàn	the magpie made a nest, the turtledove dwells in it (idiom)/to reap where one has not sown
黃腳綠鳩	黄脚绿鸠	huáng jiǎo lǜ jiū	(bird species of China) yellow-footed green pigeon (Treron phoenicopterus)
黑頦果鳩	黑颏果鸠	hēi kē guǒ jiū	(bird species of China) black-chinned fruit dove (Ptilinopus leclancheri)
