鴞	鸮	xiāo	owl (order Strigiformes)
四川林鴞	四川林鸮	Sì chuān lín xiāo	(bird species of China) Sichuan wood owl (Strix davidi)
林鵰鴞	林雕鸮	lín diāo xiāo	(bird species of China) spot-bellied eagle-owl (Bubo nipalensis)
栗鴞	栗鸮	lì xiāo	(bird species of China) oriental bay owl (Phodilus badius)
橫斑腹小鴞	横斑腹小鸮	héng bān fù xiǎo xiāo	(bird species of China) spotted owlet (Athene brama)
毛腳漁鴞	毛脚渔鸮	máo jiǎo yú xiāo	(bird species of China) Blakiston's fish owl (Bubo blakistoni)
灰林鴞	灰林鸮	huī lín xiāo	(bird species of China) Himalayan owl (Strix nivicolum)
烏林鴞	乌林鸮	wū lín xiāo	(bird species of China) great grey owl (Strix nebulosa)
烏鵰鴞	乌雕鸮	wū diāo xiāo	(bird species of China) dusky eagle-owl (Bubo coromandus)
猛鴞	猛鸮	měng xiāo	(bird species of China) northern hawk-owl (Surnia ulula)
琉球角鴞	琉球角鸮	Liú qiú jiǎo xiāo	(bird species of China) Ryukyu scops owl (Otus elegans)
短耳鴞	短耳鸮	duǎn ěr xiāo	(bird species of China) short-eared owl (Asio flammeus)
紅角鴞	红角鸮	hóng jiǎo xiāo	(bird species of China) oriental scops owl (Otus sunia)
縱紋腹小鴞	纵纹腹小鸮	zòng wén fù xiǎo xiāo	(bird species of China) little owl (Athene noctua)
縱紋角鴞	纵纹角鸮	zòng wén jiǎo xiāo	(bird species of China) pallid scops owl (Otus brucei)
草鴞	草鸮	cǎo xiāo	(bird species of China) eastern grass owl (Tyto longimembris)
褐林鴞	褐林鸮	hè lín xiāo	(bird species of China) brown wood owl (Strix leptogrammica)
褐漁鴞	褐渔鸮	hè yú xiāo	(bird species of China) brown fish owl (Ketupa zeylonensis)
西紅角鴞	西红角鸮	xī hóng jiǎo xiāo	(bird species of China) Eurasian scops owl (Otus scops)
西領角鴞	西领角鸮	xī lǐng jiǎo xiāo	(bird species of China) collared scops owl (Otus lettia)
角鴞	角鸮	jiǎo xiāo	screech owl (genus Megascops, a.k.a. Otus)
長尾林鴞	长尾林鸮	cháng wěi lín xiāo	(bird species of China) Ural owl (Strix uralensis)
長耳鴞	长耳鸮	cháng ěr xiāo	(bird species of China) long-eared owl (Asio otus)
雪鴞	雪鸮	xuě xiāo	(bird species of China) snowy owl (Bubo scandiacus)
領角鴞	领角鸮	lǐng jiǎo xiāo	(bird species of China) Japanese scops owl (Otus semitorques)
鬼鴞	鬼鸮	guǐ xiāo	(bird species of China) boreal owl (Aegolius funereus)
鳴角鴞	鸣角鸮	Míng jiǎo xiāo	Screech-owl (genus Megascops, a.k.a. Otus)
倉鴞	仓鸮	cāng xiāo	(bird species of China) barn owl (Tyto alba)
鴞叫	鸮叫	xiāo jiào	(of owls) to hoot or screech
鴞鸚鵡	鸮鹦鹉	xiāo yīng wǔ	kakapo (Strigops habroptila)/owl parrot
鴟鴞	鸱鸮	chī xiāo	owl
鵰鴞	雕鸮	diāo xiāo	(bird species of China) Eurasian eagle-owl (Bubo bubo)
鷹鴞	鹰鸮	yīng xiāo	(bird species of China) brown hawk-owl (Ninox scutulata)
黃嘴角鴞	黄嘴角鸮	huáng zuǐ jiǎo xiāo	(bird species of China) mountain scops owl (Otus spilocephalus)
黃腿漁鴞	黄腿渔鸮	huáng tuǐ yú xiāo	(bird species of China) tawny fish owl (Ketupa flavipes)
