鴨	鸭	yā	duck/CL:隻|只[zhī]/(slang) male prostitute
中華秋沙鴨	中华秋沙鸭	Zhōng huá qiū shā yā	(bird species of China) scaly-sided merganser (Mergus squamatus)
做鴨	做鸭	zuò yā	(slang) (of a man) to work as a prostitute
冠麻鴨	冠麻鸭	guān má yā	(bird species of China) crested shelduck (Tadorna cristata)
北京烤鴨	北京烤鸭	Běi jīng kǎo yā	Peking Duck
印緬斑嘴鴨	印缅斑嘴鸭	Yìn miǎn bān zuǐ yā	(bird species of China) Indian spot-billed duck (Anas poecilorhyncha)
吃鴨蛋	吃鸭蛋	chī yā dàn	(fig.) to score 0 (on a test, in competition etc)
唐老鴨	唐老鸭	Táng Lǎo yā	Donald Duck
塗鴨	涂鸭	tú yā	variant of 塗鴉|涂鸦[tú yā]/graffiti/scrawl/poor calligraphy/to write badly/to scribble
填鴨	填鸭	tián yā	to force-feed ducks/(cooking) stuffed duck
填鴨式	填鸭式	tián yā shì	force feeding (as a teaching method)
家鴨	家鸭	jiā yā	domestic duck
家鴨綠頭鴨	家鸭绿头鸭	jiā yā lǜ tóu yā	mallard/duck (Anas platyrhyncha)
小絨鴨	小绒鸭	xiǎo róng yā	(bird species of China) Steller's eider (Polysticta stelleri)
帆背潛鴨	帆背潜鸭	fān bèi qián yā	(bird species of China) canvasback (Aythya valisineria)
斑嘴鴨	斑嘴鸭	bān zuǐ yā	(bird species of China) eastern spot-billed duck (Anas zonorhyncha)
斑背潛鴨	斑背潜鸭	bān bèi qián yā	(bird species of China) greater scaup (Aythya marila)
斑臉海番鴨	斑脸海番鸭	bān liǎn hǎi fān yā	(bird species of China) white-winged scoter (Melanitta deglandi)
旱鴨子	旱鸭子	hàn yā zi	non-swimmer
春江水暖鴨先知	春江水暖鸭先知	chūn jiāng shuǐ nuǎn yā xiān zhī	lit. the duck is the first to know if the spring water is warm (idiom)/fig. an expert in the field knows which way the wind blows
普通秋沙鴨	普通秋沙鸭	pǔ tōng qiū shā yā	(bird species of China) common merganser (Mergus merganser)
板鴨	板鸭	bǎn yā	pressed (dried) salted duck
栗樹鴨	栗树鸭	lì shù yā	(bird species of China) lesser whistling duck (Dendrocygna javanica)
棕頸鴨	棕颈鸭	zōng jǐng yā	(bird species of China) Philippine duck (Anas luzonica)
毛鴨蛋	毛鸭蛋	máo yā dàn	balut (boiled duck egg with a partly-developed embryo, which is eaten from the shell)
烤鴨	烤鸭	kǎo yā	roast duck
煮熟的鴨子飛了	煮熟的鸭子飞了	zhǔ shú de yā zi fēi le	the cooked duck flew away (proverb)/(fig.) to let a sure thing slip through one's fingers
琵嘴鴨	琵嘴鸭	pí zuǐ yā	(bird species of China) northern shoveler (Anas clypeata)
瘤鴨	瘤鸭	liú yā	(bird species of China) knob-billed duck (Sarkidiornis melanotos)
白眉鴨	白眉鸭	bái méi yā	(bird species of China) garganey (Anas querquedula)
白秋沙鴨	白秋沙鸭	bái qiū shā yā	(bird species of China) smew (Mergellus albellus)
白頭硬尾鴨	白头硬尾鸭	bái tóu yìng wěi yā	(bird species of China) white-headed duck (Oxyura leucocephala)
紅胸秋沙鴨	红胸秋沙鸭	hóng xiōng qiū shā yā	(bird species of China) red-breasted merganser (Mergus serrator)
紅頭潛鴨	红头潜鸭	hóng tóu qián yā	(bird species of China) common pochard (Aythya ferina)
綠翅鴨	绿翅鸭	lǜ chì yā	(bird species of China) Eurasian teal (Anas crecca)
綠頭鴨	绿头鸭	lǜ tóu yā	(bird species of China) mallard (Anas platyrhynchos)
羅紋鴨	罗纹鸭	luó wén yā	(bird species of China) falcated duck (Anas falcata)
美洲綠翅鴨	美洲绿翅鸭	Měi zhōu lǜ chì yā	(bird species of China) green-winged teal (Anas carolinensis)
翹鼻麻鴨	翘鼻麻鸭	qiào bí má yā	(bird species of China) common shelduck (Tadorna tadorna)
腳鴨子	脚鸭子	jiǎo yā zi	see 腳丫子|脚丫子[jiǎo yā zi]
花臉鴨	花脸鸭	huā liǎn yā	(bird species of China) Baikal teal (Anas formosa)
葡萄胸鴨	葡萄胸鸭	pú táo xiōng yā	(bird species of China) American wigeon (Anas americana)
赤嘴潛鴨	赤嘴潜鸭	chì zuǐ qián yā	(bird species of China) red-crested pochard (Netta rufina)
赤膀鴨	赤膀鸭	chì bǎng yā	(bird species of China) gadwall (Anas strepera)
赤頸鴨	赤颈鸭	chì jǐng yā	(bird species of China) Eurasian wigeon (Anas penelope)
赤麻鴨	赤麻鸭	chì má yā	(bird species of China) ruddy shelduck (Tadorna ferruginea)
趕鴨子上架	赶鸭子上架	gǎn yā zi shàng jià	lit. to drive a duck onto a perch (idiom)/fig. to push sb to do sth way beyond their ability
蹀兒鴨子	蹀儿鸭子	dié r5 yā zi	to run away/to escape
醜小鴨	丑小鸭	Chǒu Xiǎo yā	"The Ugly Duckling" by Hans Christian Andersen 安徒生[Ān tú shēng]
醜小鴨	丑小鸭	chǒu xiǎo yā	ugly duckling
野鴨	野鸭	yě yā	wild duck/mallard (Anas platyrhyncha)
針尾鴨	针尾鸭	zhēn wěi yā	(bird species of China) northern pintail (Anas acuta)
長尾鴨	长尾鸭	cháng wěi yā	(bird species of China) long-tailed duck (Clangula hyemalis)
